run_accession	sample_alias	sample_title
SRR21626055	GSM6590734	1-N
SRR21626056	GSM6590735	2-N
SRR21626057	GSM6590736	3-N
SRR21626058	GSM6590737	4-N
SRR21626060	GSM6590739	6-N
SRR21626063	GSM6590742	10-N
SRR21626079	GSM6590758	29-N
SRR21626084	GSM6590763	35-N
SRR21626085	GSM6590764	36-N
SRR21626087	GSM6590766	39-N
SRR21626089	GSM6590768	41-N
SRR21626093	GSM6590772	46-N
SRR21626094	GSM6590773	47-N
SRR21626097	GSM6590776	50-N
SRR21626104	GSM6590783	60-N
SRR21626109	GSM6590788	66N
SRR21626110	GSM6590789	67N-P
SRR21626111	GSM6590790	68N-P
SRR21626112	GSM6590791	77N
SRR21626117	GSM6590796	108N
SRR21626118	GSM6590797	110N
SRR21626119	GSM6590798	118N
SRR21626124	GSM6590803	154-N-P
SRR21626128	GSM6590807	161N
SRR21626135	GSM6590814	179-N-P
SRR21626137	GSM6590816	184N-P
SRR21626138	GSM6590817	185N
SRR21626140	GSM6590819	187-N_P
SRR21626141	GSM6590820	188N-P
SRR21626143	GSM6590822	190N
SRR21626144	GSM6590823	191-N_P
SRR21626146	GSM6590825	200-N
SRR21626148	GSM6590827	203N
SRR21626160	GSM6590839	218-N
SRR21626171	GSM6590850	230-N
SRR21626175	GSM6590854	235-N
SRR21626176	GSM6590855	237-N
SRR21626178	GSM6590857	239-N
SRR21626183	GSM6590862	245-N
SRR21626184	GSM6590863	246-N
SRR21626186	GSM6590865	248-N
SRR21626187	GSM6590866	249-N
SRR21626189	GSM6590868	253-N
SRR21626191	GSM6590870	255-N
SRR21626192	GSM6590871	256-N
SRR21626193	GSM6590872	257N
SRR21626198	GSM6590877	263-N-P
SRR21626205	GSM6590884	274N
SRR21626206	GSM6590885	275N
SRR21626207	GSM6590886	277N
SRR21626209	GSM6590888	280N
SRR21626211	GSM6590890	282N
SRR21626216	GSM6590895	287-N
SRR21626219	GSM6590898	291-N
SRR21626225	GSM6590904	302N
SRR21626229	GSM6590908	307N
SRR21626231	GSM6590910	309N
SRR21626234	GSM6590913	318N
SRR21626235	GSM6590914	346N
SRR21626236	GSM6590915	347N
SRR21626237	GSM6590916	348N
SRR21626238	GSM6590917	349N
SRR21626241	GSM6590920	352N
SRR21626245	GSM6590924	356N
SRR21626248	GSM6590927	359N
SRR21626253	GSM6590932	364N
SRR21626256	GSM6590935	374N
SRR21626257	GSM6590936	375N
SRR21626260	GSM6590939	382N
SRR21626264	GSM6591047	56-T
SRR21626268	GSM6591051	60-T
SRR21626276	GSM6591059	69-T_P
SRR21626285	GSM6591068	80-T
SRR21626289	GSM6591072	85-T
SRR21626290	GSM6591073	86-T
SRR21626294	GSM6591077	91-T
SRR21626298	GSM6591081	97-T
SRR21626303	GSM6591086	102-T_P
SRR21626310	GSM6591093	109T-P
SRR21626314	GSM6591097	113-T
SRR21626317	GSM6591100	116-T
SRR21626318	GSM6591101	117-T
SRR21626320	GSM6591103	119-T
SRR21626324	GSM6591107	123-T
SRR21626328	GSM6591111	127-T
SRR21626330	GSM6591113	129-T
SRR21626333	GSM6591116	132-T
SRR21626335	GSM6591118	135-T
SRR21626339	GSM6591122	139T
SRR21626340	GSM6591123	140-T-P
SRR21626344	GSM6591127	144T
SRR21626349	GSM6591132	149-T
SRR21626355	GSM6591138	155T
SRR21626357	GSM6591140	157-T_P
SRR21626358	GSM6591141	158-T_P
SRR21626361	GSM6591144	161-T_P
SRR21626363	GSM6591146	163-T
SRR21626366	GSM6591149	167-T_P
SRR21626371	GSM6590946	397N
SRR21626374	GSM6590949	401N
SRR21626376	GSM6590951	403N
SRR21626378	GSM6590953	407N
SRR21626379	GSM6590954	408N
SRR21626380	GSM6590955	409N
SRR21626387	GSM6590962	498N
SRR21626390	GSM6590965	516N
SRR21626393	GSM6590968	ATCFP_13N
SRR21626402	GSM6590977	FP18_N
SRR21626404	GSM6590979	FP21_N
SRR21626406	GSM6590981	FP23_N
SRR21626408	GSM6590983	FP31_N
SRR21626420	GSM6590995	PDFP_8N
SRR21626425	GSM6591000	6-T
SRR21626426	GSM6591001	7-T
SRR21626427	GSM6591002	8-T
SRR21626431	GSM6591006	12-T
SRR21626437	GSM6591012	18-T
SRR21626438	GSM6591013	19-T
SRR21626440	GSM6591015	21-T
SRR21626445	GSM6591020	27-T
SRR21626449	GSM6591024	31-T
SRR21626450	GSM6591025	32-T
SRR21626451	GSM6591026	33-T
SRR21626462	GSM6591037	46-T
SRR21626463	GSM6591038	47-T
SRR21626465	GSM6591040	49-T
SRR21626466	GSM6591041	50-T
SRR21626467	GSM6591042	51-T
SRR21626473	GSM6591152	171-T
SRR21626475	GSM6591154	173-T
SRR21626476	GSM6591155	174-T
SRR21626477	GSM6591156	175T
SRR21626479	GSM6591158	177-T_P
SRR21626483	GSM6591162	181-T-P
SRR21626484	GSM6591163	182-T_P
SRR21626486	GSM6591165	184-T_P
SRR21626487	GSM6591166	185-T_P
SRR21626496	GSM6591175	205T
SRR21626499	GSM6591178	208T
SRR21626501	GSM6591180	210-T
SRR21626502	GSM6591181	211T
SRR21626504	GSM6591183	215-T
SRR21626505	GSM6591184	216-T
SRR21626509	GSM6591188	221-T
SRR21626511	GSM6591190	223-T
SRR21626517	GSM6591196	230-T
SRR21626519	GSM6591198	233-T
SRR21626523	GSM6591202	238-T
SRR21626526	GSM6591205	242-T
SRR21626529	GSM6591208	245-T
SRR21626532	GSM6591211	248-T
SRR21626536	GSM6591215	255-T
SRR21626540	GSM6591219	259T
SRR21626541	GSM6591220	261-GD
SRR21626543	GSM6591222	268T
SRR21626545	GSM6591224	272T
SRR21626546	GSM6591225	273T
SRR21626548	GSM6591227	277T
SRR21626550	GSM6591229	279T
SRR21626553	GSM6591232	283T
SRR21626554	GSM6591233	284-T
SRR21626555	GSM6591234	285-T-P
SRR21626562	GSM6591241	299T
SRR21626564	GSM6591243	301T
SRR21626569	GSM6591248	307T
SRR21626570	GSM6591249	308T
SRR21626572	GSM6591251	310T
SRR21626575	GSM6591358	PDFP_10T
SRR21626576	GSM6591359	PDFP_11T
SRR21626577	GSM6591360	PDFP_2-T1
