locus	n_samples_with_a1	n_samples_with_both	n_heterozygous	het_rate_observed
A	260	260	218	0.8384615384615385
B	260	260	243	0.9346153846153846
C	260	260	222	0.8538461538461538
DPA1	239	239	158	0.6610878661087866
DPB1	241	241	199	0.8257261410788381
DQA1	183	183	165	0.9016393442622951
DQB1	174	174	163	0.9367816091954023
DRB1	255	255	236	0.9254901960784314
E	0	0	0	
F	0	0	0	
G	0	0	0	
