run	n_het_loci	n_typed_loci	het_fraction
ERR1512530	7	8	0.875
ERR1518626	7	8	0.875
ERR1518627	7	8	0.875
ERR1518628	5	7	0.7142857142857143
ERR1518629	4	7	0.5714285714285714
ERR1518630	5	5	1.0
ERR1518631	4	4	1.0
ERR1518632	5	7	0.7142857142857143
ERR1518633	4	5	0.8
ERR1518634	3	3	1.0
ERR1518635	7	8	0.875
ERR1518636	6	8	0.75
ERR1518637	7	8	0.875
ERR1518638	5	8	0.625
ERR1518639	5	7	0.7142857142857143
ERR1518640	4	5	0.8
ERR1518641	2	3	0.6666666666666666
ERR1518642	7	7	1.0
ERR1518643	7	7	1.0
ERR1518644	6	7	0.8571428571428571
ERR1518645	7	8	0.875
ERR1518646	7	8	0.875
ERR1518647	4	7	0.5714285714285714
ERR1518648	5	8	0.625
ERR1518649	5	8	0.625
ERR1518650	5	7	0.7142857142857143
ERR1518653	5	7	0.7142857142857143
ERR1518654	3	4	0.75
ERR1518655	6	8	0.75
ERR1518656	5	7	0.7142857142857143
ERR1518657	5	7	0.7142857142857143
ERR1518658	2	7	0.2857142857142857
ERR1518659	7	8	0.875
ERR1518660	3	3	1.0
ERR1518661	2	6	0.3333333333333333
ERR1518662	5	5	1.0
ERR1518663	7	8	0.875
ERR1518664	6	8	0.75
ERR1518665	6	8	0.75
ERR1518666	4	4	1.0
ERR1518667	7	8	0.875
ERR1518668	3	6	0.5
ERR1518669	4	7	0.5714285714285714
ERR1518670	6	8	0.75
ERR1518671	6	6	1.0
ERR1518672	7	8	0.875
ERR1518673	6	8	0.75
ERR1518674	2	7	0.2857142857142857
ERR1518675	7	8	0.875
ERR1518676	7	8	0.875
ERR1518677	6	8	0.75
ERR1518678	8	8	1.0
ERR1518679	7	7	1.0
ERR1518680	7	7	1.0
ERR1518681	6	6	1.0
ERR1518682	8	8	1.0
ERR1518683	4	5	0.8
ERR1518684	7	8	0.875
ERR1518685	6	7	0.8571428571428571
ERR1518686	6	7	0.8571428571428571
