locus	n_alleles_compared	pearson_r	pearson_p	spearman_rho	spearman_p	tvd	kl_k2_to_lee	kl_lee_to_k2
A	17	0.9476593325995711	7.758763267219333e-09	0.8647012634558404	7.51268951956545e-06	0.13017525916972722	0.053889349530247	0.054145382420161314
B	25	0.8257882087480538	3.7220047715784607e-07	0.9062862224281975	4.500786635375284e-10	0.1522295432106228	0.061776742610844725	0.062203167545644436
C	21	0.8191451171529522	5.587442091305846e-06	0.8120752791336913	7.809686944552714e-06	0.1893445169307237	0.3149354513646286	0.4966112700386444
DPA1	3	0.9952109467245268	0.06232946927589375	1.0	0.0	0.04169433609490345	0.008937788737112722	0.009908335741052637
DPB1	11	0.9844576749434164	4.164315006705888e-08	0.8181818181818182	0.0020831448404786917	0.0899949723479136	0.053234262259733316	0.0643761329284603
DQA1	15	0.9650215777583439	6.1881664130434734e-09	0.9361647067046297	2.8793171739955094e-07	0.08238279808047265	0.11855258188092449	0.0411449152174521
DQB1	21	0.9019098306161999	2.343164916880217e-08	0.8947043006112897	4.463682227046041e-08	0.15074707228429143	0.11228641806131158	0.40307292441097803
DRB1	24	0.9241305719317818	1.1596639007017009e-10	0.9043576418785989	1.3486323750914678e-09	0.11417624521072807	0.13490798036259713	0.04815845792037504
