locus	n_alleles_compared	pearson_r	pearson_p	spearman_rho	spearman_p	tvd	kl_k2_to_kim	kl_kim_to_k2
A	16	0.9231041987834727	3.4722462518761695e-07	0.7108169694791018	0.002024468518437723	0.16186738319701002	0.6889803789129106	0.14968139560573113
B	26	0.8527983024120174	3.157096724675939e-08	0.8572408719446561	2.2388682874069776e-08	0.15355422841128308	0.08023750913313817	0.07352644675820973
C	20	0.8925334146995476	1.2221081871428204e-07	0.809003595913717	1.5691111750861063e-05	0.17268642939442705	0.6437208080793241	0.14414584670595176
DPA1	3					0.5	0.19576935501046352	0.2861110782082319
DPB1	11	0.9956306133429956	1.401481692847941e-10	0.9	0.00015997142806871366	0.051855529822924865	0.1112786653460625	0.04057691659994392
DQA1	14					0.5000000000000001	0.26702320447091726	0.3440058448791984
DQB1	18	0.8589998660734774	4.99886679247894e-06	0.8746132773802606	2.0579548434613266e-06	0.15451370303174733	0.5535731828087911	0.31138471191450706
DRB1	25	0.8481763612489766	8.595552129069194e-08	0.7443162133542195	1.9897558211499535e-05	0.15234392413850195	0.4246007454391211	0.41009637747105127
