claim,doi,title,first_author,year
8-gene / driver-excluded PTC stratification,10.1038/s41467-021-26343-3,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of papillary thyroid carcinoma,Pu,2021.0
Single-cell PTC progression,10.1038/s41467-021-26343-3,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of papillary thyroid carcinoma,Pu,2021.0
