query,nct_id,title,status,start_date,phase,enrollment,study_type,intervention_types,intervention_names,conditions,lead_sponsor,sponsor_class,primary_outcome,min_age,sex
papillary thyroid cancer immunotherapy,NCT02834013,Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,ACTIVE_NOT_RECRUITING,2017-01-30,PHASE2,818,INTERVENTIONAL,"BIOLOGICAL,PROCEDURE",Biospecimen Collection; Computed Tomography; Echocardiography Test; Ipilimumab; Magnetic Resonance Imaging; Nivolumab,"Acinar Cell Carcinoma,Adenoid Cystic Carcinoma,Adrenal Cortical Carcinoma,Adrenal Gland Pheochromocytoma,Anal Canal Neuroendocrine Carcinoma,Anal Canal Undifferentiated Carcinoma,Angiosarcoma,Apocrine Neoplasm,Appendix Mucinous Adenocarcinoma,Bartholin Gland Transitional Cell Carcinoma,Basal Cell Carcinoma,Bladder Adenocarcinoma,Breast Metaplastic Carcinoma,Cervical Adenocarcinoma,Cholangiocarcinoma,Chordoma,Colorectal Squamous Cell Carcinoma,Desmoid Fibromatosis,Endometrial Transitional Cell Carcinoma,Endometrioid Adenocarcinoma,Esophageal Neuroendocrine Carcinoma,Esophageal Undifferentiated Carcinoma,Extrahepatic Bile Duct Carcinoma,Extramammary Paget Disease,Fallopian Tube Adenocarcinoma,Fallopian Tube Transitional Cell Carcinoma,Fibromyxoid Tumor,Gallbladder Carcinoma,Gastric Neuroendocrine Carcinoma,Gastric Squamous Cell Carcinoma,Gastric Undifferentiated Carcinoma,Gastrointestinal Stromal Tumor,Gestational Trophoblastic Tumor,Giant Cell Carcinoma,Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type,Intestinal Neuroendocrine Carcinoma,Intrahepatic Cholangiocarcinoma,Lung Neuroendocrine Tumor,Lung Sarcomatoid Carcinoma,Major Salivary Gland Carcinoma,Malignant Neoplasm of Unknown Primary,Malignant Odontogenic Neoplasm,Malignant Peripheral Nerve Sheath Tumor,Malignant Solid Neoplasm,Malignant Testicular Sex Cord-Stromal Tumor,Metastatic Pituitary Neuroendocrine Tumor,Minimally Invasive Lung Adenocarcinoma,Mixed Mesodermal (Mullerian) Tumor,Mucinous Adenocarcinoma,Mucinous Cystadenocarcinoma,Nasal Cavity Adenocarcinoma,Nasal Cavity Carcinoma,Nasopharyngeal Carcinoma,Nasopharyngeal Low Grade Papillary Adenocarcinoma,Nasopharyngeal Undifferentiated Carcinoma,Oral Cavity Carcinoma,Oropharyngeal Undifferentiated Carcinoma,Ovarian Adenocarcinoma,Ovarian Germ Cell Tumor,Ovarian Mucinous Adenocarcinoma,Ovarian Squamous Cell Carcinoma,Ovarian Transitional Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,Pancreatic Neuroendocrine Carcinoma,Paraganglioma,Paranasal Sinus Adenocarcinoma,Paranasal Sinus Carcinoma,Parathyroid Gland Carcinoma,PEComa,Penile Squamous Cell Carcinoma,Peritoneal Mesothelial Neoplasm,Placental Choriocarcinoma,Primary Peritoneal High Grade Serous Adenocarcinoma,Pseudomyxoma Peritonei,Rare Disorder,Scrotal Squamous Cell Carcinoma,Seminal Vesicle Adenocarcinoma,Seminoma,Serous Cystadenocarcinoma,Small Intestinal Adenocarcinoma,Small Intestinal Squamous Cell Carcinoma,Spindle Cell Neoplasm,Teratoma With Somatic-Type Malignancy,Testicular Non-Seminomatous Germ Cell Tumor,Thyroid Gland Carcinoma,Tracheal Carcinoma,Transitional Cell Carcinoma,Ureter Adenocarcinoma,Ureter Squamous Cell Carcinoma,Urethral Adenocarcinoma,Urethral Squamous Cell Carcinoma,Vaginal Adenocarcinoma,Vaginal Squamous Cell Carcinoma, Not Otherwise Specified,Vulvar Carcinoma",National Cancer Institute (NCI),NIH,Overall response rate (ORR),18 Years,ALL
papillary thyroid cancer immunotherapy,NCT04165317,A Study of Sasanlimab in People With Non-muscle Invasive Bladder Cancer,ACTIVE_NOT_RECRUITING,2019-12-30,PHASE3,1068,INTERVENTIONAL,DRUG,PF-06801591; Bacillus Calmette-Guerin,Non-muscle Invasive Bladder Cancer,Pfizer,INDUSTRY,Cohort A: Event Free Survival (EFS) as Assessed by the Investigator: Arm A Versus Arm C,18 Years,ALL
papillary thyroid cancer immunotherapy,NCT03914300,"Testing the Combination of Cabozantinib, Nivolumab, and Ipilimumab (CaboNivoIpi) for Advanced Differentiated Thyroid Cancer",ACTIVE_NOT_RECRUITING,2020-02-10,PHASE2,11,INTERVENTIONAL,"BIOLOGICAL,DRUG,PROCEDURE",Biospecimen Collection; Cabozantinib S-malate; Computed Tomography; Ipilimumab; Magnetic Resonance Imaging; Nivolumab,"Differentiated Thyroid Gland Carcinoma,Follicular Variant Thyroid Gland Papillary Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Refractory Differentiated Thyroid Gland Carcinoma,Refractory Thyroid Gland Carcinoma,Tall Cell Variant Thyroid Gland Papillary Carcinoma,Thyroid Gland Follicular Carcinoma,Thyroid Gland Oncocytic Carcinoma,Thyroid Gland Papillary Carcinoma",National Cancer Institute (NCI),NIH,Objective Response Rate,18 Years,ALL
RET fusion thyroid,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL
RET fusion thyroid,NCT03157128,"A Study of Selpercatinib (LOXO-292) in Participants With Advanced Solid Tumors, RET Fusion-Positive Solid Tumors, and Medullary Thyroid Cancer (LIBRETTO-001)",ACTIVE_NOT_RECRUITING,2017-05-02,"PHASE1,PHASE2",857,INTERVENTIONAL,DRUG,LOXO-292,"Non-Small Cell Lung Cancer,Medullary Thyroid Cancer,Colon Cancer,Any Solid Tumor",Eli Lilly and Company,INDUSTRY,Phase 1: Maximum Tolerated Dose (MTD); Phase 1: Recommended Phase 2 Dose (RP2D); Phase 2: Objective Response Rate (ORR) Based on Independent Review Committee (IRC) Assessment,12 Years,ALL
RET fusion thyroid,NCT01639508,Cabozantinib in Patients With RET Fusion-Positive Advanced Non-Small Cell Lung Cancer and Those With Other Genotypes: ROS1 or NTRK Fusions or Increased MET or AXL Activity,RECRUITING,2012-07,PHASE2,86,INTERVENTIONAL,DRUG,Cabozantinib,Non-Small Cell Lung Cancer,Memorial Sloan Kettering Cancer Center,OTHER,objective response rate (ORR) (Group A); objective response rate (ORR) (Group B),18 Years,ALL
RET fusion thyroid,NCT06458036,Selpercatinib Pre-RAI in Patients With RET Fusion Thyroid Cancer (RAISE),RECRUITING,2024-07-29,PHASE2,13,INTERVENTIONAL,"DRUG,RADIATION",Selpercatinib Monotherapy; 131I Therapy,"Differentiated Thyroid Cancer,Pediatric Cancer,Cancer,Cancer, Thyroid",Children's Hospital of Philadelphia,OTHER,"Number of patients with complete overall, pulmonary, structural, and biochemical response.; Number of patients who survive without progression of disease after 5 years following protocol treatment.; Proportion of all patients enrolled who show increased radioactive iodine avidity at 6 months following selpercatinib monotherapy.; The incidence of adverse events and dose limiting toxicity with the combination of selpercatinib and 131I therapy, graded according to CTCAE v5.",2 Years,ALL
RET fusion thyroid,NCT05241834,A Study of LOXO-260 in Cancer Patients With a Change in a Particular Gene (RET) That Has Not Responded to Treatment,ACTIVE_NOT_RECRUITING,2022-03-23,PHASE1,70,INTERVENTIONAL,DRUG,LOXO-260,"Carcinoma, Non-Small-Cell Lung,Thyroid Neoplasms",Eli Lilly and Company,INDUSTRY,Phase 1 a: To determine the MTD/RP2D of LOXO-260: Dose limiting toxicity (DLT) rate,12 Years,ALL
RET fusion thyroid,NCT04970134,Spanish Study for Molecular Characterization of Thyroid Carcinoma,ACTIVE_NOT_RECRUITING,2021-06-14,,150,OBSERVATIONAL,OTHER,Immunohistochemistry (IHC); Fluorescence In-Situ Hybridization (FISH); Oncomine Focus Assay Platform with 52 genes,"Differentiated Thyroid Carcinoma,Medullary Thyroid Carcinoma",Grupo Español de Tratamiento de Tumores de Cabeza y Cuello,OTHER,Progression free survival (PFS); Overall survival (OS); Objective response rate; Prevalence of genetic alterations,18 Years,ALL
RET fusion thyroid,NCT05668962,Restor. I-131 Upt. + Selpercatinib in RET F-P RAI-R TC,RECRUITING,2023-03-01,PHASE2,30,INTERVENTIONAL,DRUG,Selpercatinib; Sodium Iodine I-131; rhTSH,"Thyroid Cancer,Thyroid Carcinoma,Metastatic Thyroid Cancer,Follicular Thyroid Cancer,Unresectable Thyroid Gland Carcinoma,Papillary Thyroid Cancer",Massachusetts General Hospital,OTHER,Objective Response Rate,12 Years,ALL
