key,doi,is_oa,oa_status,pdf_url,landing_url,license,pmcid,europepmc_url
Haugen2016,10.1089/thy.2015.0020,True,bronze,https://www.liebertpub.com/doi/pdf/10.1089/thy.2015.0020,https://doi.org/10.1089/thy.2015.0020,,PMC4739132,https://europepmc.org/article/PMC/4739132
Ringel2025,10.1177/10507256251363120,True,green,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13090833/,,,
TCGA2014,10.1016/j.cell.2014.09.050,True,bronze,http://www.cell.com/article/S0092867414012380/pdf,https://doi.org/10.1016/j.cell.2014.09.050,,PMC4243044,https://europepmc.org/article/PMC/4243044
Yoo2016,10.1371/journal.pgen.1006239,True,gold,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1006239&type=printable,https://doi.org/10.1371/journal.pgen.1006239,cc-by,PMC4986964,https://europepmc.org/article/PMC/4986964
Landa2016,10.1172/jci85271,True,bronze,http://www.jci.org/articles/view/85271/files/pdf,https://doi.org/10.1172/jci85271,,PMC4767360,https://europepmc.org/article/PMC/4767360
Pu2021,10.1038/s41467-021-26343-3,True,gold,https://www.nature.com/articles/s41467-021-26343-3.pdf,https://doi.org/10.1038/s41467-021-26343-3,cc-by,PMC8523608,https://europepmc.org/article/PMC/8523608
Wirth2020,10.1056/nejmoa2005651,True,bronze,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2005651?articleTools=true,https://doi.org/10.1056/nejmoa2005651,,PMC10777663,https://europepmc.org/article/PMC/10777663
Xing2014,10.1038/nrc3431,False,closed,,,,PMC3791171,https://europepmc.org/article/PMC/3791171
Liu2017,,,no_doi,,,,,
Wang2024,,,no_doi,,,,,
Cibas2017,10.1089/thy.2017.0500,True,bronze,https://www.liebertpub.com/doi/pdf/10.1089/thy.2017.0500,https://doi.org/10.1089/thy.2017.0500,,,
SEER_PTC,,,no_doi,,,,,
Lu2023,,,no_doi,,,,,
Bradley2010,,,no_doi,,,,,
Krishnamoorthy2025,10.1084/jem.20241029,True,green,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11849553/,,PMC11849553,https://europepmc.org/article/PMC/11849553
Chu2018,,,no_doi,,,,,
Pozdeyev2018,10.1158/1078-0432.ccr-18-0373,True,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/6030480,,PMC6030480,https://europepmc.org/article/PMC/6030480
