key,incomplete,crossref,pubmed,openalex,europepmc,n_confirm,crossref_title,pubmed_pmid,openalex_id,doi
Ringel2025,True,False,False,False,False,0,,,,
Liu2017,True,False,False,False,False,0,,,,
Wang2024,True,False,False,False,False,0,,,,
SEER_PTC,True,False,False,False,False,0,,,,
Lu2023,True,False,False,False,False,0,,,,
Bradley2010,True,False,False,False,False,0,,,,
Krishnamoorthy2025,True,False,False,False,False,0,,,,
Chu2018,True,False,False,False,False,0,,,,
Haugen2016,False,True,False,False,False,1,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and ,,,
TCGA2014,False,True,False,False,False,1,Integrated Genomic Characterization of Papillary Thyroid Carcinoma,,,
Yoo2016,False,True,False,False,False,1,Comprehensive Analysis of the Transcriptional and Mutational Landscape of Follicular and Papillary T,,,
Landa2016,False,True,False,False,False,1,Genomic and transcriptomic hallmarks of poorly differentiated and anaplastic thyroid cancers,,,
Pu2021,False,True,False,False,False,1,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of,,,
Wirth2020,False,True,False,False,False,1,"Efficacy of Selpercatinib in
            <i>RET</i>
            -Altered Thyroid Cancers",,,
Xing2014,False,True,False,False,False,1,Molecular pathogenesis and mechanisms of thyroid cancer,,,
Cibas2017,False,True,False,False,False,1,The 2017 Bethesda System for Reporting Thyroid Cytopathology,,,
Pozdeyev2018,False,True,False,False,False,1,Genetic Analysis of 779 Advanced Differentiated and Anaplastic Thyroid Cancers,,,
