category	feature	n_DM1	n_DM2	mean_DM1	mean_DM2	cohen_d_DM1_vs_DM2	wilcoxon_p
HLA_AgPresentation	HLA_I_z_mean	87	25	0.4620611513137105	-1.0535883707620421	1.733314770575549	1.8638432817600974e-09
HLA_AgPresentation	HLA_II_z_mean	87	25	0.5449072528328421	-1.1357787148914062	1.97462054484676	1.0718810197802866e-10
HLA_AgPresentation	AgPresentation_z_mean	87	25	0.4714498663207864	-0.7873126673685182	1.368498631293325	6.118196978515075e-08
HLA_AgPresentation	HLA-A	87	25	0.4387426429887898	-0.9415568613690549	1.4573470059850258	1.4281736717719763e-07
HLA_AgPresentation	HLA-B	87	25	0.4494146511146076	-1.2035840916605989	1.8381670863781554	1.107453205942529e-09
HLA_AgPresentation	HLA-C	87	25	0.49802615983773363	-1.0156241592564725	1.6544753230771188	1.5777517987814e-08
HLA_AgPresentation	HLA-DRA	87	25	0.5371164365181772	-1.254329508064649	2.064924748819736	7.061895276987669e-11
HLA_AgPresentation	HLA-DRB1	87	25	0.5750478241347976	-1.2423245771697453	2.035230293355891	1.2886988391840905e-10
HLA_AgPresentation	HLA-DPA1	87	25	0.5592158050338674	-1.1022388269635983	1.7788663770062814	7.461144400593688e-10
HLA_AgPresentation	HLA-DPB1	87	25	0.5866996125391559	-1.1474824674849333	1.8258099117857127	2.553951775720542e-10
HLA_AgPresentation	HLA-DQA1	87	25	0.5188427918220598	-1.1738273813294764	1.880892267178343	3.5014189281703894e-10
HLA_AgPresentation	HLA-DQB1	87	25	0.4925210469489945	-0.8944695283360352	1.5743377123407303	4.836010395947445e-08
HLA_AgPresentation	B2M	87	25	0.3317445650693692	-0.9137654139914573	1.3647397881867032	1.9328030221651666e-07
HLA_AgPresentation	TAP1	87	25	0.47262149293072037	-0.742010023804713	1.218547292510405	2.607825777966529e-07
HLA_AgPresentation	TAP2	87	25	0.6099835409622691	-0.7061625643093844	1.2086375077257985	4.063964999660635e-07
HLA_AgPresentation	JAK1	87	25	0.11110823629807527	-0.48504007625523415	0.6045334791483752	0.0031908812414010736
HLA_AgPresentation	JAK2	87	25	0.282238727090543	-0.2517977923760572	0.4657286849092868	0.021911429578805815
HLA_AgPresentation	STAT1	87	25	0.4386564781842139	-1.0577407239674785	1.6328433089107226	8.897001595909074e-10
HLA_AgPresentation	IRF1	87	25	0.5323733893183572	-0.6425443194045937	1.1250371342601406	3.7329128348875415e-06
HLA_AgPresentation	IFNG	87	25	0.5100359457903524	-0.44226909537414755	0.7515636810779397	5.318894972420057e-05
HLA_AgPresentation	CTLA4	84	25	1.5809487343886715	0.2656878680797163	1.2796353954423039	2.929271888572801e-09
HLA_AgPresentation	PDCD1	84	25	2.0602700040348623	0.8071548110791623	0.9848319662483964	4.804262883261242e-06
HLA_AgPresentation	FOXP3	87	25	0.44341341541212953	-0.8826486109829499	1.3341696112262655	7.2232759131672924e-09
HLA_AgPresentation	CD274	84	25	3.438819484271553	2.0636018907866087	1.5169207885260434	1.1169316530332257e-08
HLA_AgPresentation	IDO1	84	25	2.43993065889968	2.2529578581409084	0.10772993985966452	0.6997920191548193
HLA_AgPresentation	GZMA	87	25	0.5445806230728377	-0.7690492903996975	1.206134488579547	3.1399135757700463e-07
HLA_AgPresentation	PRF1	87	25	0.510014114541805	-0.5321148528974328	0.8765079341170192	0.00028727538567436135
HLA_AgPresentation	CD8A	87	25	0.4270688122476387	-0.562582093076853	0.8585908501635233	0.0004176266221623496
HLA_AgPresentation	CD8B	87	25	0.4336520125326291	-0.5686062069025469	0.8584063513973071	3.258246234787888e-07
HLA_AgPresentation	CXCL9	87	25	0.4504217431019619	-0.6220282464314909	0.9815559738545393	2.2913773952176204e-05
HLA_AgPresentation	CXCL10	87	25	0.5215068163528463	-0.5827433497460816	0.9881740724823576	1.4759354790851419e-05
HLA_AgPresentation	CXCL13	87	25	0.443890198911292	-0.44412074530057966	0.7778356540026002	0.00027913209597614817
