target	within_sample_adjustment	residual_alignment_rho	p	n
DM1_low_RAI_score	sample_mean_only	0.6443833433548072	0.0	15489
DM1_low_RAI_score	coord_only	0.5670298139305127	0.0	15489
DM1_low_RAI_score	qc_only	0.33163363486234865	0.0	15489
DM1_low_RAI_score	coord_qc	0.28293626186707616	5.655892182739292e-283	15489
RAI8_lineage_score	sample_mean_only	0.6443833433548072	0.0	15489
RAI8_lineage_score	coord_only	0.5670298139305127	0.0	15489
RAI8_lineage_score	qc_only	0.33163363486234865	0.0	15489
RAI8_lineage_score	coord_qc	0.28293626186707616	5.655892182739292e-283	15489
MAPK_output_score	sample_mean_only	0.2962986801181106	0.0	15489
MAPK_output_score	coord_only	0.26294209529751383	2.805923859137848e-243	15489
MAPK_output_score	qc_only	0.054990056207933	7.46770841905777e-12	15489
MAPK_output_score	coord_qc	0.06869624744865749	1.1385037860280814e-17	15489
AP_TLS_composite_score	sample_mean_only	0.047877577905043885	2.4988293331018986e-09	15489
AP_TLS_composite_score	coord_only	0.033579470077691055	2.915500767981914e-05	15489
AP_TLS_composite_score	qc_only	0.055973774294004026	3.1445320924031172e-12	15489
AP_TLS_composite_score	coord_qc	0.05515779720751062	6.450473616984044e-12	15489
HLA_II_AP_score	sample_mean_only	0.19903498704946695	3.743787877378714e-138	15489
HLA_II_AP_score	coord_only	0.17298950356709003	2.4756278557723503e-104	15489
HLA_II_AP_score	qc_only	0.07223396933730197	2.2387773456907084e-19	15489
HLA_II_AP_score	coord_qc	0.06882667755353693	9.88378730934869e-18	15489
B_TLS_score	sample_mean_only	-0.1749698790239506	9.978002931039598e-107	15489
B_TLS_score	coord_only	-0.17276025254728597	4.666920960752899e-104	15489
B_TLS_score	qc_only	0.029402012159652293	0.00025249326647200344	15489
B_TLS_score	coord_qc	0.025774352382775916	0.001336539857903941	15489
CD36_SPP1_macrophage_score	sample_mean_only	0.20849852732705015	1.0496741732910997e-151	15489
CD36_SPP1_macrophage_score	coord_only	0.17828058190741977	8.536343735377197e-111	15489
CD36_SPP1_macrophage_score	qc_only	0.01608722926449047	0.04527386552180142	15489
CD36_SPP1_macrophage_score	coord_qc	0.03359221067590584	2.8952235196063725e-05	15489
Tumor_ZCCHC12_score	sample_mean_only	0.23266838311662003	1.880592845014016e-189	15489
Tumor_ZCCHC12_score	coord_only	0.19703123827320812	2.267438951007808e-135	15489
Tumor_ZCCHC12_score	qc_only	0.025178712125225516	0.0017252564784091323	15489
Tumor_ZCCHC12_score	coord_qc	0.04743894157221662	3.4870357766781115e-09	15489
