target	model	n	pooled_rho	pooled_p	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	n_features
DM1_low_RAI_score	HE_tile_features	15489	0.6256736081076587	0.0	0.6443833433548072	0.0	0.5860014395945401	4	52
DM1_low_RAI_score	Coord_only	15489	0.321260070181093	0.0	0.3064431054370285	0.0	0.4067571234445956	3	2
DM1_low_RAI_score	QC_only	15489	0.7375176013670908	0.0	0.7320650942998915	0.0	0.6628502561470399	4	3
DM1_low_RAI_score	Coord_QC	15489	0.7220179415895861	0.0	0.7226563290279501	0.0	0.7191068239987003	4	5
RAI8_lineage_score	HE_tile_features	15489	0.6256736081076587	0.0	0.6443833433548072	0.0	0.5860014395945401	4	52
RAI8_lineage_score	Coord_only	15489	0.321260070181093	0.0	0.3064431054370285	0.0	0.4067571234445956	3	2
RAI8_lineage_score	QC_only	15489	0.7375176013670908	0.0	0.7320650942998915	0.0	0.6628502561470399	4	3
RAI8_lineage_score	Coord_QC	15489	0.7220179415895861	0.0	0.7226563290279501	0.0	0.7191068239987003	4	5
MAPK_output_score	HE_tile_features	15489	0.4345992384517805	0.0	0.2962986801181106	0.0	0.2515746404609691	2	52
MAPK_output_score	Coord_only	15489	-0.15817227567726516	2.513459188071152e-87	-0.12800280514163834	1.3820431996039433e-57	-0.18451138154138333	1	2
MAPK_output_score	QC_only	15489	0.641335780704527	0.0	0.5355420190186196	0.0	0.5299063213467625	4	3
MAPK_output_score	Coord_QC	15489	0.5969338190064564	0.0	0.5026735944413423	0.0	0.5085509300132418	4	5
AP_TLS_composite_score	HE_tile_features	15489	-0.06072548714693437	3.910106226349077e-14	0.047877577905043885	2.4988293331018986e-09	0.13694775318485833	1	52
AP_TLS_composite_score	Coord_only	15489	0.3428545640566514	0.0	0.35020770894403375	0.0	0.3480261902838887	3	2
AP_TLS_composite_score	QC_only	15489	0.5158514374508759	0.0	0.6300992631130324	0.0	0.6074567972231596	3	3
AP_TLS_composite_score	Coord_QC	15489	0.5610575743299948	0.0	0.6329342197796965	0.0	0.6673354710377423	4	5
HLA_II_AP_score	HE_tile_features	15489	0.22758108158087312	3.9661683938374407e-181	0.19903498704946695	3.743787877378714e-138	0.2085270180671086	2	52
HLA_II_AP_score	Coord_only	15489	0.3418322425067018	0.0	0.3725700619758373	0.0	0.4251692216864641	3	2
HLA_II_AP_score	QC_only	15489	0.553304822450257	0.0	0.6163453136574351	0.0	0.6181856991310778	3	3
HLA_II_AP_score	Coord_QC	15489	0.6124188122871634	0.0	0.6549310966922378	0.0	0.6863844467520579	4	5
B_TLS_score	HE_tile_features	15489	-0.38404721870675057	0.0	-0.1749698790239506	9.978002931039598e-107	0.05132650258547904	0	52
B_TLS_score	Coord_only	15489	0.23890245235007967	6.227106639382397e-200	0.26326670157667237	6.766904775413222e-244	0.2670304515201075	2	2
B_TLS_score	QC_only	15489	0.25164668927490075	2.516656572518508e-222	0.40975744160338723	0.0	0.4660529406867747	3	3
B_TLS_score	Coord_QC	15489	0.24598934767149114	3.186663888102807e-212	0.36897560551855507	0.0	0.40649404414370066	3	5
CD36_SPP1_macrophage_score	HE_tile_features	15489	0.02918751803343599	0.00028013651999173007	0.20849852732705015	1.0496741732910997e-151	0.22093141743428135	3	52
CD36_SPP1_macrophage_score	Coord_only	15489	0.1889294329022299	1.979614298351422e-124	0.21620256381147374	3.035583327775051e-163	0.20668684736428367	3	2
CD36_SPP1_macrophage_score	QC_only	15489	0.5904694771679267	0.0	0.655407014850017	0.0	0.6038620168804767	4	3
CD36_SPP1_macrophage_score	Coord_QC	15489	0.6012282019424109	0.0	0.6669888943541007	0.0	0.6294039347272568	4	5
Tumor_ZCCHC12_score	HE_tile_features	15489	0.2252569802471186	2.1547227167357396e-177	0.23266838311662003	1.880592845014016e-189	0.19264363292346043	2	52
Tumor_ZCCHC12_score	Coord_only	15489	-0.2504177745595446	4.144039315550199e-220	-0.14269731153370468	2.92450386969736e-71	-0.1360918324546815	0	2
Tumor_ZCCHC12_score	QC_only	15489	0.6372416037532065	0.0	0.5109962174686361	0.0	0.46415140799918075	4	3
Tumor_ZCCHC12_score	Coord_QC	15489	0.5998502660261872	0.0	0.49876274268951143	0.0	0.48472922787076145	4	5
