sample	disease_group	domain	n_spots	obs_DM1_low_RAI_score	pred_DM1_low_RAI_score	obs_RAI8_lineage_score	pred_RAI8_lineage_score	obs_MAPK_output_score	pred_MAPK_output_score	obs_AP_TLS_composite_score	pred_AP_TLS_composite_score	obs_HLA_II_AP_score	pred_HLA_II_AP_score	obs_B_TLS_score	pred_B_TLS_score	obs_CD36_SPP1_macrophage_score	pred_CD36_SPP1_macrophage_score	obs_Tumor_ZCCHC12_score	pred_Tumor_ZCCHC12_score
P1	PTC+HT	1	380	0.13217693387176546	0.16322517110125379	-0.13217693387176546	-0.16322517110125379	0.12558130063510425	-0.019570825327217274	-0.16634819138990128	-0.06267360956771141	-0.29254261186822855	-0.06264207143836373	-0.01715957065984354	-0.033059242415846006	0.058849852681135524	-0.06336666404813747	0.2458626882455576	-0.16644176886839807
P1	PTC+HT	2	396	-0.4859981945916203	-0.2999803382995735	0.4859981945916203	0.2999803382995735	0.09719473273423816	0.2852269036537901	0.1879375974101621	0.29477157105070384	0.214591194317309	0.3401170783047184	0.18927021066314179	0.19619742459110734	0.14714731449841825	0.2679243794968131	-0.020080966695182407	0.260642650867908
P1	PTC+HT	3	381	0.05813919462253696	0.17804381902550667	-0.05813919462253696	-0.17804381902550667	-0.013454934019508273	0.04880573135236326	0.0879678594022532	0.020693236564398147	0.001962026171377499	-0.005290506066017675	0.1461169779285285	0.07351472506716168	0.04711954578501149	-0.03642166949722303	-0.1446112393248269	-0.039074991048366835
P1	PTC+HT	4	450	-0.481755834233701	-0.19009564274475582	0.481755834233701	0.19009564274475582	0.06537647597808531	0.25104172997240676	0.1994757591379552	0.1826596267040988	0.18402232524022394	0.2690139863102342	0.24831023280767447	0.054383617922373645	0.06940714209120251	0.0751945423806128	-0.08164588324844563	0.13896548880483223
P1	PTC+HT	5	368	-0.3236352987820164	-0.1632400799672482	0.3236352987820164	0.1632400799672482	0.07132201118677753	0.22188425583745347	0.285429698452239	0.3026304552961706	0.2437445147820911	0.3339969530325843	0.34992486515603544	0.21974487473316226	0.15496435752077822	0.19477432760185912	-0.06778152164751915	0.19934383433460043
P1	PTC+HT	6	473	0.0047521836257501384	-0.05112092751810222	-0.0047521836257501384	0.05112092751810222	0.355427132513698	0.17394463405274396	0.11000449361891726	0.3065096252531254	0.0745168674129022	0.3199730579926919	0.20130115060071466	0.2649670270279859	0.2160505354333749	0.23328826584888296	0.38292282643637293	0.10848141073342038
P1	PTC+HT	7	376	0.31954942197226793	0.4580731961305505	-0.31954942197226793	-0.4580731961305505	-0.19946396545161837	-0.1133916848994767	-0.262942637732509	-0.2544778546231293	-0.5181560896087893	-0.3255323826071092	-0.09743089836932876	-0.06947555713147315	-0.21654644388808508	-0.16764625984695222	-0.27301989858495407	-0.10808497308694294
P1	PTC+HT	8	427	-0.4792065822750939	-0.07764926705018978	0.4792065822750939	0.07764926705018978	0.0755293117314199	0.17944355476259125	0.14871505721015402	0.1493487617208853	0.10516841037922571	0.1909600478104681	0.19185111007888545	0.08388612247671016	0.014214771336693794	0.026215325040945602	-0.0596558993744333	0.0721563766641595
P1	PTC+HT	9	396	0.02689640659585955	0.3050390301851236	-0.02689640659585955	-0.3050390301851236	-0.02736282367603507	-0.12110498262917273	0.31280403505645216	0.03551533076550033	0.2977111847603502	0.03493378311580391	0.4052856734419937	0.03519368075814703	0.05639885302550084	-0.14182085303163258	-0.14962142146313	-0.20086108082140858
P2	PTC+HT	1	386	-0.07166123448096828	0.17530721108634895	0.07166123448096828	-0.17530721108634895	-0.008357221479248373	-0.14107441235907078	0.053250565342110215	-0.07763915841122607	0.034386856039769396	-0.06813301850466652	0.13848149626517012	-0.1078551653383379	0.1411841671127316	-0.25694742626220807	0.031348118157147865	-0.06794225207867437
P2	PTC+HT	2	403	-0.04382954592963067	0.3549529882296395	0.04382954592963067	-0.3549529882296395	-0.06523037055261269	-0.2834545370027097	0.14671317798427314	-0.48575439126198267	0.1970575794701468	-0.4524338373182787	0.13927639211465107	-0.4884077586126685	0.36403435205296614	-0.5540965368258692	0.03188912575892193	-0.16968811553199176
