stat	spearman_vs_HT13	spearman_p	univariate_AUC_DM1	univariate_AUC_DM1_flipped
tile_probe_mean	0.056620209059233456	0.7251257787489999	0.5384615384615385	0.46153846153846156
tile_probe_max	0.05801393728222998	0.7186330527768175	0.417948717948718	0.582051282051282
tile_probe_p90	-0.02874564459930314	0.8584037485824217	0.4769230769230769	0.5230769230769231
tile_probe_p75	0.04512195121951221	0.7793784414983167	0.5256410256410257	0.47435897435897434
tile_probe_attn_weighted	0.052961672473867606	0.7422587238413589	0.5512820512820513	0.4487179487179487
