setting	n_features	pooled_auc	boot_mean_auc	boot_lo95	boot_hi95	fold_mean	fold_std	delta_vs_HT13_only
ht13_only	1	0.8871794871794872	0.8880717948717951	0.764102564102564	0.982051282051282	0.9366666666666668	0.077746025264604	0.0
tile_probe_max_only	1	0.5307692307692308	0.5314871794871795	0.3487179487179487	0.720576923076923	0.5511111111111112	0.08369550926785103	-0.3564102564102565
tile_probe_p90_only	1	0.3820512820512821	0.3874923076923077	0.20512820512820512	0.5898076923076923	0.47888888888888886	0.11256822348367942	-0.5051282051282051
tile_probe_attn_weighted_only	1	0.4205128205128205	0.42520256410256413	0.24615384615384617	0.602628205128205	0.44444444444444453	0.2208848647073632	-0.46666666666666673
ht13_plus_tile_probe_max	2	0.8769230769230769	0.8779333333333335	0.7435897435897436	0.974423076923077	0.9466666666666667	0.06863753427324665	-0.010256410256410331
ht13_plus_tile_probe_p90	2	0.8666666666666667	0.8681948717948719	0.743525641025641	0.9692948717948718	0.9266666666666665	0.071956777149743	-0.02051282051282055
ht13_plus_tile_probe_attn_w	2	0.8769230769230769	0.8783589743589746	0.7537820512820512	0.9743589743589743	0.9166666666666667	0.07149203529842404	-0.010256410256410331
ht13_plus_tile_probe_all	6	0.8076923076923077	0.8089538461538462	0.6564102564102564	0.9307692307692307	0.8266666666666668	0.22251092357704846	-0.07948717948717954
img_prob_only	1	0.5641025641025641	0.5632025641025641	0.3769230769230769	0.7384615384615385	0.7433333333333334	0.21643577440997236	-0.32307692307692315
ht13_plus_img_prob	2	0.8692307692307693	0.86914358974359	0.7487179487179487	0.9666666666666667	0.9166666666666667	0.10540925533894598	-0.017948717948717996
