gsm	title	status	tacstd2_log2_rma	tacstd2_z_in_PTC	tacstd2_z_in_all
GSM1413225	normal thyroid - NIS112	NORMAL	4.4845	nan	-1.2708
GSM1413226	normal thyroid - NIS119	NORMAL	4.9114	nan	-1.1280
GSM1413227	PTC - BRAF(+) - NIS131	BRAF_V600E	11.6648	0.7383	1.1311
GSM1413228	normal thyroid - NIS132	NORMAL	5.9332	nan	-0.7862
GSM1413229	PTC - RET(+) - NIS133	RET_FUSION	9.9073	-0.3175	0.5432
GSM1413230	normal thyroid - NIS134	NORMAL	5.0004	nan	-1.0982
GSM1413231	PTC - BRAF(+) - NIS135	BRAF_V600E	8.6781	-1.0559	0.1320
GSM1413232	normal thyroid - NIS136	NORMAL	5.1862	nan	-1.0361
GSM1413233	normal thyroid - NIS163	NORMAL	6.3000	nan	-0.6635
GSM1413234	normal thyroid - NIS209	NORMAL	5.1003	nan	-1.0648
GSM1413235	normal thyroid - NIS232	NORMAL	5.2932	nan	-1.0003
GSM1413236	PTC - BRAF(+) - NIS370	BRAF_V600E	12.0308	0.9582	1.2535
GSM1413237	PTC - BRAF(+) - NIS378	BRAF_V600E	11.0812	0.3877	0.9359
GSM1413238	PTC - RET(+) - NIS137	RET_FUSION	9.0795	-0.8148	0.2663
GSM1413239	normal thyroid - NIS138	NORMAL	6.0060	nan	-0.7619
GSM1413240	normal thyroid - NIS139	NORMAL	6.6164	nan	-0.5577
GSM1413241	PTC - BRAF(+) - NIS140	BRAF_V600E	11.1910	0.4537	0.9726
GSM1413242	normal thyroid - NIS141	NORMAL	5.2572	nan	-1.0123
GSM1413243	normal thyroid - NIS144	NORMAL	3.0192	nan	-1.7610
GSM1413244	PTC - RET(+) - NIS146	RET_FUSION	10.2336	-0.1215	0.6524
GSM1413245	normal thyroid - NIS150	NORMAL	4.1510	nan	-1.3824
GSM1413246	PTC - RET(+) - NIS152	RET_FUSION	10.5581	0.0735	0.7609
GSM1413247	normal thyroid - NIS153	NORMAL	5.0934	nan	-1.0671
GSM1413248	normal thyroid - NIS158	NORMAL	4.7884	nan	-1.1692
GSM1413249	PTC - RET(+) - NIS159	RET_FUSION	10.8249	0.2338	0.8502
GSM1413250	normal thyroid - NIS161	NORMAL	3.6126	nan	-1.5625
GSM1413251	PTC - RET(+) - NIS162	RET_FUSION	10.7692	0.2003	0.8315
GSM1413252	normal thyroid - NIS224	NORMAL	5.9450	nan	-0.7822
GSM1413253	PTC - BRAF(+) - NIS233	BRAF_V600E	11.5511	0.6700	1.0931
GSM1413254	normal thyroid - NIS281	NORMAL	4.2901	nan	-1.3359
GSM1413255	PTC - BRAF(+) - NIS319	BRAF_V600E	11.4016	0.5802	1.0431
GSM1413256	PTC - RET(+) - NIS321	RET_FUSION	9.4405	-0.5979	0.3871
GSM1413257	PTC - BRAF(+) - NIS327	BRAF_V600E	10.4155	-0.0122	0.7132
GSM1413258	PTC - RET(+) - NIS329	RET_FUSION	10.3782	-0.0346	0.7007
GSM1413259	PTC - BRAF(+) - NIS331	BRAF_V600E	11.1332	0.4190	0.9533
GSM1413260	PTC - BRAF(+) - NIS340	BRAF_V600E	10.6743	0.1433	0.7998
GSM1413261	PTC - BRAF(+) - NIS341	BRAF_V600E	10.8415	0.2437	0.8557
GSM1413262	PTC - RAS(+) - NIS342	RAS_MUT	2.9703	-4.4849	-1.7774
GSM1413263	PTC - BRAF(+) - NIS344	BRAF_V600E	11.1973	0.4575	0.9748
GSM1413264	PTC - BRAF(+) - NIS346	BRAF_V600E	11.5463	0.6671	1.0915
GSM1413265	PTC - BRAF(+) - NIS349	BRAF_V600E	10.6173	0.1090	0.7807
GSM1413266	PTC - BRAF(+) - NIS350	BRAF_V600E	9.8122	-0.3746	0.5114
GSM1413267	PTC - BRAF(+) - NIS356	BRAF_V600E	10.9615	0.3158	0.8958
GSM1413268	PTC - BRAF(+) - NIS357	BRAF_V600E	11.7544	0.7922	1.1611
GSM1413269	PTC - BRAF(+) - NIS377	BRAF_V600E	11.0528	0.3707	0.9264
# SUMMARY
#   cohort	GSE58545 (Bauer 2014)
#   platform	GPL96 / HG-U133A (RMA log2)
#   probe	202286_s_at
#   n_total	45
#   n_BRAF_V600E_PTC	18
#   n_BRAF_WT_PTC	9
#   n_NORMAL	18
#   mean_log2_TACSTD2_BRAF_V600E	10.978047368611112
#   mean_log2_TACSTD2_BRAF_WT_PTC	9.351286580444444
#   mean_log2_TACSTD2_NORMAL	5.0549095357222225
#   mean_z_PTC_BRAF_V600E	0.3257612584654851
#   mean_z_PTC_BRAF_WT	-0.6515225169309704
#   welch_t	1.9325740741882218
#   welch_df	8.812046163606832
#   welch_two_sided_p	0.08600988568601091
#   mannwhitney_U	21.0
#   mannwhitney_two_sided_p	0.002028231148452082
#   welch_t_BRAFvsNORMAL	20.732804401976143
#   welch_p_BRAFvsNORMAL	1.6477773057510155e-20
#   v14_predicted_direction	BRAF V600E > BRAF-WT (mean TACSTD2 z >0)
#   replicates_v14_direction	True
