compound	BRD_id	screen	BRAF_like_mean	BRAF_like_n	RAS_like_mean	RAS_like_n	braf_minus_ras
simvastatin	BRD:BRD-K22134346-001-22-3	REP.PRIMARY	-0.7467	6	-0.4096	5	-0.3371
simvastatin	BRD:BRD-K22134346-001-24-9	REP.PRIMARY	-2.5805	6	-0.7225	5	-1.8580
atorvastatin	BRD:BRD-K69726342-238-02-4	REP.PRIMARY	-1.0803	6	-0.4352	5	-0.6451
atorvastatin	BRD:BRD-K69726342-238-05-9	REP.1M	-0.0363	7	0.0018	5	-0.0381
ezetimibe	BRD:BRD-K42260897-001-07-6	REP.PRIMARY	0.0647	6	0.3049	5	-0.2401
ezetimibe	BRD:BRD-K42260897-001-09-2	REP.PRIMARY	-0.1230	6	-0.1744	5	0.0515
rosuvastatin	BRD:BRD-K82941592-238-04-5	REP.PRIMARY	-0.2976	6	-0.3011	5	0.0036
rosuvastatin	BRD:BRD-K82941592-238-07-9	REP.1M	0.0968	7	-0.2992	5	0.3960
camptothecin	BRD:BRD-K37890730-001-15-1	REP.PRIMARY	-4.4347	6	-4.5605	5	0.1258
camptothecin	BRD:BRD-K63784565-001-06-2	REP.PRIMARY	-4.9375	6	-3.8123	5	-1.1252
camptothecin	BRD:BRD-K09291936-001-13-3	REP.PRIMARY	-5.1010	6	-4.2392	5	-0.8618
