compound	screens_24Q2	n_BRD_rows	BRAF_like_24Q2_BRS52	RAS_like_24Q2_BRS52	braf_minus_ras_24Q2_BRS52	braf_minus_ras_19Q4_BRS52	delta_24Q2_minus_19Q4_BRS52	BRAF_like_24Q2_BRS52_n	RAS_like_24Q2_BRS52_n	BRAF_like_24Q2_MUT	RAS_like_24Q2_MUT	braf_minus_ras_24Q2_MUT	BRAF_like_24Q2_MUT_n	RAS_like_24Q2_MUT_n	BRAF_like_19Q4_BRS52	RAS_like_19Q4_BRS52
simvastatin	REP.PRIMARY	2	-1.6636	-0.5660	-1.0975	-1.0980	0.0005	6	5	-1.7053	0.2985	-2.0038	4	2	-1.6636	-0.5660
topotecan	REP.PRIMARY	1	-2.7753	-1.6807	-1.0946	-1.0950	0.0004	6	4	-2.7487	-3.4225	0.6738	4	2	-2.7753	-1.6807
irinotecan	REP.PRIMARY	1	-2.6577	-1.6978	-0.9599	-0.9600	0.0001	6	5	-2.2863	-2.5998	0.3136	4	2	-2.6577	-1.6978
kaempferol	REP.PRIMARY	1	-0.3706	0.3166	-0.6872	-0.6870	-0.0002	6	5	-0.2055	0.3137	-0.5192	4	2	-0.3706	0.3166
thalidomide	REP.PRIMARY	1	-0.0142	0.4062	-0.4204	-0.4200	-0.0004	6	5	-0.1468	0.2558	-0.4026	4	2	-0.0142	0.4062
atorvastatin	REP.1M;REP.PRIMARY	2	-0.4996	-0.2167	-0.2828	-0.6450	0.3622	7	5	-0.4265	0.0393	-0.4658	4	2	-1.0803	-0.4352
ezetimibe	REP.PRIMARY	2	-0.0291	0.0652	-0.0943	-0.0940	-0.0003	6	5	-0.1070	-0.0609	-0.0461	4	2	-0.0291	0.0652
pomalidomide	REP.PRIMARY	1	-0.4066	-0.3536	-0.0531	-0.0530	-0.0001	6	5	-0.6443	-0.3465	-0.2978	4	2	-0.4066	-0.3536
flumazenil	REP.PRIMARY	1	0.0154	0.0213	-0.0059	-0.0060	0.0001	6	5	-0.1105	0.0129	-0.1234	4	2	0.0154	0.0213
quercetin	REP.PRIMARY	1	0.1683	0.1630	0.0053	0.0050	0.0003	6	5	0.2252	0.1747	0.0504	4	2	0.1683	0.1630
gabexate	REP.PRIMARY	1	-0.2742	-0.3079	0.0337	0.0340	-0.0003	6	4	-0.1590	-0.1877	0.0287	4	2	-0.2742	-0.3079
indomethacin	REP.PRIMARY	1	-0.1782	-0.2400	0.0619	0.0620	-0.0001	6	5	-0.3272	-0.0779	-0.2493	4	2	-0.1782	-0.2400
etomidate	REP.PRIMARY	1	-0.1566	-0.2250	0.0683	0.0680	0.0003	6	5	0.2471	-0.3907	0.6379	4	2	-0.1566	-0.2250
resveratrol	REP.PRIMARY	1	-0.0066	-0.0963	0.0897	0.0900	-0.0003	6	4	-0.1622	-0.0181	-0.1441	4	2	-0.0066	-0.0963
zolpidem	REP.PRIMARY	1	0.1870	0.0845	0.1025	0.1030	-0.0005	6	5	0.0459	-0.1832	0.2291	4	2	0.1870	0.0845
nafamostat	REP.PRIMARY	1	0.3125	0.1615	0.1510	0.1510	0.0000	6	5	0.2254	0.1990	0.0264	4	2	0.3125	0.1615
lenalidomide	REP.PRIMARY	1	0.0147	-0.1724	0.1871	0.1870	0.0001	6	5	-0.1368	0.1092	-0.2460	4	2	0.0147	-0.1724
rosuvastatin	REP.1M;REP.PRIMARY	2	-0.0440	-0.3002	0.2562	0.0040	0.2522	7	5	-0.0936	-0.2655	0.1719	4	2	-0.2976	-0.3011
diazepam	REP.PRIMARY	1	0.5077	0.1610	0.3467	0.3470	-0.0003	6	5	0.2196	0.4501	-0.2305	4	2	0.5077	0.1610
luteolin	REP.PRIMARY	1	0.5976	0.2081	0.3895	0.3890	0.0005	6	5	0.4470	0.1773	0.2697	4	2	0.5976	0.2081
propofol	REP.PRIMARY	1	0.1596	-0.4072	0.5668	0.5670	-0.0002	6	5	-0.0455	-0.6090	0.5635	4	2	0.1596	-0.4072
baicalein	REP.PRIMARY	1	0.1667	-0.4894	0.6560	0.6560	0.0000	6	5	-0.2149	0.1681	-0.3830	4	2	0.1667	-0.4894
clonazepam	REP.PRIMARY	1	0.0796	-0.8549	0.9345	0.9350	-0.0005	6	5	-0.0052	-0.5957	0.5905	4	2	0.0796	-0.8549
