cohort	subgroup	N	BRAF_V600E_n	BRAF_V600E_pct	BRAF_any_n	BRAF_any_pct	TERT_promoter_n	TERT_promoter_pct	TERT_C228T_n	TERT_C228T_pct	TERT_C250T_n	TERT_C250T_pct	RAS_any_n	RAS_any_pct	NRAS_hot_n	NRAS_hot_pct	HRAS_hot_n	HRAS_hot_pct	KRAS_hot_n	KRAS_hot_pct	TP53_n	TP53_pct	CDKN2A_loss_n	CDKN2A_loss_pct	RET_fusion_n	RET_fusion_pct
Pozdeyev2018	ATC	196	77	39.3	81	41.3	108	55.1	98	50.0	11	5.6	49	25.0	42	21.4	5	2.6	2	1.0	123	62.8	9	4.6	3	1.5
Pozdeyev2018	FTC	65	1	1.5	5	7.7	35	53.8	32	49.2	3	4.6	43	66.2	28	43.1	12	18.5	3	4.6	8	12.3	1	1.5	0	0.0
Pozdeyev2018	HCTC	35	0	0.0	0	0.0	20	57.1	16	45.7	3	8.6	5	14.3	3	8.6	0	0.0	2	5.7	7	20.0	0	0.0	0	0.0
Pozdeyev2018	advanced_PTC	468	325	69.4	347	74.1	237	50.6	216	46.2	21	4.5	43	9.2	31	6.6	3	0.6	9	1.9	44	9.4	8	1.7	33	7.1
Pozdeyev2018	pediatric_PTC	15	3	20.0	3	20.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	6	40.0
Pozdeyev2018	advanced_DTC_combined	568	326	57.4	352	62.0	292	51.4	264	46.5	27	4.8	91	16.0	62	10.9	15	2.6	14	2.5	59	10.4	9	1.6	33	5.8
Pozdeyev2018	ALL_779	779	406	52.1	436	56.0	400	51.3	362	46.5	38	4.9	140	18.0	104	13.4	20	2.6	16	2.1	182	23.4	18	2.3	42	5.4
