cohort	N	BRAF_V600E_n	BRAF_V600E_pct	RAS_any_n	RAS_any_pct	TERT_promoter_n	TERT_promoter_pct	BRAF_p_vs_TCGA	TERT_p_vs_TCGA
TCGA-THCA primary (PTC)	502	282	56.2	—	—	36	7.2	ref	ref
Landa 2016 MSK PDTC/ATC	43	43	100.0	—	—	26	60.5	8.13e-11	1.41e-16
Pozdeyev advanced PTC	468	325	69.4	43	9.2	237	50.6	2.11e-05	5.92e-55
Pozdeyev advanced DTC (PTC+FTC+HCTC)	568	326	57.4	91	16.0	292	51.4	7.11e-01	6.73e-61
Pozdeyev ATC	196	77	39.3	49	25.0	108	55.1	7.15e-05	3.68e-41
