evidence	group	n	n_pred_hot	n_obs_hot	grid_spacing	median_nearest_norm_dist	mean_nearest_norm_dist	frac_within_1_grid	frac_within_2_grid
GSE250521 UNI DM1/RAI smoothed	GSM7980860_N-1	200	20	20	3.1622776601683795	1.2106549570167537	10.349016444089012	0.5	0.55
GSE250521 UNI DM1/RAI smoothed	GSM7980861_N-2	200	20	20	3.1622776601683795	1.6290612269158362	2.5149347680889713	0.4	0.6
GSE250521 UNI DM1/RAI smoothed	GSM7980862_N-3	200	20	20	3.1622776601683795	2.3443348829783677	3.0625849778406176	0.2	0.45
GSE250521 UNI DM1/RAI smoothed	GSM7980863_N-4	200	20	20	2.995352392457285	1.414213562373095	1.5445915061591664	0.45	0.65
GSE250521 UNI DM1/RAI smoothed	GSM7980864_PTC-1	200	20	20	2.0	5.909323551278334	7.289842512981812	0.25	0.25
GSE250521 UNI DM1/RAI smoothed	GSM7980865_PTC-2	200	20	20	3.1622776601683795	0.0	0.992764064755904	0.6	0.85
GSE250521 UNI DM1/RAI smoothed	GSM7980866_PTC-3	200	20	20	3.1622776601683795	0.0	1.4268413703472231	0.6	0.85
GSE250521 UNI DM1/RAI smoothed	GSM7980867_PTC-4	200	20	20	3.1622776601683795	0.9486832980505138	2.6074686131515667	0.5	0.55
GSE250521 UNI DM1/RAI smoothed	GSM7980868_LPTC-1	200	20	20	2.0	0.0	2.01047974869479	0.7	0.8
GSE250521 UNI DM1/RAI smoothed	GSM7980869_LPTC-2	200	20	20	3.1622776601683795	5.8309518948453	5.300354301877986	0.1	0.15
GSE250521 UNI DM1/RAI smoothed	GSM7980870_LPTC-3	200	20	20	3.1622776601683795	2.5003224759726823	3.335557571227807	0.1	0.4
GSE250521 UNI DM1/RAI smoothed	GSM7980871_LPTC-4	200	20	20	3.1622776601683795	1.1708203932499368	2.7632359797484076	0.5	0.55
GSE250521 UNI DM1/RAI smoothed	GSM7980872_ATC-1	200	20	20	3.1622776601683795	2.382945052817247	2.661604893920123	0.35	0.45
GSE250521 UNI DM1/RAI smoothed	GSM7980873_ATC-2	200	20	20	2.8284271247461903	2.524754878398196	2.705271583645735	0.1	0.35
GSE250521 UNI DM1/RAI smoothed	GSM7980874_ATC-3	200	20	20	2.0	2.8719515360844206	3.9997132003158264	0.25	0.3
GSE250521 UNI DM1/RAI smoothed	GSM7980875_ATC-4	200	20	20	2.8284271247461903	0.0	0.15995864094170423	0.9	1.0
GSE230424 H&E DM1/low-RAI smoothed	P1	3647	365	365	1.4142135623730951	1.0	3.0991898609755046	0.5123287671232877	0.6602739726027397
GSE230424 H&E DM1/low-RAI smoothed	P2	3154	316	316	1.4142135623730951	1.0	5.099541766131611	0.509493670886076	0.6234177215189873
GSE230424 H&E DM1/low-RAI smoothed	P3	4062	407	407	1.4142135623730951	1.0	1.6099837787186224	0.5995085995085995	0.7493857493857494
GSE230424 H&E DM1/low-RAI smoothed	P4	4626	463	463	1.4142135623730951	1.0	2.2435803052508527	0.5572354211663066	0.6760259179265659
GSE230424 H&E DM1/low-RAI coord+QC residual	P1	3647	365	365	1.4142135623730951	4.123105625617661	6.974026209531837	0.28493150684931506	0.3506849315068493
GSE230424 H&E DM1/low-RAI coord+QC residual	P2	3154	316	316	1.4142135623730951	2.914213562373095	4.206732024796502	0.24367088607594936	0.40189873417721517
GSE230424 H&E DM1/low-RAI coord+QC residual	P3	4062	407	407	1.4142135623730951	2.82842712474619	2.933822204436956	0.1597051597051597	0.35626535626535627
GSE230424 H&E DM1/low-RAI coord+QC residual	P4	4626	463	463	1.4142135623730951	1.0	1.6302878487595773	0.5701943844492441	0.7429805615550756
