metric	value
LMM_sig_full_11710	7415
DESeq2_raw_sig	6585
gold_slate_intersection	1786
gold_slate_as_pct_of_LMM	24.1%
gold_slate_as_pct_of_DESeq2	27.1%
druggable_in_gold_slate	8/8
original_2773_in_gold_slate	783
original_pct_in_gold_slate	28.2%
