gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
ITGA4	0.685422	0.685422	2.20437e-08	7.83168e-08	1.06507	1.17356e-09	False	True
SYNGR3	0.681844	0.681844	3.50184e-28	6.07505e-27	2.28523	7.03602e-45	False	False
COLEC10	-0.680643	0.680643	1.16942e-25	1.66593e-24	-1.64733	1.49088e-24	False	False
FGF9	0.680613	0.680613	3.88818e-33	9.64631e-32	3.25646	1.3769e-85	False	False
DPY19L2P2	-0.677999	0.677999	9.40029e-24	1.18746e-22	-1.19352	4.60457e-25	False	False
PSTPIP1	0.677887	0.677887	3.10863e-11	1.459e-10	1.11144	2.57781e-10	False	True
ALDH1A3	0.676411	0.676411	1.67935e-05	4.37004e-05	1.094	2.90795e-08	False	False
ANKRD36BP2	0.675245	0.675245	1.01985e-06	3.02723e-06	2.29	1.42143e-14	False	False
TFPI2	0.672281	0.672281	8.08449e-11	3.64393e-10	2.79537	5.03387e-31	False	False
AGTR1	-0.672243	0.672243	2.45935e-10	1.06035e-09	-1.4041	6.62584e-08	False	False
RNF39	0.67153	0.67153	1.01997e-19	9.67117e-19	1.5177	2.78876e-32	False	False
ADAM19	0.670869	0.670869	1.75627e-08	6.31439e-08	1.07684	2.65105e-10	False	True
CD3G	0.670015	0.670015	2.29374e-10	9.93331e-10	1.90803	2.95139e-22	False	False
ADCYAP1R1	-0.669442	0.669442	2.58644e-06	7.36557e-06	-1.23452	5.80642e-06	False	False
KCNJ10	-0.669315	0.669315	5.00265e-19	4.53414e-18	-1.58723	2.86342e-18	False	False
POPDC3	-0.668793	0.668793	4.36519e-18	3.61758e-17	-4.30797	1.75848e-39	False	False
CFTR	0.66865	0.66865	4.57096e-15	2.98861e-14	3.1228	7.0589e-45	False	False
KRT13	0.667655	0.667655	1.33287e-12	7.08807e-12	3.46461	8.87402e-36	False	False
CD28	0.666487	0.666487	9.3454e-12	4.5981e-11	2.25032	7.47381e-30	False	False
COL4A6	-0.665672	0.665672	3.40423e-17	2.61058e-16	-1.53156	4.11753e-13	False	False
CD48	0.665482	0.665482	8.12891e-10	3.35056e-09	1.60725	2.25272e-17	False	True
CXCR6	0.662602	0.662602	4.08387e-09	1.57258e-08	1.02479	2.38364e-07	False	True
CAMP	-0.662074	0.662074	9.12513e-17	6.8104e-16	-2.63961	1.63664e-29	False	False
GALNT6	0.661162	0.661162	5.58182e-10	2.34528e-09	1.01433	4.27705e-11	False	False
SYT13	-0.655129	0.655129	8.89444e-05	0.000209186	-1.04787	7.29809e-06	False	False
CEACAM1	0.651741	0.651741	2.09639e-07	6.73304e-07	1.31149	2.17791e-10	False	False
CCR7	0.65018	0.65018	7.49365e-08	2.5303e-07	1.7972	9.50613e-19	False	True
OASL	0.648308	0.648308	8.99159e-09	3.34471e-08	1.33409	1.56912e-13	False	False
CCR4	0.645528	0.645528	8.36843e-12	4.13827e-11	2.57447	1.49044e-30	False	False
DUSP13	0.644674	0.644674	1.56593e-12	8.25621e-12	2.73348	9.46676e-30	False	False
CD180	0.644409	0.644409	9.41912e-08	3.14598e-07	1.727	8.84477e-17	False	True
SOX11	0.643941	0.643941	1.65087e-09	6.57988e-09	2.06421	9.01822e-15	False	False
MICB	0.643685	0.643685	3.74265e-16	2.64492e-15	1.21148	1.06968e-19	False	True
GRIN2A	0.643449	0.643449	8.17029e-10	3.36644e-09	1.56245	1.02975e-16	False	True
PROM1	0.641115	0.641115	2.41492e-05	6.12757e-05	1.76938	3.02852e-09	False	False
GGTLC1	-0.64054	0.64054	3.24024e-25	4.48501e-24	-1.41557	6.32081e-20	False	False
IDO1	0.638447	0.638447	1.02989e-05	2.74403e-05	1.01393	4.78788e-05	False	False
DKK2	0.637998	0.637998	3.50078e-10	1.49232e-09	1.24763	1.11868e-11	False	True
TNFSF11	0.636862	0.636862	1.926e-14	1.20157e-13	2.88697	4.12637e-29	False	False
SH2D2A	0.63633	0.63633	9.73791e-13	5.22838e-12	1.51467	5.29759e-15	False	False
PTGER2	0.635648	0.635648	1.92642e-17	1.52216e-16	1.82909	1.77498e-27	False	False
FUT2	0.635399	0.635399	1.72311e-17	1.3689e-16	1.44373	4.76051e-27	False	False
TPH1	-0.632867	0.632867	1.58937e-24	2.103e-23	-1.52874	1.0362e-27	False	False
JPH2	-0.63228	0.63228	1.05279e-12	5.63444e-12	-1.08631	5.53904e-11	False	False
ADAMTS12	0.629504	0.629504	2.4693e-08	8.72525e-08	1.44084	5.1334e-15	False	True
ZFP69B	0.628168	0.628168	9.41264e-30	1.8401e-28	1.2793	3.66456e-45	False	True
KIF5C	-0.626172	0.626172	1.04686e-08	3.86344e-08	-1.3879	1.22554e-17	False	True
TPSB2	0.625275	0.625275	4.26321e-07	1.32244e-06	1.45954	6.49108e-07	False	False
TRIM17	0.624054	0.624054	2.42997e-25	3.39558e-24	1.10262	2.75244e-25	False	False
DCHS2	0.623599	0.623599	5.23269e-09	1.99268e-08	1.10166	3.74054e-09	False	False
LILRB3	0.620902	0.620902	8.89631e-13	4.79631e-12	1.08035	6.49964e-13	False	False
PRKCB	-0.620565	0.620565	1.10943e-05	2.94257e-05	-1.11376	2.23011e-08	False	False
L1CAM	0.619441	0.619441	4.35844e-07	1.35091e-06	1.28218	2.29474e-08	False	False
IRF4	-0.616264	0.616264	0.000400691	0.000860383	-1.01665	0.000142288	False	False
SSTR3	0.615897	0.615897	3.89012e-07	1.21249e-06	1.27453	1.09942e-08	False	False
AKAP3	-0.614349	0.614349	1.28822e-18	1.11907e-17	-1.04373	7.94776e-15	False	True
LCK	0.613239	0.613239	3.89623e-07	1.21407e-06	1.24334	5.6621e-13	False	True
FAIM2	0.612623	0.612623	8.86356e-12	4.36469e-11	2.16997	1.23332e-24	False	False
CA14	-0.612565	0.612565	8.46316e-33	2.06037e-31	-1.34729	8.80064e-46	False	True
CD247	0.61187	0.61187	3.54826e-08	1.23808e-07	1.4472	6.10421e-16	False	True
PLEKHA8P1	0.611442	0.611442	7.5319e-18	6.15053e-17	1.13754	2.29069e-26	False	False
CPA3	0.610974	0.610974	2.33581e-07	7.46107e-07	1.32962	4.90145e-07	False	False
F2RL2	0.610569	0.610569	6.87546e-09	2.58133e-08	2.27998	3.38547e-20	False	False
COL9A1	-0.609953	0.609953	5.98016e-27	9.45043e-26	-1.71717	8.19197e-18	False	False
PDE11A	-0.60847	0.60847	5.29392e-12	2.65603e-11	-1.13853	5.45942e-08	False	True
CLDN11	0.608291	0.608291	8.35858e-12	4.13515e-11	1.29828	6.57056e-17	False	False
ACSM5	-0.608051	0.608051	4.53783e-11	2.097e-10	-1.02251	4.92374e-12	False	True
SYNDIG1	-0.606437	0.606437	1.03353e-06	3.06551e-06	-1.06734	2.81063e-07	False	True
MUC4	0.606283	0.606283	1.47263e-06	4.29182e-06	1.97855	4.28945e-17	False	False
PPP1R3C	-0.60537	0.60537	3.95722e-14	2.3985e-13	-1.01714	4.99688e-13	False	True
STEAP1	0.604326	0.604326	9.79969e-12	4.80747e-11	2.5022	7.98657e-26	False	False
TFEC	0.603526	0.603526	9.20968e-09	3.42149e-08	1.02215	9.88041e-09	False	True
TGFB3	0.602347	0.602347	1.73623e-07	5.63506e-07	1.16789	1.5774e-13	False	True
MTUS2	-0.602053	0.602053	4.9421e-13	2.72339e-12	-1.5238	2.30367e-15	False	False
NOX5	-0.60175	0.60175	0.000299164	0.000653827	-1.94306	3.94869e-11	False	False
IL23A	0.600058	0.600058	8.89619e-25	1.19741e-23	1.42085	1.95709e-36	False	False
CXCL5	0.598107	0.598107	7.80051e-10	3.22201e-09	4.25687	1.20495e-41	False	False
MS4A1	0.596851	0.596851	0.00369898	0.00688633	2.28917	8.23723e-11	False	False
COL5A2	0.596298	0.596298	0.000198529	0.000444507	1.3874	2.29561e-11	False	True
KRT6A	0.594702	0.594702	0.000289333	0.000633998	2.66498	1.17172e-11	False	False
CST4	0.593027	0.593027	5.84328e-06	1.60283e-05	3.05051	1.67666e-20	False	False
ADRA2C	0.591366	0.591366	1.68687e-07	5.48854e-07	1.12601	9.91764e-10	False	False
HHIPL2	-0.590769	0.590769	3.0548e-09	1.18803e-08	-1.66516	2.13753e-08	False	False
CES3	-0.590112	0.590112	2.27009e-12	1.18093e-11	-1.15126	1.09179e-10	False	False
IL21R	0.588705	0.588705	2.90749e-08	1.0215e-07	1.16222	3.98223e-09	False	False
SLC18A3	0.588389	0.588389	1.44221e-05	3.78151e-05	5.27354	6.63617e-30	False	False
GJB4	0.585161	0.585161	1.18192e-16	8.73752e-16	3.36104	2.05187e-50	False	False
SIRPG	0.583811	0.583811	4.4446e-09	1.70308e-08	2.09298	1.42747e-20	False	False
BRSK2	-0.581871	0.581871	3.12226e-21	3.30277e-20	-1.51789	3.13858e-22	False	False
TNFSF14	0.580617	0.580617	2.24567e-13	1.27593e-12	1.7157	1.81065e-21	False	False
BAMBI	-0.578252	0.578252	1.35322e-11	6.54529e-11	-1.42213	1.12108e-15	False	True
ZAP70	0.573735	0.573735	8.7131e-07	2.60881e-06	1.34796	5.06887e-13	False	False
KIF21B	0.57343	0.57343	8.77243e-10	3.59808e-09	1.26796	6.19503e-18	False	True
SCTR	-0.572484	0.572484	9.1613e-20	8.73606e-19	-1.17117	3.02814e-16	False	False
ADAMDEC1	0.572285	0.572285	1.05158e-05	2.7999e-05	1.58679	1.43523e-07	False	False
MSC	0.571143	0.571143	1.40755e-10	6.19638e-10	1.34455	3.8671e-12	False	True
PRRX2	0.570627	0.570627	9.34326e-09	3.46452e-08	1.00593	3.6216e-08	False	True
AOC1	-0.569447	0.569447	0.000615824	0.00129281	-1.64125	4.4349e-09	False	False
ICOS	0.568273	0.568273	1.20052e-10	5.32908e-10	2.5596	2.77554e-29	False	False
NLRP3	0.56675	0.56675	2.94528e-09	1.14964e-08	1.00588	1.21258e-10	False	False
LYPD3	0.565507	0.565507	1.17186e-18	1.0195e-17	1.14674	3.53979e-20	False	True
HAP1	-0.564188	0.564188	1.54349e-09	6.17846e-09	-1.07535	1.43647e-07	False	False
IL12RB1	0.562819	0.562819	1.80934e-10	7.89689e-10	1.13414	3.3212e-11	False	False
MCF2L-AS1	-0.56256	0.56256	1.94255e-32	4.58615e-31	-1.03029	4.14033e-30	False	True
TNFRSF8	0.561956	0.561956	4.90718e-14	2.94985e-13	1.37359	3.41218e-19	False	False
SLC7A4	0.561329	0.561329	7.88029e-26	1.15204e-24	2.46333	1.11084e-44	False	False
GNMT	-0.55782	0.55782	2.05861e-31	4.52275e-30	-1.37902	6.2589e-23	False	False
LAMA3	0.553767	0.553767	6.74535e-06	1.83778e-05	1.08433	3.06652e-08	False	False
SLC28A3	0.553504	0.553504	6.40801e-06	1.75077e-05	1.49559	2.35376e-10	False	False
TREH	-0.552394	0.552394	8.96736e-23	1.05536e-21	-2.05629	6.74965e-27	False	False
CST1	0.55184	0.55184	2.14936e-05	5.49661e-05	5.91337	4.01181e-36	False	False
DLL3	-0.550712	0.550712	4.67154e-30	9.33512e-29	-2.24246	5.27851e-22	False	False
CHL1	-0.548041	0.548041	0.000233534	0.000518129	-2.8129	1.91073e-22	False	False
MYOC	0.54311	0.54311	0.001291	0.00258421	1.78336	3.91531e-05	False	False
LAX1	0.540683	0.540683	1.09841e-05	2.91531e-05	2.76875	3.07714e-22	False	False
ZBP1	0.538658	0.538658	1.54031e-06	4.47792e-06	2.31416	2.15258e-20	False	False
LGALS2	0.537621	0.537621	9.89293e-12	4.84915e-11	1.37962	2.55608e-13	False	False
TRIB3	-0.536737	0.536737	0.00358587	0.00668852	-1.16327	1.96135e-05	False	False
TLR8	0.535312	0.535312	5.11334e-10	2.15852e-09	1.51364	4.45998e-16	False	False
SCG2	0.534545	0.534545	9.59058e-09	3.55173e-08	2.25326	4.4579e-24	False	False
PRPH2	-0.533308	0.533308	1.55267e-05	4.05661e-05	-1.18852	5.62773e-07	False	False
FLNC	0.532541	0.532541	0.000100652	0.000234882	1.01515	1.60633e-06	False	False
CXorf21	0.529503	0.529503	1.52896e-11	7.37403e-11	1.19726	5.7865e-14	False	False
FGF20	0.528973	0.528973	1.94813e-10	8.48053e-10	2.00081	9.3902e-24	False	False
TMEM158	0.528185	0.528185	1.96974e-13	1.12625e-12	1.97355	2.68761e-25	False	False
AGMAT	-0.52816	0.52816	3.70837e-23	4.51404e-22	-1.02725	9.00365e-24	False	True
SIT1	0.527883	0.527883	3.1288e-08	1.09597e-07	1.97826	1.93326e-21	False	False
LAG3	0.526225	0.526225	5.82351e-06	1.59853e-05	1.1131	4.2988e-07	False	False
NINJ2	0.525653	0.525653	2.34345e-14	1.44888e-13	1.43597	1.3268e-19	False	False
TPSAB1	0.524894	0.524894	2.02366e-06	5.80953e-06	1.06009	0.000210093	False	False
SH2D1A	0.522147	0.522147	2.05887e-07	6.62347e-07	2.17081	3.39255e-22	False	False
KIAA1549L	0.521218	0.521218	5.5315e-06	1.52194e-05	1.94808	5.54397e-14	False	False
NEURL1	0.520978	0.520978	1.38598e-15	9.38142e-15	2.35662	8.94418e-43	False	False
MEOX1	0.520465	0.520465	1.61351e-09	6.44413e-09	1.10038	7.33312e-08	False	True
NEFL	-0.520284	0.520284	7.55022e-09	2.82922e-08	-2.58439	2.9991e-17	False	False
MT3	-0.51865	0.51865	7.99381e-20	7.63519e-19	-2.39268	4.17998e-25	False	False
SLC22A4	0.517502	0.517502	7.04883e-26	1.03826e-24	1.05773	6.14586e-36	False	True
TNFAIP6	0.517107	0.517107	7.6436e-08	2.57795e-07	1.44983	2.12964e-13	False	False
WNT7A	0.516993	0.516993	4.68043e-09	1.79169e-08	3.82319	4.60681e-31	False	False
DGKG	-0.516932	0.516932	1.60347e-07	5.22588e-07	-1.0959	2.74325e-10	False	False
TNN	-0.516518	0.516518	1.17023e-06	3.45173e-06	-1.02634	3.85004e-05	False	False
TMC5	0.516395	0.516395	6.16549e-11	2.80598e-10	1.04521	7.76506e-12	False	False
SERPINF2	0.516	0.516	3.0371e-12	1.56121e-11	1.08937	3.37008e-14	False	False
POU2F2	0.515807	0.515807	1.48141e-05	3.87995e-05	1.33444	1.82652e-12	False	False
ECEL1	-0.514655	0.514655	1.59164e-05	4.15288e-05	-1.99805	4.01616e-19	False	False
FST	0.514607	0.514607	6.48453e-08	2.20162e-07	1.72603	7.41436e-15	False	False
LY9	0.512913	0.512913	6.31057e-06	1.72495e-05	1.98628	7.48721e-17	False	False
OSM	0.511713	0.511713	2.61679e-06	7.44838e-06	1.28747	1.30465e-08	False	False
HCN2	-0.511379	0.511379	1.40687e-14	8.87632e-14	-2.5454	9.08705e-31	False	False
SUGCT	0.510642	0.510642	2.20007e-06	6.29897e-06	1.17277	2.27982e-11	False	False
CBR3	0.509338	0.509338	4.34419e-22	4.89139e-21	1.03219	7.25605e-18	False	True
FGFR3	0.503063	0.503063	0.00159738	0.0031517	1.03171	9.98332e-07	False	False
TOX	0.502396	0.502396	7.40869e-06	2.00684e-05	1.19294	2.14672e-09	False	False
KLRB1	0.500796	0.500796	6.88337e-10	2.86135e-09	1.24242	5.12673e-12	False	True
PSG4	0.500295	0.500295	7.07003e-06	1.91999e-05	4.82328	8.37309e-24	False	False
CTNND2	-0.498927	0.498927	2.88555e-09	1.12708e-08	-2.01266	2.35441e-12	False	False
ATP4A	-0.496772	0.496772	2.81785e-19	2.59003e-18	-1.82731	8.49665e-16	False	False
RBFOX1	0.493745	0.493745	0.00871113	0.0152409	2.60342	2.21843e-13	False	False
HSPA6	0.491518	0.491518	4.32941e-05	0.000106084	1.0644	3.4387e-07	False	True
CXCL1	0.48831	0.48831	1.98533e-08	7.09219e-08	2.12151	4.55625e-17	False	False
FAT2	0.48779	0.48779	5.04802e-05	0.0001226	1.1162	6.23048e-08	False	False
