gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
CD101	0.421764	0.421764	1.4372e-12	7.61863e-12	1.11411	2.34728e-15	False	False
PCOLCE2	0.421432	0.421432	0.000516861	0.00109646	1.14805	9.92331e-06	False	False
PPBP	0.418528	0.418528	2.49897e-05	6.3285e-05	2.56124	7.25677e-17	False	False
GRAP2	0.416608	0.416608	1.01185e-07	3.36518e-07	1.35109	1.06343e-16	False	False
INSL3	0.416322	0.416322	2.88041e-23	3.5319e-22	2.78622	1.08571e-41	False	False
KRT16	0.414423	0.414423	7.5457e-05	0.000179448	3.04374	3.37802e-19	False	False
GZMK	0.414279	0.414279	2.45434e-06	7.00471e-06	2.26424	4.60128e-17	False	False
TNNT1	0.414269	0.414269	0.00154314	0.0030524	3.7736	2.01304e-25	False	False
MAT1A	-0.413554	0.413554	2.69796e-09	1.05627e-08	-1.53902	5.54886e-07	False	False
OR7E47P	-0.412702	0.412702	4.47739e-36	1.33072e-34	-1.85158	5.29537e-25	False	False
GPR171	0.411903	0.411903	1.34128e-08	4.88384e-08	1.20416	9.0017e-09	False	False
XCR1	0.411829	0.411829	2.89229e-07	9.15125e-07	2.70686	1.1796e-24	False	False
CNTN2	-0.411268	0.411268	2.71421e-34	7.27308e-33	-1.89717	1.45057e-23	False	False
CYP17A1	-0.406971	0.406971	1.29795e-14	8.20682e-14	-1.39079	2.00188e-13	False	False
CTRC	-0.404454	0.404454	1.89771e-13	1.08773e-12	-2.11742	1.57419e-14	False	False
ICAM3	0.403825	0.403825	4.13388e-09	1.59027e-08	2.02316	1.19911e-25	False	False
CRTAM	0.402143	0.402143	3.01771e-08	1.05896e-07	1.71005	5.12703e-18	False	False
IFNAR2	0.402002	0.402002	4.73469e-28	8.18955e-27	1.21544	7.14522e-35	False	False
FUT7	0.399339	0.399339	1.54441e-12	8.15008e-12	1.54823	4.43961e-16	False	False
PAX1	-0.398795	0.398795	2.29383e-06	6.55781e-06	-1.59292	0.00157109	False	False
PYHIN1	0.398728	0.398728	1.69971e-06	4.91934e-06	1.76805	1.332e-17	False	False
CD80	0.397564	0.397564	3.49425e-10	1.49008e-09	1.68218	1.20317e-17	False	False
TWIST1	0.395345	0.395345	6.98687e-05	0.000167006	1.10624	4.50907e-08	False	False
NXPH4	-0.393064	0.393064	2.72462e-09	1.06635e-08	-2.59614	3.59492e-40	False	False
ARSF	-0.392921	0.392921	2.50435e-12	1.29876e-11	-4.82892	8.96633e-48	False	False
DKK1	-0.391211	0.391211	5.04433e-08	1.73478e-07	-1.75796	5.29399e-15	False	False
SLC38A4	0.388882	0.388882	1.15304e-06	3.40361e-06	1.39957	1.91308e-09	False	False
ENDOU	-0.388365	0.388365	1.69995e-15	1.14339e-14	-1.01473	5.81537e-11	False	False
HAS1	0.387811	0.387811	0.000701114	0.00145905	3.48225	1.49854e-21	False	False
KCNJ13	-0.387753	0.387753	0.000196842	0.000441236	-1.10484	0.000318285	False	False
BEGAIN	-0.387374	0.387374	1.72557e-18	1.4788e-17	-1.2066	2.91719e-17	False	False
CNR1	0.385517	0.385517	0.000681724	0.00142122	1.2861	3.27123e-07	False	False
EGOT	0.385066	0.385066	9.15749e-11	4.11016e-10	1.59707	1.17943e-17	False	False
CTNNA2	-0.381051	0.381051	7.6169e-23	9.02772e-22	-2.61387	9.38229e-20	False	False
GABRR2	-0.379823	0.379823	4.06182e-23	4.92381e-22	-1.06797	3.31296e-22	False	False
P2RX3	-0.378747	0.378747	4.48128e-45	2.24256e-43	-2.61707	1.85149e-51	False	False
SMR3B	-0.377636	0.377636	3.68126e-08	1.28258e-07	-3.47747	3.88386e-16	False	False
SCN7A	0.377567	0.377567	0.000269938	0.000593944	1.66914	2.76728e-08	False	False
ABCA12	0.376783	0.376783	6.52312e-09	2.45298e-08	1.70085	7.59213e-20	False	False
CSDC2	0.376475	0.376475	1.82229e-08	6.54572e-08	1.80419	3.42286e-15	False	False
GLI2	0.37642	0.37642	2.54756e-07	8.10431e-07	1.08393	9.07543e-11	False	False
BAALC	0.376018	0.376018	1.69121e-05	4.39992e-05	1.03016	4.60975e-08	False	False
CACNA1B	-0.375867	0.375867	6.41777e-08	2.18212e-07	-1.27914	5.38239e-08	False	False
PROC	0.375678	0.375678	7.10145e-07	2.15121e-06	1.06914	3.06846e-09	False	False
ALDH3B2	0.375022	0.375022	1.77361e-10	7.74385e-10	2.441	3.79233e-23	False	False
F12	-0.374966	0.374966	9.00096e-12	4.43049e-11	-1.25834	5.55193e-16	False	False
S100A3	0.374674	0.374674	2.87481e-14	1.76621e-13	1.42714	7.59905e-21	False	False
PAX5	0.374567	0.374567	0.00596743	0.0107126	3.89506	1.8177e-26	False	False
TUBA4B	-0.370814	0.370814	1.18813e-23	1.48961e-22	-2.35237	1.7348e-22	False	False
CHRNA4	-0.370181	0.370181	0.0027506	0.00523902	-1.21667	0.000663552	False	False
SLC15A1	-0.37013	0.37013	7.1748e-17	5.39261e-16	-1.50588	2.45229e-14	False	False
SPRR1B	0.36797	0.36797	5.64437e-05	0.000136308	4.89272	4.5435e-27	False	False
KLK15	-0.367235	0.367235	8.68806e-12	4.28548e-11	-2.15707	9.0772e-09	False	False
PI15	0.367172	0.367172	3.58741e-07	1.12232e-06	2.44541	3.86774e-22	False	False
GJB1	-0.365904	0.365904	1.80582e-20	1.81512e-19	-2.8602	2.34377e-15	False	False
UPK2	0.365594	0.365594	9.30922e-07	2.77735e-06	2.44888	3.98262e-21	False	False
SHOX2	0.36497	0.36497	2.03163e-09	8.04272e-09	1.79461	6.50314e-19	False	False
VASH2	0.364361	0.364361	2.14691e-09	8.47718e-09	1.21866	8.52955e-17	False	False
TCN1	0.363506	0.363506	2.44284e-05	6.19438e-05	4.56765	5.45984e-42	False	False
NKX3-2	0.363343	0.363343	3.07508e-07	9.70859e-07	2.88776	4.56623e-24	False	False
AIM2	0.363241	0.363241	2.82908e-05	7.11829e-05	2.37613	5.66566e-20	False	False
EGFL6	0.362614	0.362614	8.44907e-06	2.27393e-05	1.06168	9.77771e-06	False	False
ZFR2	-0.361706	0.361706	4.07784e-05	0.000100255	-1.12139	1.86661e-06	False	False
OXCT2	-0.360248	0.360248	4.87934e-10	2.06271e-09	-1.42079	1.17038e-12	False	False
TNFSF8	0.359707	0.359707	2.1144e-05	5.41904e-05	1.06335	9.48988e-08	False	False
SLC26A3	-0.355819	0.355819	6.01812e-28	1.02729e-26	-2.38717	3.6253e-24	False	False
P2RX1	0.355509	0.355509	5.876e-06	1.61105e-05	1.50357	3.81317e-11	False	False
FLT3	0.352776	0.352776	4.12232e-08	1.42818e-07	2.4382	7.07727e-27	False	False
MYLPF	0.350271	0.350271	2.04209e-08	7.28607e-08	1.283	2.79881e-16	False	False
LTA	0.348015	0.348015	1.70187e-08	6.12633e-08	2.53264	4.18645e-27	False	False
GABRA5	-0.346817	0.346817	4.05717e-16	2.85514e-15	-3.03053	9.02426e-26	False	False
SPOCK3	0.343475	0.343475	0.000477613	0.00101651	3.81859	2.2309e-27	False	False
STAP1	0.342052	0.342052	4.35864e-05	0.000106666	3.30257	8.59295e-30	False	False
TMEM156	0.341182	0.341182	3.42622e-05	8.51465e-05	1.50312	1.93688e-14	False	False
DUSP26	-0.340708	0.340708	2.10069e-09	8.31051e-09	-1.0525	1.40277e-06	False	False
CDH15	0.340259	0.340259	1.568e-07	5.11599e-07	1.60965	2.45018e-13	False	False
RBP4	0.339341	0.339341	0.000120656	0.00027818	1.06894	1.48917e-07	False	False
STYK1	0.338334	0.338334	5.11867e-12	2.57031e-11	1.57845	5.79291e-18	False	False
OSR2	0.338292	0.338292	8.07379e-05	0.000190882	1.40159	6.98774e-09	False	False
CCR3	0.337477	0.337477	1.38055e-07	4.52581e-07	1.14624	4.08246e-10	False	False
CCL23	0.334205	0.334205	9.97042e-14	5.85525e-13	2.61967	1.25695e-33	False	False
PRSS12	0.333739	0.333739	0.00181972	0.00356445	1.31689	2.45095e-07	False	False
VSNL1	0.330466	0.330466	9.07126e-05	0.000213131	1.87806	3.64189e-12	False	False
CD40LG	0.329009	0.329009	1.55357e-05	4.05806e-05	1.86065	7.75444e-17	False	False
ORM1	-0.328626	0.328626	2.73065e-07	8.65382e-07	-1.5574	6.22593e-08	False	False
SLCO5A1	0.327617	0.327617	4.11667e-07	1.27834e-06	3.03445	3.76053e-31	False	False
ADCY2	-0.325857	0.325857	7.18537e-05	0.000171541	-1.55628	1.94267e-10	False	False
ZNF804A	-0.325279	0.325279	2.01996e-10	8.78015e-10	-1.7936	3.7913e-21	False	False
HOXD1	0.323587	0.323587	9.01091e-06	2.41847e-05	4.46226	1.28932e-31	False	False
PIP	-0.322136	0.322136	2.08362e-36	6.37056e-35	-3.94019	5.16741e-37	False	False
TRAT1	0.321465	0.321465	1.06436e-05	2.83009e-05	2.30649	9.58587e-20	False	False
WNT2	0.319801	0.319801	6.16641e-06	1.68791e-05	3.10904	1.80822e-22	False	False
SLC52A1	-0.316713	0.316713	0.000111858	0.000259349	-1.05401	2.02291e-07	False	False
ADAM11	-0.316009	0.316009	8.64972e-10	3.54899e-09	-1.22419	2.38063e-14	False	False
CCL24	0.315871	0.315871	5.03382e-06	1.39286e-05	2.69249	6.43839e-22	False	False
IBSP	0.315025	0.315025	1.08226e-06	3.20355e-06	2.7866	6.34171e-19	False	False
VNN2	0.314121	0.314121	9.6243e-05	0.000225401	1.44793	8.09764e-13	False	False
CACNA1E	0.312477	0.312477	0.0128283	0.021774	2.44112	1.57955e-13	False	False
P2RX5	0.312168	0.312168	0.000158802	0.000360881	3.00099	6.41551e-24	False	False
TMEM40	0.311647	0.311647	1.75069e-05	4.53754e-05	3.36303	5.95334e-29	False	False
MYL3	-0.310032	0.310032	3.1499e-08	1.10303e-07	-1.00599	3.51073e-14	False	False
ALB	-0.308463	0.308463	0.000744861	0.0015435	-1.08442	1.20998e-11	False	False
ONECUT2	-0.308147	0.308147	1.93409e-37	6.20497e-36	-1.61541	1.19975e-30	False	False
NDP	-0.307695	0.307695	1.86319e-10	8.12285e-10	-1.68696	1.62298e-12	False	False
FCRL2	0.306681	0.306681	0.000649337	0.00135854	4.47032	3.53907e-27	False	False
INHA	-0.305263	0.305263	3.32033e-12	1.69861e-11	-1.01865	5.46166e-12	False	False
SERPINB2	0.302709	0.302709	9.02671e-08	3.02267e-07	3.54203	1.243e-25	False	False
SPIB	0.301132	0.301132	0.00221486	0.00427635	2.60495	1.70293e-18	False	False
VSX1	-0.300865	0.300865	1.2051e-09	4.8779e-09	-1.94682	4.51829e-16	False	False
GPR37	0.300292	0.300292	0.000377101	0.000813083	1.48668	1.24113e-08	False	False
CA5A	-0.299463	0.299463	3.72586e-33	9.30272e-32	-1.70544	4.756e-23	False	False
SLC4A8	0.299417	0.299417	9.6852e-05	0.000226646	1.01157	7.26853e-08	False	False
CHAC1	-0.299194	0.299194	0.00199942	0.0038873	-1.14834	8.7386e-09	False	False
DMBT1	0.297988	0.297988	0.000757064	0.00156697	1.69896	5.23007e-08	False	False
TACR1	0.295971	0.295971	9.21626e-09	3.42285e-08	1.00725	2.1457e-10	False	False
PNOC	0.292952	0.292952	2.4984e-05	6.32841e-05	3.23987	2.30786e-20	False	False
TUBB3	0.290562	0.290562	4.55707e-20	4.47303e-19	2.49199	7.46821e-38	False	False
FPR2	0.29029	0.29029	4.01765e-06	1.12579e-05	2.6652	1.1612e-21	False	False
PART1	-0.290134	0.290134	7.08263e-10	2.94105e-09	-2.23075	4.71326e-12	False	False
CCR9	0.286913	0.286913	7.5648e-07	2.28427e-06	3.89245	3.80156e-32	False	False
CLCA2	0.283985	0.283985	0.00195375	0.00380989	2.50546	8.64456e-16	False	False
SLC19A3	0.282983	0.282983	6.8148e-08	2.30907e-07	2.57877	1.82132e-22	False	False
FAM131B	0.281593	0.281593	1.18861e-11	5.78015e-11	1.01151	1.58761e-17	False	False
GPA33	0.280564	0.280564	2.01132e-08	7.18065e-08	2.4003	1.06139e-24	False	False
AMPD1	0.279381	0.279381	0.000277161	0.000608807	3.90277	3.23466e-18	False	False
LYPD1	0.278083	0.278083	2.53049e-07	8.05217e-07	1.55927	1.77431e-14	False	False
TREML2	0.277811	0.277811	8.42959e-08	2.83081e-07	2.61773	1.21613e-32	False	False
HNF1B	0.276623	0.276623	0.00227254	0.00437904	2.15582	3.86533e-13	False	False
PPP4R4	0.276358	0.276358	3.03486e-08	1.06434e-07	1.18737	9.27231e-14	False	False
RNASE2	0.272682	0.272682	3.26587e-08	1.14193e-07	1.50765	7.76767e-13	False	False
CGREF1	0.272466	0.272466	2.96879e-07	9.39076e-07	1.36712	3.25428e-11	False	False
SLC5A1	-0.271269	0.271269	5.90701e-11	2.69148e-10	-2.34721	1.60801e-15	False	False
LY6D	0.269883	0.269883	0.000150012	0.000342033	3.78364	9.08065e-20	False	False
CHAT	0.269862	0.269862	0.00312084	0.00587919	4.8502	7.10793e-22	False	False
BARX1	-0.268691	0.268691	0.00249512	0.00477963	-1.01284	0.000270678	False	False
AZU1	0.267586	0.267586	0.000192853	0.000433233	2.51608	1.60322e-17	False	False
XPNPEP2	0.266721	0.266721	1.25577e-05	3.31195e-05	2.00207	2.43872e-14	False	False
INHBE	-0.264677	0.264677	2.47128e-07	7.88089e-07	-1.18275	0.00162738	False	False
XCL1	0.2646	0.2646	4.03076e-07	1.25333e-06	1.32934	9.7491e-10	False	False
LGR5	0.264151	0.264151	4.9219e-06	1.3638e-05	2.79576	1.46356e-18	False	False
PVALB	-0.264104	0.264104	1.30781e-06	3.83918e-06	-2.1226	5.69455e-16	False	False
CALB2	0.259979	0.259979	0.00151836	0.00300613	1.28302	3.49456e-05	False	False
C8B	-0.259658	0.259658	3.40844e-10	1.45455e-09	-1.79785	9.04639e-07	False	False
PITX3	0.257094	0.257094	1.34553e-09	5.41823e-09	2.09912	1.41706e-19	False	False
POU3F1	0.25567	0.25567	0.00051045	0.00108345	1.51227	1.10599e-08	False	False
TH	0.254975	0.254975	1.06422e-08	3.92504e-08	2.25604	1.43051e-21	False	False
NPTX1	0.254525	0.254525	7.55134e-05	0.000179545	2.24245	3.0905e-16	False	False
PTPRN	0.253528	0.253528	9.74936e-05	0.000227965	2.97799	4.54449e-25	False	False
ARL14	0.252521	0.252521	0.000768966	0.00158895	1.33306	2.66033e-07	False	False
GRIA3	0.252323	0.252323	0.0299752	0.0475494	1.02822	0.00209983	False	False
TCL1A	0.25098	0.25098	0.0274692	0.0438952	3.94804	6.32876e-22	False	False
PTGDS	0.250206	0.250206	6.33639e-05	0.000152172	1.10696	3.05536e-06	False	False
TNFRSF13B	0.249267	0.249267	0.000607486	0.00127645	3.31316	6.51444e-22	False	False
PTGER1	0.248901	0.248901	2.66404e-07	8.45418e-07	1.5189	2.06436e-12	False	False
LPAR3	0.245325	0.245325	1.46926e-05	3.8516e-05	1.44553	1.89586e-09	False	False
CNNM1	-0.244844	0.244844	2.21814e-13	1.26151e-12	-1.76813	1.09771e-13	False	False
FAM83E	0.243802	0.243802	0.000383503	0.00082643	2.83627	6.15818e-19	False	False
CYP11A1	0.243479	0.243479	5.62056e-06	1.54536e-05	1.31285	2.26513e-08	False	False
NEUROG2	-0.243458	0.243458	2.15466e-07	6.908e-07	-3.58979	1.10322e-15	False	False
FASLG	0.243177	0.243177	9.94856e-05	0.000232252	1.15565	3.22236e-07	False	False
NCAN	-0.242996	0.242996	1.12036e-29	2.17569e-28	-1.78367	2.76047e-27	False	False
TNF	0.241887	0.241887	0.000270439	0.000594823	1.0627	1.04901e-05	False	False
PPEF1	0.24078	0.24078	4.22338e-05	0.000103594	1.14129	1.21517e-08	False	False
IL18RAP	0.240444	0.240444	1.26843e-10	5.622e-10	1.11873	1.00924e-12	False	False
FOXA1	0.239584	0.239584	0.000228615	0.000507984	1.59676	5.17413e-09	False	False
RFX4	-0.239458	0.239458	6.09183e-30	1.20703e-28	-2.23738	4.11017e-19	False	False
MMP10	0.239128	0.239128	3.03005e-05	7.59621e-05	2.78259	2.31594e-18	False	False
CADM3-AS1	0.236769	0.236769	6.43966e-08	2.18829e-07	1.54733	1.1789e-13	False	False
SIGLEC7	0.235612	0.235612	0.000433857	0.000928448	1.10063	1.0197e-10	False	False
DNTT	-0.233479	0.233479	2.88023e-28	5.01896e-27	-2.45421	1.29072e-14	False	False
FCER2	0.233117	0.233117	0.0204638	0.0335383	2.90747	6.71022e-19	False	False
FRMPD1	-0.230814	0.230814	5.41751e-15	3.53224e-14	-1.25543	2.05593e-12	False	False
CDSN	0.229276	0.229276	1.09785e-23	1.38383e-22	3.25213	1.04254e-39	False	False
TNNI2	0.228492	0.228492	0.000633174	0.00132685	1.19569	6.47349e-08	False	False
GZMM	0.227977	0.227977	0.00303124	0.00572421	1.01012	1.49925e-07	False	False
F7	0.227368	0.227368	1.43942e-06	4.19608e-06	1.51795	1.87897e-12	False	False
KCND2	0.226541	0.226541	1.14767e-05	3.03918e-05	1.9003	3.98713e-13	False	False
GNRH2	-0.226139	0.226139	1.38494e-29	2.65863e-28	-1.72649	5.72709e-33	False	False
GAD1	-0.225474	0.225474	1.04316e-09	4.24885e-09	-2.31408	7.98626e-30	False	False
NTS	0.225081	0.225081	0.000345926	0.000750285	1.96572	1.04923e-07	False	False
LINC00652	-0.223564	0.223564	2.35148e-17	1.83907e-16	-1.14607	2.40634e-14	False	False
TUBB2B	0.223354	0.223354	0.000107865	0.000250764	1.37497	2.80812e-09	False	False
CEACAM5	0.222788	0.222788	0.000961456	0.00196041	3.84537	2.66143e-18	False	False
CCL7	0.222411	0.222411	9.89379e-11	4.42537e-10	2.96754	5.76703e-22	False	False
MYOZ3	0.220328	0.220328	1.94764e-06	5.59844e-06	1.07348	2.40447e-12	False	False
NCR3	0.218728	0.218728	3.37451e-05	8.39683e-05	1.80637	1.43143e-15	False	False
CACNA1G	0.217183	0.217183	0.0119458	0.0203974	1.05745	1.90188e-05	False	False
ASTN1	-0.217064	0.217064	1.13474e-05	3.00628e-05	-1.12944	9.584e-08	False	False
NTF3	0.216765	0.216765	0.00141766	0.00281992	1.40416	1.39778e-07	False	False
GBA3	-0.216759	0.216759	2.47279e-06	7.05566e-06	-1.15226	0.00104199	False	False
LINC00574	0.216688	0.216688	2.25274e-13	1.2787e-12	2.22103	1.45264e-27	False	False
PRTN3	0.21656	0.21656	7.9806e-06	2.15329e-05	1.14842	2.25155e-07	False	False
CCR8	0.214494	0.214494	1.28642e-05	3.38974e-05	1.69982	7.63129e-11	False	False
GABRA6	0.212627	0.212627	1.45476e-21	1.57442e-20	4.02729	1.95754e-50	False	False
MS4A2	0.211781	0.211781	4.58539e-05	0.000111923	1.39311	3.72892e-07	False	False
CYP19A1	0.209767	0.209767	0.000661897	0.00138235	2.02878	1.21362e-12	False	False
PADI1	0.208267	0.208267	5.29102e-08	1.81429e-07	3.92716	2.70583e-36	False	False
CABYR	0.205654	0.205654	0.000770093	0.00159072	1.01485	4.74487e-07	False	False
FZD9	-0.205193	0.205193	3.42929e-16	2.43228e-15	-1.3112	1.57033e-11	False	False
NR2E1	-0.203283	0.203283	3.49953e-18	2.9292e-17	-4.49422	5.80048e-32	False	False
ELANE	0.203193	0.203193	0.000771212	0.00159275	3.05907	8.14843e-18	False	False
GGTLC2	-0.200715	0.200715	0.00012727	0.000292405	-1.00587	4.48768e-05	False	False
PTPRH	0.200693	0.200693	3.42811e-08	1.19688e-07	1.70565	7.20271e-21	False	False
TCHH	0.20052	0.20052	6.68072e-10	2.78079e-09	1.2546	1.50736e-15	False	False
HTR1D	0.200129	0.200129	1.24996e-05	3.29886e-05	1.62793	5.18929e-19	False	False
INA	0.19917	0.19917	0.000621707	0.00130469	1.24446	6.12469e-07	False	False
GRIA2	0.197809	0.197809	0.000239753	0.000531122	2.49572	7.13487e-13	False	False
BMPR1B	0.197353	0.197353	9.13211e-05	0.000214432	1.51496	2.8249e-09	False	False
OPRD1	-0.197121	0.197121	3.96524e-13	2.20899e-12	-1.16954	4.71778e-14	False	False
PRG4	0.194445	0.194445	0.0261349	0.0419233	1.26841	1.6068e-07	False	False
PFKFB1	-0.192944	0.192944	3.53766e-11	1.65373e-10	-1.00861	2.52006e-11	False	False
BTNL8	-0.191903	0.191903	2.3816e-08	8.42299e-08	-1.38578	4.66214e-09	False	False
KCNJ6	0.190274	0.190274	3.85922e-05	9.51599e-05	2.60986	3.02303e-15	False	False
GP6	-0.189579	0.189579	7.24959e-13	3.93934e-12	-1.03028	1.65441e-12	False	False
SERPINB5	0.189021	0.189021	0.0174566	0.02902	2.13602	2.81072e-08	False	False
GPR18	0.188952	0.188952	0.00378907	0.0070395	1.56213	1.49846e-12	False	False
CXCR2	0.188545	0.188545	6.5257e-07	1.98431e-06	1.09402	2.92313e-10	False	False
JAKMIP2	0.188247	0.188247	3.80917e-06	1.06916e-05	1.40404	4.97344e-11	False	False
GPR1	0.185989	0.185989	0.00573855	0.0103446	1.14171	0.000112131	False	False
DIO3	0.185058	0.185058	0.000238547	0.000528751	1.82296	8.41841e-08	False	False
LBP	0.184947	0.184947	0.00136151	0.00271421	3.86279	9.0868e-19	False	False
GBX2	0.184939	0.184939	0.000562507	0.00118598	1.84992	2.59875e-08	False	False
EN1	0.184337	0.184337	1.05179e-06	3.1181e-06	1.91359	1.80174e-14	False	False
PLEKHS1	0.184137	0.184137	0.00129514	0.00259162	2.32226	2.32057e-14	False	False
KISS1	0.183294	0.183294	0.00103888	0.00211055	1.65756	1.11756e-10	False	False
RPH3A	-0.18286	0.18286	6.49908e-06	1.7744e-05	-1.57489	9.2782e-10	False	False
MMP3	0.181842	0.181842	0.000477762	0.00101664	4.1975	8.22981e-19	False	False
LAIR2	0.181295	0.181295	7.94719e-09	2.97416e-08	1.81699	1.55264e-14	False	False
SLC18A2	0.180586	0.180586	2.39233e-05	6.0742e-05	1.41641	1.27205e-09	False	False
DMP1	0.180056	0.180056	0.000813549	0.00167252	2.17563	4.03259e-10	False	False
RAB3B	0.179696	0.179696	4.83847e-05	0.00011772	1.45209	1.13461e-09	False	False
KRT6B	0.178916	0.178916	0.0185456	0.0306952	3.51125	1.29017e-12	False	False
OR3A2	-0.175931	0.175931	3.47416e-07	1.08922e-06	-2.4262	1.12278e-12	False	False
HTR1E	-0.175924	0.175924	3.53033e-06	9.9447e-06	-1.3527	0.000304799	False	False
ACTC1	0.175412	0.175412	0.0292579	0.0465061	1.2002	8.60916e-06	False	False
PTPRZ1	0.17461	0.17461	8.85179e-06	2.37794e-05	1.97325	7.15726e-15	False	False
PTGFR	0.173908	0.173908	0.000543435	0.00114888	1.76021	1.55299e-07	False	False
SLITRK3	-0.172	0.172	1.70767e-06	4.93991e-06	-1.31037	1.20066e-06	False	False
IL37	0.171483	0.171483	0.00294963	0.00558451	4.59056	7.99718e-21	False	False
HMGCS2	-0.171401	0.171401	5.37649e-05	0.000130161	-1.43303	0.00208038	False	False
DRP2	0.169819	0.169819	1.70435e-05	4.42821e-05	2.83648	5.29979e-19	False	False
KIAA0319	0.167607	0.167607	0.00851091	0.0149263	1.01524	7.12041e-07	False	False
CYP26A1	0.166885	0.166885	3.5273e-05	8.75471e-05	2.87479	1.2621e-15	False	False
PTPRT	0.166109	0.166109	0.0316094	0.049932	1.14531	0.000346987	False	False
MYLK3	-0.16559	0.16559	0.00012178	0.000280552	-1.74079	5.43842e-22	False	False
SLC1A7	0.165179	0.165179	0.000796683	0.00164101	1.19917	1.34025e-06	False	False
IFNG	0.164563	0.164563	0.000388249	0.000835274	1.85808	1.68873e-09	False	False
RGS13	0.164239	0.164239	0.0204529	0.0335251	2.88073	4.34417e-17	False	False
C4BPA	-0.162626	0.162626	4.72435e-12	2.38355e-11	-1.68672	1.11428e-15	False	False
CDH19	0.160554	0.160554	0.00557737	0.0100726	1.84599	5.97375e-06	False	False
CDH17	0.160343	0.160343	9.50946e-06	2.54295e-05	1.33804	6.27941e-13	False	False
TSPAN8	0.159822	0.159822	0.0276713	0.0441821	1.00478	0.00056844	False	False
SH3GL3	-0.158808	0.158808	4.45252e-11	2.05839e-10	-1.86246	3.92794e-14	False	False
CEACAM4	0.158585	0.158585	3.21594e-05	8.02964e-05	1.45406	8.51537e-10	False	False
DRD1	-0.157534	0.157534	1.26031e-08	4.60188e-08	-2.28674	1.00132e-16	False	False
HAPLN2	-0.156699	0.156699	2.22601e-07	7.12397e-07	-1.03073	8.39205e-06	False	False
SLC5A7	-0.154308	0.154308	0.00171455	0.003367	-1.28715	0.0056469	False	False
OLFM4	-0.149489	0.149489	0.00328513	0.00616291	-1.09915	0.000750931	False	False
APOA2	-0.148413	0.148413	0.00183715	0.0035945	-2.00461	4.55458e-06	False	False
GCGR	0.147019	0.147019	0.0163278	0.0272596	1.98043	3.02303e-10	False	False
APOA4	-0.146059	0.146059	7.73034e-34	2.02059e-32	-4.33817	2.80937e-24	False	False
IL1RAPL1	-0.145321	0.145321	2.18234e-06	6.24975e-06	-2.31515	4.13863e-11	False	False
HS3ST3A1	0.145167	0.145167	0.0129818	0.0220219	1.00384	0.000642743	False	False
ADCYAP1	0.144819	0.144819	0.000826532	0.00169676	1.5948	3.51333e-07	False	False
WNT16	0.144389	0.144389	0.000124847	0.000287222	2.1533	1.13887e-16	False	False
NTRK1	0.142987	0.142987	4.8858e-07	1.50718e-06	2.26866	2.18203e-18	False	False
PNPLA3	0.140528	0.140528	7.04362e-11	3.19075e-10	1.72055	2.29098e-22	False	False
UTS2	0.139759	0.139759	0.00730509	0.0129316	1.70207	5.48526e-07	False	False
FRMPD4	0.138664	0.138664	0.00578397	0.0104136	4.50756	1.88857e-18	False	False
AHSG	-0.138511	0.138511	3.69201e-07	1.15351e-06	-1.73893	6.27194e-06	False	False
SYT5	0.13767	0.13767	0.0198626	0.0326628	1.16319	2.08573e-06	False	False
DOC2A	-0.137201	0.137201	1.3443e-10	5.93806e-10	-1.08644	7.45983e-11	False	False
WT1	0.136988	0.136988	0.00305531	0.00576501	2.35886	1.91122e-11	False	False
IL1RAPL2	0.136567	0.136567	1.66156e-05	4.3276e-05	3.89477	1.23216e-22	False	False
PCDH11X	-0.135803	0.135803	0.000698701	0.00145428	-1.36257	0.000663405	False	False
TNR	0.135734	0.135734	0.00858568	0.0150439	1.36713	5.90799e-06	False	False
GABRB1	-0.135659	0.135659	1.51456e-08	5.48406e-08	-1.62513	3.0221e-07	False	False
ADRB3	0.134958	0.134958	9.24442e-07	2.76013e-06	2.78389	1.70353e-21	False	False
IL11	0.13356	0.13356	0.00213896	0.0041373	1.56115	3.3342e-10	False	False
LILRA4	0.132696	0.132696	0.00373272	0.00694252	1.38916	1.36603e-06	False	False
ALX4	-0.131503	0.131503	1.1507e-07	3.80534e-07	-1.13586	2.72318e-06	False	False
HCAR3	0.13136	0.13136	1.74604e-07	5.66375e-07	1.65675	7.14148e-11	False	False
ROS1	0.131331	0.131331	0.0284027	0.0452819	3.00114	2.97417e-12	False	False
PSG5	0.131232	0.131232	0.000238008	0.000527656	3.30097	3.04858e-17	False	False
GALR2	0.130561	0.130561	0.00024346	0.000538823	1.02896	1.51272e-07	False	False
PSG6	0.13051	0.13051	6.96628e-05	0.000166582	4.34496	5.5645e-18	False	False
RHCG	-0.130356	0.130356	2.63912e-10	1.13451e-09	-2.13285	6.44854e-15	False	False
PPY	-0.128285	0.128285	0.00363565	0.00677597	-1.87969	0.000169333	False	False
EGR4	-0.127089	0.127089	2.00207e-05	5.14353e-05	-1.85889	6.299e-11	False	False
TNIP3	0.12688	0.12688	0.000220827	0.000491519	1.16547	1.94779e-06	False	False
SOAT2	0.125793	0.125793	3.27632e-07	1.02912e-06	1.52941	1.66356e-15	False	False
