label	n	events	coef	HR	HR_lo	HR_hi	p	se	covars	concordance
TERT only	504	16	1.8418314659342487	6.308080722941943	2.3350681982732016	17.040993679147405	0.0002807106652704923	0.5070452192537943	['tert_pos']	0.6674295350517947
TERT + age	492	14	0.9338556442608634	2.54430020661558	0.8747512357126269	7.400347981343971	0.08647117019433102	0.5447403053174655	['tert_pos', 'age']	0.9590032154340836
TERT + stage	459	13	1.072656819386477	2.923135435248841	0.8723270559834735	9.795317838874084	0.08210940921234297	0.6169744393855143	['tert_pos', 'stage_int']	0.795751087320174
TERT + stage + age + sex	459	13	0.6305533194718088	1.8786497852382609	0.5791644860391972	6.0938215319661415	0.29359950039252924	0.6003794376244704	['tert_pos', 'stage_int', 'age', 'sex_m']	0.9534961525593844
