covariate	coef	HR	HR_lo	HR_hi	p
g_B_RAS_only	0.6479	1.911	0.2752	13.28	0.5123
g_C_TERT_pos	0.862	2.368	0.656	8.548	0.1881
g_D_triple_neg	0.5362	1.71	0.575	5.083	0.3348
stage_int	0.2534	1.288	0.777	2.136	0.326
age	0.08694	1.091	1.053	1.13	1.715e-06
sex_m	0.2147	1.24	0.439	3.499	0.6851
