stratum	gene_a	gene_b	n_eval	n11	n10	n01	n00	odds_ratio	log2_or	fisher_p	relation
ALL	BRAF_V600E	RAS_any	1354	4	791	189	370	0.011115796632091966	-6.491244844560127	5.906922052609914e-76	mutually_exclusive
ALL	BRAF_V600E	TERT_promoter	1354	274	521	213	346	0.8542665388302972	-0.22724182099784365	0.1859098104346547	mutually_exclusive
ALL	BRAF_V600E	TP53	1354	87	708	138	421	0.3758512543661419	-1.4117662761927958	4.1103601198405535e-11	mutually_exclusive
ALL	BRAF_V600E	CDKN2A_loss	779	9	397	9	364	0.9169811320754717	-0.1250360458447806	1.0	mutually_exclusive
ALL	BRAF_V600E	CDKN2A_mut	117	2	41	0	74	8.975903614457831	3.1660571840025993	0.13306808134394343	co_occur
ALL	BRAF_V600E	PIK3CA	117	5	38	3	71	2.9183673469387754	1.5451614926631811	0.14146233269573322	co_occur
ALL	BRAF_V600E	PTEN	117	0	43	8	66	0.08992562542258282	-3.475123901597878	0.02581076411720475	mutually_exclusive
ALL	BRAF_V600E	EIF1AX	117	0	43	12	62	0.05747126436781609	-4.121015400961366	0.003596475421890052	mutually_exclusive
ALL	RAS_any	TERT_promoter	1354	101	92	386	775	2.201692248522779	1.1386128237801074	6.289146319226716e-07	co_occur
ALL	RAS_any	TP53	1354	50	143	175	986	1.9781510269315148	0.9841525764951049	0.0003548674390282321	co_occur
ALL	RAS_any	CDKN2A_loss	779	3	137	15	624	1.0255718475073314	0.03642856486666438	1.0	co_occur
ALL	RAS_any	CDKN2A_mut	117	0	33	2	82	0.4925373134328358	-1.0216950710993191	1.0	mutually_exclusive
ALL	RAS_any	PIK3CA	117	1	32	7	77	0.47692307692307695	-1.0681715026415792	0.43826869685635694	mutually_exclusive
ALL	RAS_any	PTEN	117	1	32	7	77	0.47692307692307695	-1.0681715026415792	0.43826869685635694	mutually_exclusive
ALL	RAS_any	EIF1AX	117	11	22	1	83	28.451851851851853	4.830450651480234	2.167493232122518e-06	co_occur
ALL	TERT_promoter	TP53	1354	115	372	110	757	2.1255732029518053	1.0878519450354152	4.272653537618315e-07	co_occur
ALL	TERT_promoter	CDKN2A_loss	779	10	390	8	371	1.17519017850418	0.23289424392503766	0.8135995547194887	co_occur
ALL	TERT_promoter	CDKN2A_mut	117	2	56	0	59	5.265486725663717	2.396566895780118	0.2435897435897436	co_occur
ALL	TERT_promoter	PIK3CA	117	7	51	1	58	5.679611650485437	2.5057922872875484	0.032076786289945196	co_occur
ALL	TERT_promoter	PTEN	117	4	54	4	55	1.018348623853211	0.02623154157317945	1.0	co_occur
ALL	TERT_promoter	EIF1AX	117	6	52	6	53	1.019047619047619	0.027221468735024214	1.0	co_occur
ALL	TP53	CDKN2A_loss	779	7	175	11	586	2.1794871794871793	1.1239887172754532	0.15375399944507914	co_occur
ALL	TP53	CDKN2A_mut	117	1	29	1	86	2.9322033898305087	1.5519851782748835	0.4487179487179488	co_occur
ALL	TP53	PIK3CA	117	2	28	6	81	1.0998650472334683	0.13732651681260613	1.0	co_occur
ALL	TP53	PTEN	117	6	24	2	85	9.073469387755102	3.1816542940244195	0.003525712199088599	co_occur
ALL	TP53	EIF1AX	117	4	26	8	79	1.588235294117647	0.667424660913129	0.5012114896992849	co_occur
ALL	CDKN2A_mut	PIK3CA	117	0	2	8	107	2.5294117647058822	1.3388019134517584	1.0	co_occur
ALL	CDKN2A_mut	PTEN	117	0	2	8	107	2.5294117647058822	1.3388019134517584	1.0	co_occur
ALL	CDKN2A_mut	EIF1AX	117	0	2	12	103	1.656	0.7277026728372381	1.0	co_occur
ALL	PIK3CA	PTEN	117	1	7	7	102	2.7333333333333334	1.4506614090095653	0.4428896094747612	co_occur
ALL	PIK3CA	EIF1AX	117	0	8	12	97	0.4588235294117647	-1.1239887172754535	1.0	mutually_exclusive
ALL	PTEN	EIF1AX	117	0	8	12	97	0.4588235294117647	-1.1239887172754535	1.0	mutually_exclusive
hist=ATC	BRAF_V600E	RAS_any	239	0	93	63	83	0.007031875026316897	-7.15187485418575	4.1950685234795595e-17	mutually_exclusive
hist=ATC	BRAF_V600E	TERT_promoter	239	60	33	78	68	1.5759102576290522	0.6561853808857219	0.10732941959081022	co_occur
hist=ATC	BRAF_V600E	TP53	239	57	36	93	53	0.9013991648963446	-0.14976198142213165	0.7839369113143901	mutually_exclusive
hist=ATC	BRAF_V600E	CDKN2A_loss	196	5	72	4	115	1.9471264367816092	0.961346568596108	0.31897292185843246	co_occur
hist=ATC	BRAF_V600E	CDKN2A_mut	33	2	13	0	18	6.851851851851852	2.7764939583528436	0.19886363636363635	co_occur
hist=ATC	BRAF_V600E	PIK3CA	33	5	10	1	17	6.111111111111111	2.6114347120823473	0.07008418444736575	co_occur
hist=ATC	BRAF_V600E	PTEN	33	0	15	5	13	0.07917888563049853	-3.658740426860704	0.04875366568914956	mutually_exclusive
hist=ATC	BRAF_V600E	EIF1AX	33	0	15	3	15	0.14285714285714285	-2.807354922057604	0.2329545454545455	mutually_exclusive
hist=ATC	RAS_any	TERT_promoter	239	35	28	103	73	0.8845664886854818	-0.17695750732302046	0.7665390426076919	mutually_exclusive
hist=ATC	RAS_any	TP53	239	43	20	107	69	1.371866137266024	0.45613971436469186	0.36243847019594344	co_occur
hist=ATC	RAS_any	CDKN2A_loss	196	2	47	7	140	0.9859649122807017	-0.02039178883117799	1.0	mutually_exclusive
hist=ATC	RAS_any	CDKN2A_mut	33	0	8	2	23	0.5529411764705883	-0.8548020844600643	1.0	mutually_exclusive
hist=ATC	RAS_any	PIK3CA	33	0	8	6	19	0.17647058823529413	-2.502500340529183	0.296440489432703	mutually_exclusive
hist=ATC	RAS_any	PTEN	33	1	7	4	21	0.9555555555555556	-0.06558834162757671	1.0	mutually_exclusive
hist=ATC	RAS_any	EIF1AX	33	3	5	0	25	32.45454545454545	5.0203486453918025	0.010263929618768328	co_occur
hist=ATC	TERT_promoter	TP53	239	89	49	61	40	1.1906873614190687	0.25179465473003165	0.5882484859960315	co_occur
hist=ATC	TERT_promoter	CDKN2A_loss	196	4	104	5	83	0.6537625054371465	-0.6131614568018156	0.5186853767049061	mutually_exclusive
hist=ATC	TERT_promoter	CDKN2A_mut	33	2	22	0	9	2.111111111111111	1.078002512001273	1.0	co_occur
hist=ATC	TERT_promoter	PIK3CA	33	6	18	0	9	6.675675675675675	2.7389138659557277	0.1557285873192436	co_occur
hist=ATC	TERT_promoter	PTEN	33	3	21	2	7	0.4883720930232558	-1.0339473319233377	0.5970522803114571	mutually_exclusive
hist=ATC	TERT_promoter	EIF1AX	33	0	24	3	6	0.037900874635568516	-4.72162504803172	0.015395894428152495	mutually_exclusive
hist=ATC	TP53	CDKN2A_loss	196	4	119	5	68	0.4689996196272347	-1.0923413422152068	0.297231965613248	mutually_exclusive
hist=ATC	TP53	CDKN2A_mut	33	1	22	1	9	0.4222222222222222	-1.2439255828860891	0.5208333333333335	mutually_exclusive
hist=ATC	TP53	PIK3CA	33	2	21	4	6	0.16795865633074936	-2.5738219431159557	0.053392658509454946	mutually_exclusive
hist=ATC	TP53	PTEN	33	4	19	1	9	1.4615384615384615	0.5474877953024933	1.0	co_occur
hist=ATC	TP53	EIF1AX	33	3	20	0	10	3.5853658536585367	1.8421203402182806	0.5362903225806452	co_occur
hist=ATC	CDKN2A_mut	PIK3CA	33	0	2	6	25	0.7846153846153846	-0.3499424710569589	1.0	mutually_exclusive
hist=ATC	CDKN2A_mut	PTEN	33	0	2	5	26	0.9636363636363636	-0.05343925896146044	1.0	mutually_exclusive
hist=ATC	CDKN2A_mut	EIF1AX	33	0	2	3	28	1.6285714285714286	0.7036069972197752	1.0	co_occur
hist=ATC	PIK3CA	PTEN	33	1	5	4	23	1.4242424242424243	0.510194732319184	1.0	co_occur
hist=ATC	PIK3CA	EIF1AX	33	0	6	3	24	0.5384615384615384	-0.8930847960834881	1.0	mutually_exclusive
hist=ATC	PTEN	EIF1AX	33	0	5	3	25	0.6623376623376623	-0.5943611987234058	1.0	mutually_exclusive
hist=FTC	BRAF_V600E	RAS_any	106	0	1	52	53	0.3396825396825397	-1.5577410319861318	1.0	mutually_exclusive
hist=FTC	BRAF_V600E	TERT_promoter	106	1	0	57	48	2.5304347826086957	1.3393852919639087	1.0	co_occur
hist=FTC	BRAF_V600E	TP53	106	0	1	16	89	1.8080808080808082	0.8544591571846469	1.0	co_occur
hist=FTC	BRAF_V600E	CDKN2A_loss	100	0	1	1	98	21.88888888888889	4.452126818014064	1.0	co_occur
hist=FTC	RAS_any	TERT_promoter	106	29	23	29	25	1.0851063829787233	0.11783649029385808	0.8477547950567876	co_occur
hist=FTC	RAS_any	TP53	106	2	50	14	40	0.13827244793444862	-2.8544143801073796	0.00204967371675036	mutually_exclusive
hist=FTC	RAS_any	CDKN2A_loss	100	1	47	0	52	3.3157894736842106	1.7293524100563311	0.48	co_occur
hist=FTC	TERT_promoter	TP53	106	1	57	15	33	0.05638148667601683	-4.148634670152322	1.7807024254002375e-05	mutually_exclusive
hist=FTC	TERT_promoter	CDKN2A_loss	100	0	55	1	44	0.2672672672672673	-1.9036449361048642	0.44999999999999984	mutually_exclusive
hist=FTC	TP53	CDKN2A_loss	100	0	15	1	84	1.8172043010752688	0.8617206251741529	1.0	co_occur
hist=PDTC	BRAF_V600E	RAS_any	88	1	29	25	33	0.06679960119641076	-3.904016700154408	4.989544411990349e-05	mutually_exclusive
hist=PDTC	BRAF_V600E	TERT_promoter	88	13	17	23	35	1.1653495440729482	0.22076275304554663	0.8204589870149288	co_occur
hist=PDTC	BRAF_V600E	TP53	88	3	27	8	50	0.7561497326203208	-0.4032561499656003	0.7425491711277385	mutually_exclusive
hist=PDTC	BRAF_V600E	CDKN2A_mut	84	0	28	0	56	1.9824561403508771	0.987288948250446	1.0	co_occur
hist=PDTC	BRAF_V600E	PIK3CA	84	0	28	2	54	0.3824561403508772	-1.3866337842751775	0.5502008032128514	mutually_exclusive
hist=PDTC	BRAF_V600E	PTEN	84	0	28	3	53	0.2681704260651629	-1.898777949821199	0.5474581251836615	mutually_exclusive
hist=PDTC	BRAF_V600E	EIF1AX	84	0	28	9	47	0.08771929824561403	-3.5109619192773796	0.026023888863981954	mutually_exclusive
hist=PDTC	RAS_any	TERT_promoter	88	16	10	20	42	3.2578397212543555	1.7039156280993113	0.016867100568369854	co_occur
hist=PDTC	RAS_any	TP53	88	1	25	10	52	0.29411764705882354	-1.765534746362977	0.16327758184534807	mutually_exclusive
hist=PDTC	RAS_any	CDKN2A_mut	84	0	25	0	59	2.3333333333333335	1.222392421336448	1.0	co_occur
hist=PDTC	RAS_any	PIK3CA	84	1	24	1	58	2.3877551020408165	1.2556548754681964	0.5091795754446358	co_occur
hist=PDTC	RAS_any	PTEN	84	0	25	3	56	0.3165266106442577	-1.659601301613912	0.5510788799798497	mutually_exclusive
hist=PDTC	RAS_any	EIF1AX	84	8	17	1	58	18.942857142857143	4.243582043167621	0.0001788897569612278	co_occur
hist=PDTC	TERT_promoter	TP53	88	3	33	8	44	0.5469710272168569	-0.87046367868411	0.5139794221511828	mutually_exclusive
hist=PDTC	TERT_promoter	CDKN2A_mut	84	0	34	0	50	1.463768115942029	0.5496870259736257	1.0	co_occur
hist=PDTC	TERT_promoter	PIK3CA	84	1	33	1	49	1.4776119402985075	0.5632674296218372	1.0	co_occur
hist=PDTC	TERT_promoter	PTEN	84	1	33	2	48	0.8686567164179104	-0.20314194243685096	1.0	mutually_exclusive
hist=PDTC	TERT_promoter	EIF1AX	84	6	28	3	47	3.0952380952380953	1.6300503902496943	0.1485038156500007	co_occur
hist=PDTC	TP53	CDKN2A_mut	84	0	7	0	77	10.333333333333334	3.3692338096657193	1.0	co_occur
hist=PDTC	TP53	PIK3CA	84	0	7	2	75	2.013333333333333	1.009586048829198	1.0	co_occur
hist=PDTC	TP53	PTEN	84	2	5	1	76	23.181818181818183	4.5349218182215605	0.01733764325595063	co_occur
hist=PDTC	TP53	EIF1AX	84	1	6	8	69	1.8868778280542986	0.916001014053232	0.5617863630009466	co_occur
hist=PDTC	CDKN2A_mut	PIK3CA	84	0	0	2	82	33.0	5.044394119358453	1.0	co_occur
hist=PDTC	CDKN2A_mut	PTEN	84	0	0	3	81	23.285714285714285	4.541373232173473	1.0	co_occur
hist=PDTC	CDKN2A_mut	EIF1AX	84	0	0	9	75	7.947368421052632	2.9904772258814933	1.0	co_occur
hist=PDTC	PIK3CA	PTEN	84	0	2	3	79	4.542857142857143	2.183599938339389	1.0	co_occur
hist=PDTC	PIK3CA	EIF1AX	84	0	2	9	73	1.5473684210526315	0.6298167365054165	1.0	co_occur
hist=PDTC	PTEN	EIF1AX	84	0	3	9	72	1.0902255639097744	0.12462665451374486	1.0	co_occur
hist=PTC	BRAF_V600E	RAS_any	438	3	340	6	89	0.14153394329605784	-2.8207800068313027	0.004308740330110709	mutually_exclusive
hist=PTC	BRAF_V600E	TERT_promoter	438	13	330	5	90	0.6721221290056388	-0.573204690898315	0.5591686642196454	mutually_exclusive
hist=PTC	BRAF_V600E	TP53	438	4	339	0	95	2.531664212076583	1.3400860652333293	0.5812769121283269	co_occur
hist=PTC	RAS_any	TERT_promoter	438	2	7	16	413	8.353535353535353	3.062386899091665	0.04842949854688418	co_occur
hist=PTC	RAS_any	TP53	438	0	9	4	425	4.976608187134503	2.315162806800065	1.0	co_occur
hist=PTC	TERT_promoter	TP53	438	1	17	3	417	10.224489795918368	3.35395694908	0.15502403379182594	co_occur
hist=PTC_advanced	BRAF_V600E	RAS_any	483	0	328	43	112	0.003936387970398363	-7.988911864954021	6.485380598675813e-24	mutually_exclusive
hist=PTC_advanced	BRAF_V600E	TERT_promoter	483	187	141	50	105	2.768253857187839	1.4689762485067512	3.619723880448859e-07	co_occur
hist=PTC_advanced	BRAF_V600E	TP53	483	23	305	21	134	0.481216457960644	-1.055242110286566	0.026828920818094106	mutually_exclusive
hist=PTC_advanced	BRAF_V600E	CDKN2A_loss	483	4	324	4	151	0.46687211093990755	-1.0989006845261875	0.27613092050838356	mutually_exclusive
hist=PTC_advanced	RAS_any	TERT_promoter	483	19	24	218	222	0.8104889553075235	-0.30313556889979804	0.5265790017757712	mutually_exclusive
hist=PTC_advanced	RAS_any	TP53	483	4	39	40	400	1.1265822784810127	0.17195268278929485	1.0	co_occur
hist=PTC_advanced	RAS_any	CDKN2A_loss	483	0	43	8	432	0.5848546315077755	-0.7738500145749808	1.0	mutually_exclusive
hist=PTC_advanced	TERT_promoter	TP53	483	21	216	23	223	0.9444744729988699	-0.08241629051894651	0.8755971366948698	mutually_exclusive
hist=PTC_advanced	TERT_promoter	CDKN2A_loss	483	6	231	2	244	2.7460043196544275	1.457333894945727	0.1688389120187222	co_occur
hist=PTC_advanced	TP53	CDKN2A_loss	483	3	41	5	434	6.662650602409639	2.7360962388877823	0.028599239612847528	co_occur
cohort=Landa2016_MSK	BRAF_V600E	RAS_any	117	0	43	33	41	0.01423914908217533	-6.133993254959576	1.412391974131372e-08	mutually_exclusive
cohort=Landa2016_MSK	BRAF_V600E	TERT_promoter	117	25	18	33	41	1.7075433642597821	0.7719222172316981	0.18238238895498915	co_occur
cohort=Landa2016_MSK	BRAF_V600E	TP53	117	9	34	21	53	0.6852039096730704	-0.5453947116355345	0.5104912736582039	mutually_exclusive
cohort=Landa2016_MSK	BRAF_V600E	CDKN2A_mut	117	2	41	0	74	8.975903614457831	3.1660571840025993	0.13306808134394343	co_occur
cohort=Landa2016_MSK	BRAF_V600E	PIK3CA	117	5	38	3	71	2.9183673469387754	1.5451614926631811	0.14146233269573322	co_occur
cohort=Landa2016_MSK	BRAF_V600E	PTEN	117	0	43	8	66	0.08992562542258282	-3.475123901597878	0.02581076411720475	mutually_exclusive
cohort=Landa2016_MSK	BRAF_V600E	EIF1AX	117	0	43	12	62	0.05747126436781609	-4.121015400961366	0.003596475421890052	mutually_exclusive
cohort=Landa2016_MSK	RAS_any	TERT_promoter	117	20	13	38	46	1.8340548340548342	0.8750367728677453	0.1542477761774534	co_occur
cohort=Landa2016_MSK	RAS_any	TP53	117	7	26	23	61	0.7406663990365315	-0.43310420529307814	0.6390827421954766	mutually_exclusive
cohort=Landa2016_MSK	RAS_any	CDKN2A_mut	117	0	33	2	82	0.4925373134328358	-1.0216950710993191	1.0	mutually_exclusive
cohort=Landa2016_MSK	RAS_any	PIK3CA	117	1	32	7	77	0.47692307692307695	-1.0681715026415792	0.43826869685635694	mutually_exclusive
cohort=Landa2016_MSK	RAS_any	PTEN	117	1	32	7	77	0.47692307692307695	-1.0681715026415792	0.43826869685635694	mutually_exclusive
cohort=Landa2016_MSK	RAS_any	EIF1AX	117	11	22	1	83	28.451851851851853	4.830450651480234	2.167493232122518e-06	co_occur
cohort=Landa2016_MSK	TERT_promoter	TP53	117	16	42	14	45	1.2182555780933062	0.2848168282918757	0.6761165913052287	co_occur
cohort=Landa2016_MSK	TERT_promoter	CDKN2A_mut	117	2	56	0	59	5.265486725663717	2.396566895780118	0.2435897435897436	co_occur
cohort=Landa2016_MSK	TERT_promoter	PIK3CA	117	7	51	1	58	5.679611650485437	2.5057922872875484	0.032076786289945196	co_occur
cohort=Landa2016_MSK	TERT_promoter	PTEN	117	4	54	4	55	1.018348623853211	0.02623154157317945	1.0	co_occur
cohort=Landa2016_MSK	TERT_promoter	EIF1AX	117	6	52	6	53	1.019047619047619	0.027221468735024214	1.0	co_occur
cohort=Landa2016_MSK	TP53	CDKN2A_mut	117	1	29	1	86	2.9322033898305087	1.5519851782748835	0.4487179487179488	co_occur
cohort=Landa2016_MSK	TP53	PIK3CA	117	2	28	6	81	1.0998650472334683	0.13732651681260613	1.0	co_occur
cohort=Landa2016_MSK	TP53	PTEN	117	6	24	2	85	9.073469387755102	3.1816542940244195	0.003525712199088599	co_occur
cohort=Landa2016_MSK	TP53	EIF1AX	117	4	26	8	79	1.588235294117647	0.667424660913129	0.5012114896992849	co_occur
cohort=Landa2016_MSK	CDKN2A_mut	PIK3CA	117	0	2	8	107	2.5294117647058822	1.3388019134517584	1.0	co_occur
cohort=Landa2016_MSK	CDKN2A_mut	PTEN	117	0	2	8	107	2.5294117647058822	1.3388019134517584	1.0	co_occur
