cohort	histology	phenotype	n	total	pct
Landa2016_MSK	ATC	Multi-hit	27	33	81.81818181818181
Landa2016_MSK	ATC	TERT-only	1	33	3.0303030303030303
Landa2016_MSK	ATC	TP53-only	4	33	12.121212121212121
Landa2016_MSK	ATC	Triple-negative	1	33	3.0303030303030303
Landa2016_MSK	PDTC	BRAF-only	16	84	19.047619047619047
Landa2016_MSK	PDTC	Multi-hit	28	84	33.333333333333336
Landa2016_MSK	PDTC	RAS-only	10	84	11.904761904761905
Landa2016_MSK	PDTC	TERT-only	7	84	8.333333333333334
Landa2016_MSK	PDTC	TP53-only	5	84	5.9523809523809526
Landa2016_MSK	PDTC	Triple-negative	18	84	21.428571428571427
Pozdeyev2018	ATC	BRAF-only	12	196	6.122448979591836
Pozdeyev2018	ATC	Multi-hit	128	196	65.3061224489796
Pozdeyev2018	ATC	RAS-only	10	196	5.1020408163265305
Pozdeyev2018	ATC	TERT-only	13	196	6.63265306122449
Pozdeyev2018	ATC	TP53-only	17	196	8.673469387755102
Pozdeyev2018	ATC	Triple-negative	16	196	8.16326530612245
Pozdeyev2018	FTC	Multi-hit	30	100	30.0
Pozdeyev2018	FTC	RAS-only	20	100	20.0
Pozdeyev2018	FTC	TERT-only	26	100	26.0
Pozdeyev2018	FTC	TP53-only	13	100	13.0
Pozdeyev2018	FTC	Triple-negative	11	100	11.0
Pozdeyev2018	PTC_advanced	BRAF-only	133	483	27.536231884057973
Pozdeyev2018	PTC_advanced	Multi-hit	224	483	46.3768115942029
Pozdeyev2018	PTC_advanced	RAS-only	20	483	4.140786749482402
Pozdeyev2018	PTC_advanced	TERT-only	25	483	5.175983436853002
Pozdeyev2018	PTC_advanced	TP53-only	11	483	2.277432712215321
Pozdeyev2018	PTC_advanced	Triple-negative	70	483	14.492753623188406
Wang2023	ATC	Multi-hit	7	10	70.0
Wang2023	ATC	TERT-only	1	10	10.0
Wang2023	ATC	TP53-only	1	10	10.0
Wang2023	ATC	Triple-negative	1	10	10.0
Wang2023	FTC	Multi-hit	3	6	50.0
Wang2023	FTC	RAS-only	1	6	16.666666666666668
Wang2023	FTC	TERT-only	1	6	16.666666666666668
Wang2023	FTC	Triple-negative	1	6	16.666666666666668
Wang2023	PDTC	Multi-hit	2	4	50.0
Wang2023	PDTC	TP53-only	2	4	50.0
Wang2023	PTC	BRAF-only	324	438	73.97260273972603
Wang2023	PTC	Multi-hit	21	438	4.794520547945205
Wang2023	PTC	RAS-only	4	438	0.91324200913242
Wang2023	PTC	TERT-only	3	438	0.684931506849315
Wang2023	PTC	Triple-negative	86	438	19.634703196347033
