molecular_subtype	ALK_fusion	BRAF	DICER1_EIF1AX_PPM1D	NTRK_fusion	PAX8PPARG	RAS	RET	RET_fusion	TP53	unknown
BRAF_like	0	341	2	1	0	3	2	1	0	725
RAS_like	1	2	4	0	7	71	0	0	1	73
dedifferentiated	0	0	0	0	0	0	0	0	0	82
unknown	0	0	1	0	0	0	0	0	0	192
