v17_dark_cluster	n_samples	tds16_mean	brs71_mean	rai_mean	age_mean	BRAF_like	RAS_like	unknown
DM1	109	6.812359598776101		7.579579355538512	41.81803527221785	86	18	5
DM2	69	8.125759351914095		9.200667278061184	54.70818392636407	25	39	5
