driver_anchor_v17	n_samples
unknown	1072
BRAF	343
RAS	74
PAX8PPARG	7
DICER1_EIF1AX_PPM1D	7
RET	2
ALK_fusion	1
NTRK_fusion	1
RET_fusion	1
TP53	1
