k	stability
2	0.978820677410544
3	0.924989123679607
4	0.8501783318742908
5	0.9616372985928567
6	0.955483280891694
7	0.9262958565351163
8	0.8800790312097161
9	0.8347049853723568
10	0.8615619807607289
