cluster	gene	log2fc	pvalue	fdr
0	DUSP5	2.7885088040019337	3.128525478462484e-35	1.7206890131543664e-33
0	SLC5A8	-3.017276132430623	2.7140960796841408e-30	7.463764219131387e-29
0	DUSP6	2.3824735880794137	6.519786121549424e-28	1.1952941222840612e-26
0	DIO1	-3.8857678845312176	1.409911710526423e-26	1.9386286019738318e-25
0	TPO	-3.9100259584539225	3.7009100272798666e-26	4.0710010300078534e-25
0	KLK10	2.9322397942612834	4.241226889864928e-24	3.887791315709517e-23
0	DUSP4	2.161852015778056	1.0203396743543303e-22	8.016954584212595e-22
0	MET	2.1270023081312477	2.453348796277138e-22	1.6866772974405326e-21
0	DIO2	-2.1232553096885765	2.05772660857583e-21	1.2574995941296739e-20
0	FOXP3	1.1046535975669172	8.807315062024671e-21	4.844023284113569e-20
0	HLA-DRA	2.4204286264961965	1.4856175828676627e-18	7.428087914338313e-18
0	IYD	-2.2952497451772764	4.394391864109725e-17	2.0140962710502908e-16
0	CDKN2A	1.0895790882406222	7.0498184917223446e-15	2.982615515728684e-14
0	FOXE1	-1.1384916108961445	2.399036340613591e-14	9.424785623839107e-14
0	MMP9	1.900319206980786	5.637193187072998e-13	2.0669708352600992e-12
0	FOSL1	1.35855433721934	3.8616490209366364e-12	1.3274418509469687e-11
0	SLC26A4	-1.9925173420146836	5.858804520293816e-11	1.895495580095058e-10
0	ETV4	1.770329588749148	9.801975453724511e-11	2.995048055304712e-10
0	ETV5	1.1245690644343194	9.00575608230279e-10	2.6069293922455445e-09
0	THRA	-0.39523753256032634	2.1481081259721285e-09	5.907297346423353e-09
1	DUSP5	-2.7885088040019337	3.128525478462484e-35	1.7206890131543664e-33
1	SLC5A8	3.017276132430623	2.7140960796841408e-30	7.463764219131387e-29
1	DUSP6	-2.3824735880794137	6.519786121549424e-28	1.1952941222840612e-26
1	DIO1	3.8857678845312176	1.409911710526423e-26	1.9386286019738318e-25
1	TPO	3.9100259584539225	3.7009100272798666e-26	4.0710010300078534e-25
1	KLK10	-2.9322397942612834	4.241226889864928e-24	3.887791315709517e-23
1	DUSP4	-2.161852015778056	1.0203396743543303e-22	8.016954584212595e-22
1	MET	-2.1270023081312477	2.453348796277138e-22	1.6866772974405326e-21
1	DIO2	2.1232553096885765	2.05772660857583e-21	1.2574995941296739e-20
1	FOXP3	-1.1046535975669172	8.807315062024671e-21	4.844023284113569e-20
1	HLA-DRA	-2.4204286264961965	1.4856175828676627e-18	7.428087914338313e-18
1	IYD	2.2952497451772764	4.394391864109725e-17	2.0140962710502908e-16
1	CDKN2A	-1.0895790882406222	7.0498184917223446e-15	2.982615515728684e-14
1	FOXE1	1.1384916108961445	2.399036340613591e-14	9.424785623839107e-14
1	MMP9	-1.900319206980786	5.637193187072998e-13	2.0669708352600992e-12
1	FOSL1	-1.35855433721934	3.8616490209366364e-12	1.3274418509469687e-11
1	SLC26A4	1.9925173420146836	5.858804520293816e-11	1.895495580095058e-10
1	ETV4	-1.770329588749148	9.801975453724511e-11	2.995048055304712e-10
1	ETV5	-1.1245690644343194	9.00575608230279e-10	2.6069293922455445e-09
1	THRA	0.39523753256032634	2.1481081259721285e-09	5.907297346423353e-09
