cohort	cluster	AUC	DIA_AUC	identifiability	ComBat_applied	n_external
GSE27155	DM1	0.9687500000000001	0.9687500000000001	1.0	no	54
GSE27155	DM1	0.96875	0.96875	0.257698709945901	yes	54
GSE76039	DM1	0.9901960784313726	0.9901960784313726	0.999848162769511	no	37
GSE76039	DM1	1.0	1.0	0.15730337078651685	yes	37
GSE27155	DM2	0.96875	0.96875	1.0	no	54
GSE27155	DM2	0.96875	0.96875	0.257698709945901	yes	54
GSE76039	DM2	0.9901960784313726	0.9901960784313726	0.999848162769511	no	37
GSE76039	DM2	1.0	1.0	0.15730337078651685	yes	37
