gene	spearman_rho	pvalue	fdr
TPO	-0.7828694721005715	1.24237461356031e-134	6.2118730678015504e-133
SLC26A4	-0.7452493318391599	2.805988480060744e-115	7.01497120015186e-114
DIO1	-0.7299274558144594	2.402839371498148e-108	4.0047322858302466e-107
TG	-0.7130999086613499	2.9202372364535965e-101	3.6502965455669955e-100
DUSP5	0.7092691432381584	1.0166002999292623e-99	1.0166002999292623e-98
DIO2	-0.7045119489975757	7.710778960778937e-98	6.425649133982448e-97
PAX8	-0.6662094181507418	5.704178243082668e-84	4.074413030773334e-83
MET	0.6586568127330757	1.781731457168553e-81	1.1135821607303457e-80
LOX	0.6441444632283949	7.029803878652721e-77	3.905446599251512e-76
DUOX2	-0.6201695355523508	8.23933066139111e-70	4.1196653306955557e-69
DUOX1	-0.6022850094323259	6.351992508690539e-65	2.887269322132063e-64
HLA-DRA	0.5512642159732286	1.4971475098693627e-52	6.238114624455678e-52
KLK10	0.5322059371860475	1.8704541918887392e-48	7.194054584187458e-48
FOXE1	-0.5318078592918356	2.2633649784565856e-48	8.083446351630663e-48
DUSP6	0.5215173632648206	2.8682571432167517e-46	9.560857144055839e-46
CDKN2A	0.5183777991316498	1.2160882875646366e-45	3.8002758986394895e-45
DUSP4	0.5121633916487308	2.0304291118767707e-44	5.971850329049326e-44
TSHR	-0.5068497732968225	2.153654463666767e-43	5.982373510185464e-43
CDKN2B	0.5020768614000023	1.7343252285980087e-42	4.5640137594684435e-42
THRA	-0.49764805597745326	1.166974991342079e-41	2.9174374783551975e-41
FOXP3	0.4182325261490661	1.0638343454571744e-28	2.532938917755177e-28
PIK3CA	0.41634057392285667	1.9758677943171764e-28	4.490608623448128e-28
FOSL1	0.3947803183242574	1.743403374134952e-25	3.790007335075983e-25
MMP9	0.39035671881038814	6.599166403357378e-25	1.3748263340327869e-24
SPRY4	-0.3738896268457515	7.864212911601921e-23	1.5728425823203843e-22
SLC5A5	-0.34510542778582987	1.77471776478488e-19	3.4129187784324613e-19
NKX2-1	-0.32876937797934935	1.0085706896092192e-17	1.8677234992763318e-17
CTNNB1	0.30595359554338764	1.9181989689592654e-15	3.4253553017129738e-15
TWIST1	0.30554043579568324	2.1007565756420705e-15	3.621994095934604e-15
CDH2	-0.2776821139425373	6.958361714447205e-13	1.1597269524078674e-12
ETV4	0.271897681566964	2.1450382228371688e-12	3.4597390690922076e-12
APC	-0.2604648109340636	1.8365713941176454e-11	2.869642803308821e-11
THADA	-0.24332566699672029	3.798891316582244e-10	5.755895934215522e-10
THRB	0.22266025354465666	1.09185193200723e-08	1.605664605892985e-08
SNAI1	-0.2067931402324741	1.1638146070352802e-07	1.662592295764686e-07
MSH2	0.20035036664981212	2.8896395138982134e-07	4.0133882137475186e-07
PHLDA1	-0.1945503836602269	6.390244775322664e-07	8.635465912598194e-07
CD8A	0.18019380975402308	4.12017597041023e-06	5.421284171592408e-06
CDH1	-0.16627315178476534	2.193728493298619e-05	2.8124724273059215e-05
PTEN	-0.15078938090757246	0.00012097193179476016	0.0001512149147434502
SNAI2	0.14314059990309072	0.0002652522235654358	0.0003234783214212632
IDO1	0.13458315106613652	0.0006103771242543122	0.000726639433636086
SPRY2	0.13038011952687673	0.0009034081663065233	0.0010504746119843293
ATM	0.10696228798361633	0.006547165637250409	0.00743996095142092
ZEB2	0.09655448923095426	0.014160840264860364	0.01573426696095596
TP53	0.09304978109825847	0.018092601035301498	0.019665870690545106
VIM	-0.07611524200974094	0.05334206213416951	0.05674687461081863
AKT1	-0.07425783658118378	0.05944875136413987	0.061925782670979035
SPRY1	-0.028571361810648687	0.46884292252709575	0.47841114543581204
ETV5	0.020103491345982275	0.6103131469556943	0.6103131469556943
