v17_dark_cluster	ALK_fusion	BRAF	DICER1_EIF1AX_PPM1D	NTRK_fusion	RET_fusion	TP53	unknown
DM1	1	2	1	1	1	0	103
DM2	0	1	6	0	0	1	61
