axis	driver_group	n	median	mean	kruskal_p_all_groups
rai_differentiation_score	BRAF_like	274	-0.33457131150078684	-0.32107170909158245	2.5998772047789996e-41
rai_differentiation_score	RAS_like	54	0.7504474937055928	0.7659781978921734	2.5998772047789996e-41
rai_differentiation_score	unknown	177	0.3754794915236841	0.2633379977678902	2.5998772047789996e-41
immune_visibility_score	BRAF_like	274	0.16085766465590084	0.4397575079825677	8.391254283914602e-18
immune_visibility_score	RAS_like	54	-1.9232662712985529	-1.7919883326489767	8.391254283914602e-18
immune_visibility_score	unknown	177	-0.587989226253572	-0.13404625550383487	8.391254283914602e-18
cd8_exclusion_proxy	BRAF_like	274	0.5599952628625944	0.47033237651091636	1.0470369983623063e-20
cd8_exclusion_proxy	RAS_like	54	-0.8240118169119889	-0.9240340777325428	1.0470369983623063e-20
cd8_exclusion_proxy	unknown	177	-0.45372043187752253	-0.4461764461380439	1.0470369983623063e-20
drug_delivery_failure_proxy	BRAF_like	274	1.1074548293939295	1.017510480386821	2.625754424589881e-40
drug_delivery_failure_proxy	RAS_like	54	-2.0103482047488175	-2.0040176877764915	2.625754424589881e-40
drug_delivery_failure_proxy	unknown	177	-1.221472128254028	-0.9637339914466574	2.625754424589881e-40
aggressive_dedifferentiation_score	BRAF_like	274	0.9115343543599694	0.9736444557257827	9.490405923013987e-32
aggressive_dedifferentiation_score	RAS_like	54	-2.0079575139072032	-2.011504737804125	9.490405923013987e-32
aggressive_dedifferentiation_score	unknown	177	-0.5182881027795195	-0.8935442091945858	9.490405923013987e-32
hla_i_apm_score	BRAF_like	274	0.181545121808516	0.23282979509550927	2.3469828853831243e-20
hla_i_apm_score	RAS_like	54	-0.8242213205788028	-0.7960427759391365	2.3469828853831243e-20
hla_i_apm_score	unknown	177	-0.2006520723170653	-0.11756527658449858	2.3469828853831243e-20
caf_ecm_tgfb_score	BRAF_like	274	0.24942991515894047	0.23142246464461616	7.986209689220716e-21
caf_ecm_tgfb_score	RAS_like	54	-0.6059686817276226	-0.5566148412857301	7.986209689220716e-21
caf_ecm_tgfb_score	unknown	177	-0.2171785793031665	-0.18843250781466248	7.986209689220716e-21
mapk_score	BRAF_like	274	0.10532944995667351	0.136787279037263	3.8831299957835176e-05
mapk_score	RAS_like	54	-0.06129583122471602	-0.09918839598116229	3.8831299957835176e-05
mapk_score	unknown	177	-0.055219477185729914	-0.1814889326171028	3.8831299957835176e-05
