sample_id	niche_label	fraction_q30
GSM7980860_N-1	Drug-delivery failure proxy niche	0.3000297353553375
GSM7980860_N-1	Mixed/Other	0.23639607493309545
GSM7980860_N-1	APC-rich niche	0.2096342551293488
GSM7980860_N-1	CD8-excluded / myeloid-CAF niche	0.1632471008028546
GSM7980860_N-1	HLA-visible inflamed niche	0.079988105857865
GSM7980860_N-1	RAI-restorable niche	0.008325899494498959
GSM7980860_N-1	HLA-low invisible tumor niche	0.0023788284269997025
GSM7980861_N-2	Mixed/Other	0.3291205897840969
GSM7980861_N-2	Drug-delivery failure proxy niche	0.3001579778830964
GSM7980861_N-2	HLA-visible inflamed niche	0.12717219589257503
GSM7980861_N-2	CD8-excluded / myeloid-CAF niche	0.09004739336492891
GSM7980861_N-2	APC-rich niche	0.08636124275934702
GSM7980861_N-2	HLA-low invisible tumor niche	0.03370194839389152
GSM7980861_N-2	RAI-restorable niche	0.0315955766192733
GSM7980861_N-2	RAI-low dedifferentiated niche	0.0018430753027909425
GSM7980862_N-3	Drug-delivery failure proxy niche	0.3
GSM7980862_N-3	Mixed/Other	0.2242222222222222
GSM7980862_N-3	APC-rich niche	0.2068888888888889
GSM7980862_N-3	CD8-excluded / myeloid-CAF niche	0.1971111111111111
GSM7980862_N-3	HLA-visible inflamed niche	0.06733333333333333
GSM7980862_N-3	RAI-restorable niche	0.0022222222222222222
GSM7980862_N-3	HLA-low invisible tumor niche	0.002
GSM7980862_N-3	RAI-low dedifferentiated niche	0.00022222222222222223
GSM7980863_N-4	Drug-delivery failure proxy niche	0.29996663329996665
GSM7980863_N-4	Mixed/Other	0.21421421421421422
GSM7980863_N-4	APC-rich niche	0.20954287620954287
GSM7980863_N-4	CD8-excluded / myeloid-CAF niche	0.18218218218218218
GSM7980863_N-4	HLA-visible inflamed niche	0.07674341007674342
GSM7980863_N-4	HLA-low invisible tumor niche	0.008675342008675343
GSM7980863_N-4	RAI-restorable niche	0.007007007007007007
GSM7980863_N-4	RAI-low dedifferentiated niche	0.001668335001668335
GSM7980864_PTC-1	Mixed/Other	0.33704859563085154
GSM7980864_PTC-1	Drug-delivery failure proxy niche	0.3000445831475702
GSM7980864_PTC-1	HLA-visible inflamed niche	0.1185911725367811
GSM7980864_PTC-1	APC-rich niche	0.08158716005349978
GSM7980864_PTC-1	CD8-excluded / myeloid-CAF niche	0.08158716005349978
GSM7980864_PTC-1	RAI-restorable niche	0.049041462327240305
GSM7980864_PTC-1	HLA-low invisible tumor niche	0.03165403477485511
GSM7980864_PTC-1	RAI-low dedifferentiated niche	0.00044583147570218456
GSM7980865_PTC-2	Mixed/Other	0.3300653594771242
GSM7980865_PTC-2	Drug-delivery failure proxy niche	0.3000408496732026
GSM7980865_PTC-2	APC-rich niche	0.0959967320261438
GSM7980865_PTC-2	HLA-visible inflamed niche	0.09456699346405228
GSM7980865_PTC-2	RAI-restorable niche	0.0741421568627451
GSM7980865_PTC-2	CD8-excluded / myeloid-CAF niche	0.07128267973856209
GSM7980865_PTC-2	HLA-low invisible tumor niche	0.03145424836601307
GSM7980865_PTC-2	RAI-low dedifferentiated niche	0.0024509803921568627
GSM7980866_PTC-3	Drug-delivery failure proxy niche	0.3001117318435754
GSM7980866_PTC-3	Mixed/Other	0.2811173184357542
GSM7980866_PTC-3	HLA-visible inflamed niche	0.12290502793296089
GSM7980866_PTC-3	CD8-excluded / myeloid-CAF niche	0.10837988826815642
GSM7980866_PTC-3	APC-rich niche	0.10569832402234637
GSM7980866_PTC-3	HLA-low invisible tumor niche	0.04581005586592179
GSM7980866_PTC-3	RAI-restorable niche	0.03240223463687151
GSM7980866_PTC-3	RAI-low dedifferentiated niche	0.003575418994413408
GSM7980867_PTC-4	Mixed/Other	0.3368801872738881
GSM7980867_PTC-4	Drug-delivery failure proxy niche	0.30006384337093
GSM7980867_PTC-4	APC-rich niche	0.09810597999574378
GSM7980867_PTC-4	CD8-excluded / myeloid-CAF niche	0.09363694403064482
GSM7980867_PTC-4	HLA-visible inflamed niche	0.08852947435624602
GSM7980867_PTC-4	RAI-restorable niche	0.047882528197488824
GSM7980867_PTC-4	HLA-low invisible tumor niche	0.03213449670142583
GSM7980867_PTC-4	RAI-low dedifferentiated niche	0.002766546073632688
GSM7980868_LPTC-1	Mixed/Other	0.32667997338656024
GSM7980868_LPTC-1	Drug-delivery failure proxy niche	0.3000665335994677
GSM7980868_LPTC-1	HLA-visible inflamed niche	0.13107119095143047
GSM7980868_LPTC-1	CD8-excluded / myeloid-CAF niche	0.09447771124417831
GSM7980868_LPTC-1	APC-rich niche	0.07850964737192283
GSM7980868_LPTC-1	RAI-restorable niche	0.04258150365934797
GSM7980868_LPTC-1	HLA-low invisible tumor niche	0.025282767797737856
GSM7980868_LPTC-1	RAI-low dedifferentiated niche	0.0013306719893546241
GSM7980869_LPTC-2	Drug-delivery failure proxy niche	0.3000726568176314
GSM7980869_LPTC-2	Mixed/Other	0.29692419472027126
GSM7980869_LPTC-2	HLA-visible inflamed niche	0.13175102930491644
GSM7980869_LPTC-2	APC-rich niche	0.10099297650762896
GSM7980869_LPTC-2	CD8-excluded / myeloid-CAF niche	0.08694599176556067
GSM7980869_LPTC-2	RAI-restorable niche	0.06345362073141196
GSM7980869_LPTC-2	HLA-low invisible tumor niche	0.019859530152579317
GSM7980870_LPTC-3	Mixed/Other	0.41469575200918485
GSM7980870_LPTC-3	Drug-delivery failure proxy niche	0.3001148105625718
GSM7980870_LPTC-3	HLA-visible inflamed niche	0.08243398392652124
GSM7980870_LPTC-3	CD8-excluded / myeloid-CAF niche	0.07715269804822043
GSM7980870_LPTC-3	APC-rich niche	0.07508610792192882
GSM7980870_LPTC-3	RAI-restorable niche	0.04477611940298507
GSM7980870_LPTC-3	HLA-low invisible tumor niche	0.004362801377726751
GSM7980870_LPTC-3	RAI-low dedifferentiated niche	0.0013777267508610792
GSM7980871_LPTC-4	Drug-delivery failure proxy niche	0.3001279863481229
GSM7980871_LPTC-4	Mixed/Other	0.2988481228668942
GSM7980871_LPTC-4	APC-rich niche	0.11070819112627986
GSM7980871_LPTC-4	CD8-excluded / myeloid-CAF niche	0.10708191126279863
GSM7980871_LPTC-4	HLA-visible inflamed niche	0.10281569965870307
GSM7980871_LPTC-4	HLA-low invisible tumor niche	0.04522184300341297
GSM7980871_LPTC-4	RAI-restorable niche	0.03348976109215017
GSM7980871_LPTC-4	RAI-low dedifferentiated niche	0.0017064846416382253
GSM7980872_ATC-1	Mixed/Other	0.3670804794520548
GSM7980872_ATC-1	Drug-delivery failure proxy niche	0.3000856164383562
GSM7980872_ATC-1	APC-rich niche	0.0976027397260274
GSM7980872_ATC-1	HLA-visible inflamed niche	0.07577054794520548
GSM7980872_ATC-1	CD8-excluded / myeloid-CAF niche	0.059075342465753425
GSM7980872_ATC-1	RAI-restorable niche	0.048159246575342464
GSM7980872_ATC-1	HLA-low invisible tumor niche	0.04794520547945205
GSM7980872_ATC-1	RAI-low dedifferentiated niche	0.004280821917808219
GSM7980873_ATC-2	Mixed/Other	0.4427710843373494
GSM7980873_ATC-2	Drug-delivery failure proxy niche	0.3000753012048193
GSM7980873_ATC-2	APC-rich niche	0.10391566265060241
GSM7980873_ATC-2	HLA-visible inflamed niche	0.05572289156626506
GSM7980873_ATC-2	RAI-low dedifferentiated niche	0.036897590361445784
GSM7980873_ATC-2	RAI-restorable niche	0.02786144578313253
GSM7980873_ATC-2	CD8-excluded / myeloid-CAF niche	0.020707831325301206
GSM7980873_ATC-2	HLA-low invisible tumor niche	0.012048192771084338
GSM7980874_ATC-3	Mixed/Other	0.3098503740648379
GSM7980874_ATC-3	Drug-delivery failure proxy niche	0.29987531172069826
GSM7980874_ATC-3	APC-rich niche	0.10972568578553615
GSM7980874_ATC-3	HLA-visible inflamed niche	0.08229426433915212
GSM7980874_ATC-3	HLA-low invisible tumor niche	0.07793017456359103
GSM7980874_ATC-3	RAI-low dedifferentiated niche	0.04987531172069826
GSM7980874_ATC-3	RAI-restorable niche	0.03927680798004988
GSM7980874_ATC-3	CD8-excluded / myeloid-CAF niche	0.03117206982543641
GSM7980875_ATC-4	Mixed/Other	0.3191738113795791
GSM7980875_ATC-4	Drug-delivery failure proxy niche	0.3000779423226812
GSM7980875_ATC-4	APC-rich niche	0.10327357755261107
GSM7980875_ATC-4	HLA-visible inflamed niche	0.09976617303195635
GSM7980875_ATC-4	CD8-excluded / myeloid-CAF niche	0.08573655494933749
GSM7980875_ATC-4	HLA-low invisible tumor niche	0.05066250974279034
GSM7980875_ATC-4	RAI-restorable niche	0.03975058456742011
GSM7980875_ATC-4	RAI-low dedifferentiated niche	0.001558846453624318
