target	class	in_depmap	spearman_lineage_dependency	p_lineage_dependency	n_models	spearman_lineage_dependency_thyroid	p_lineage_dependency_thyroid	n_thyroid_models	pan_cancer_lineage_centered_spearman	pan_cancer_lineage_centered_p	common_essential_control	median_gene_effect	artifact_risk	dependency_interpretation	q_lineage_dependency	fdr_lineage_dependency
NAMPT	NAD_salvage	True	0.0260269513903904	0.3799677643517501	1140	0.2	0.49300373504	14	-0.0065062782179907	0.8263084330585723	False	-0.3148048209632956	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393	0.705654419510393
STAT3	JAK_STAT	True	0.0486848554620957	0.1003910258017181	1140	-0.0681318681318681	0.8169838797817922	14	0.0627527538261812	0.0341293065987319	False	-0.0889247155042154	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.3728809529778103	0.37288095297781015
JAK1	JAK_STAT	True	0.0391023044719745	0.187068187831688	1140	-0.6703296703296703	0.0087042338098588	14	0.0215339825735476	0.4676196216625137	False	-0.0573676642285351	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.5326136012383805	0.5326136012383805
JAK2	JAK_STAT	True	0.0079268175879839	0.7891991135268708	1140	0.0857142857142857	0.7707850311186758	14	0.0414426581277952	0.1620137287236855	False	0.1357643460597789	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
IL6R	JAK_STAT	True	-0.0443335942370239	0.1346620386959829	1140	0.0901098901098901	0.7593388378159543	14	-0.0548293866631548	0.0642250413801623	False	-0.0820366543225501	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.4376516257619446	0.4376516257619444
OSMR	JAK_STAT	True	0.0271263107433827	0.3601636636017753	1140	-0.221978021978022	0.445629657953609	14	0.0296311118382269	0.3175121532764368	False	0.1213374622594414	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393	0.705654419510393
DNMT1	DNMT	True	-0.0644779375468084	0.0294878113568362	1140	0.0417582417582417	0.8872869731890637	14	-0.0421571457291103	0.1548927776186714	True	-0.5945298448930038	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.1533366190555482	0.15333661905554824
DNMT3B	DNMT	True	-0.0167928236649191	0.5711158407228653	1140	0.2879120879120879	0.3181928710257999	14	-0.0159712950159455	0.5900968012017692	False	-0.0009160022078691	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7815269399365524	0.7815269399365524
LYN	SRC_family	True	0.0022911196777661	0.9384068938723404	1140	0.1032967032967033	0.725282211088945	14	-0.0170912761191044	0.5642928553919233	False	0.0547458177940175	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
SRC	SRC_family	True	-0.0041071373392464	0.8898283809300682	1140	0.134065934065934	0.6477195279851133	14	-0.0018440141590396	0.9504092694151396	False	-0.0825754923085314	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
FYN	SRC_family	True	-0.0008570254930053	0.976940539921555	1140	-0.0945054945054945	0.7479382611415479	14	-0.0290154887413064	0.3276753569005297	False	0.0207557793092087	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
KCNN4	ion_channel	True	0.0194751409351734	0.5112469102106509	1140	0.2571428571428571	0.3748119038799704	14	-0.0078631178089432	0.7908536544317876	False	0.0003063875902097	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7417581281652901	0.7417581281652901
ATR	DDR	True	0.0068487441531053	0.8173231573125512	1140	0.2747252747252747	0.3418297437194814	14	0.0134441025085596	0.6502264235938799	True	-1.1006316440216903	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
CHEK2	DDR	True	0.1526906700491945	2.2167423798818386e-07	1140	-0.0109890109890109	0.970258390096969	14	0.0724258915024269	0.0144487254386948	False	0.2050666951244391	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	5.76353018769278e-06	5.76353018769278e-06
MYC	MYC	True	0.0243834727805309	0.4107924404967085	1140	-0.0725274725274725	0.8053763135410923	14	-0.0309529041810625	0.2963956366145206	False	-2.0774177026498784	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.7120402301942946	0.7120402301942946
GLS	metabolism	True	-0.0881337526745598	0.0028988001189605	1140	0.0725274725274725	0.8053763135410923	14	-0.0807843564408971	0.006351459057017	False	-0.148013909291935	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.0188422007732438	0.01884220077324325
LDHA	metabolism	True	0.0272133254383204	0.3586242946413272	1140	0.2087912087912088	0.473778837309814	14	0.0001131158640113	0.9969560448433537	False	-0.1759363565516096	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393	0.705654419510393
BCL2L1	apoptosis	True	0.1097873955533085	0.0002039971289133	1140	0.3450549450549451	0.2269486800417004	14	0.0681080575749582	0.0214629144485143	True	-0.984860000249388	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.0017679751172487	0.0017679751172486001
MCL1	apoptosis	True	0.1255279999121996	2.1330685528006805e-05	1140	-0.2791208791208791	0.3338450771945543	14	0.1078726555688276	0.000263410270096	False	-0.6354995410227604	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.000277298911864	0.00027729891186408846
BCL2	apoptosis	True	-0.0279738515293442	0.34534626479468	1140	-0.6043956043956044	0.022056861754616	14	-0.044221231821351	0.13565389882122	False	-0.0028578333651214	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393	0.705654419510393
AURKA	cell_cycle	True	0.0046399089662515	0.8756465366749536	1140	-0.0065934065934065	0.9821527354577906	14	-0.0086185087157796	0.7712956785907799	False	-1.1919197597697204	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
CDK7	transcription_cycle	True	0.0009022783181581	0.9757233157632292	1140	-0.0505494505494505	0.8637420361792153	14	-0.0033335667521636	0.9104816740740196	False	-1.8208951876083832	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552	0.9769405399215552
CDK9	transcription_cycle	True	-0.0221675746862969	0.4546204699590513	1140	0.0109890109890109	0.970258390096969	14	-0.0341387290036498	0.2494331299073036	True	-1.533436715833828	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.7387582636834584	0.7387582636834584
HDAC1	chromatin	True	0.0375784498060353	0.2048513850916848	1140	0.1208791208791208	0.6806070200628929	14	0.0420074153319091	0.1563650566453236	False	-0.1097537827592831	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.5326136012383805	0.5326136012383805
HDAC2	chromatin	True	0.0489433319532855	0.0985969262610797	1140	0.5560439560439561	0.0389436504186605	14	0.0420156688899935	0.1562836254319706	False	0.0045140278210381	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.3728809529778103	0.37288095297781015
EZH2	chromatin	True	0.0193702583805101	0.5135248579605854	1140	-0.2395604395604395	0.4094298928517327	14	0.0003248248936577	0.9912590947148132	False	-0.0122065754403372	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7417581281652901	0.7417581281652901
