gene_set	score	n_requested	n_found	found_genes
thyroid_differentiation_rai_readiness	rai_differentiation_score	12	5	TG,TPO,TSHR,PAX8,DIO2
mapk_dedifferentiation_stress	mapk_score	10	0	
hla_class_i_apm	hla_i_apm_score	13	0	
hla_class_ii_apc_niche	hla_ii_apc_score	11	4	HLA-DRA,HLA-DRB1,HLA-DRB5,CD74
t_cell_cytotoxicity	cytotoxic_t_score	10	4	GZMB,PRF1,GNLY,IFNG
ifn_immune_activation	ifn_activation_score	8	6	IFNG,CXCL9,CXCL10,CXCL11,GBP1,IDO1
checkpoint_exhaustion_suppression	checkpoint_suppression_score	10	4	CTLA4,IDO1,FOXP3,IL10
myeloid_tam	myeloid_tam_score	12	7	CD68,CD163,MRC1,CCL2,SPP1,AIF1,FCGR3A
caf_ecm_tgfb_barrier	caf_ecm_tgfb_score	14	10	ACTA2,COL1A1,COL1A2,COL3A1,COL5A1,PDGFRB,CXCL12,SERPINE1,POSTN,FN1
vascular_permeability_delivery_proxy	vascular_delivery_proxy_score	9	7	VWF,KDR,FLT1,ENG,ANGPT2,VEGFA,EMCN
vascular_permeability_delivery_proxy_barrier_negative	vascular_barrier_negative_score	5	4	COL1A1,ACTA2,CXCL12,POSTN
hypoxia_metabolism	hypoxia_score	8	1	VEGFA
proliferation	proliferation_score	7	2	MKI67,TOP2A
tumor_epithelial_thyroid_lineage	tumor_epithelial_score	7	7	EPCAM,KRT8,KRT18,KRT19,PAX8,TG,TPO
dm1_dark_lineage	dm1_dark_lineage_score	11	9	TPO,TG,PAX8,COL1A1,POSTN,FN1,EPCAM,KRT19,TACSTD2
