sample_id	score	low_quantile	high_quantile	low_threshold	high_threshold
GSM7980860_N-1	rai_differentiation_score	0.25	0.75	-0.2677434831857681	0.291984423995018
GSM7980860_N-1	mapk_score	0.25	0.75	-0.18634920567274094	0.09332190826535225
GSM7980860_N-1	hla_i_apm_score	0.25	0.75	-0.21496842056512833	0.1707582250237465
GSM7980860_N-1	hla_ii_apc_score	0.25	0.75	-0.2360202595591545	0.16321714222431183
GSM7980860_N-1	cytotoxic_t_score	0.25	0.75	-0.09397406876087189	-0.09397406876087189
GSM7980860_N-1	ifn_activation_score	0.25	0.75	-0.1322772353887558	-0.1322772353887558
GSM7980860_N-1	checkpoint_suppression_score	0.25	0.75	-0.04960228428244591	-0.04960228428244591
GSM7980860_N-1	myeloid_tam_score	0.25	0.75	-0.11084958910942078	-0.11084958910942078
GSM7980860_N-1	caf_ecm_tgfb_score	0.25	0.75	-0.2092180699110031	0.15311457216739655
GSM7980860_N-1	vascular_delivery_proxy_score	0.25	0.75	-0.24555417150259018	0.24811996519565582
GSM7980860_N-1	vascular_barrier_negative_score	0.25	0.75	-0.31391385197639465	0.21416039764881134
GSM7980860_N-1	hypoxia_score	0.25	0.75	-0.31788328289985657	0.1739257127046585
GSM7980860_N-1	proliferation_score	0.25	0.75	-0.1358652412891388	-0.1358652412891388
GSM7980860_N-1	tumor_epithelial_score	0.25	0.75	-0.2764539122581482	0.35105785727500916
GSM7980860_N-1	dm1_dark_lineage_score	0.25	0.75	-0.1880922019481659	0.17696809768676758
GSM7980860_N-1	spatial_immune_visibility_score	0.25	0.75	-0.8607762157917023	0.6820392906665802
GSM7980860_N-1	spatial_hla_low_invisible_score	0.25	0.75	-0.6968224346637726	0.8539486229419708
GSM7980860_N-1	spatial_cd8_exclusion_proxy	0.25	0.75	-1.1191246509552002	0.7303352057933807
GSM7980860_N-1	spatial_rai_restorable_score	0.25	0.75	-0.6463142931461334	0.7456039786338806
GSM7980860_N-1	spatial_drug_delivery_failure_proxy	0.25	0.75	-0.9486275911331177	0.8317970037460327
GSM7980860_N-1	spatial_aggressive_dedifferentiation_score	0.25	0.75	-1.0814730525016785	0.7782918512821198
GSM7980860_N-1	spatial_myeloid_caf_barrier_score	0.25	0.75	-0.9479268789291382	0.5842684805393219
GSM7980860_N-1	spatial_hla_visibility_score	0.25	0.75	-0.8607762157917023	0.6820392906665802
GSM7980861_N-2	rai_differentiation_score	0.25	0.75	-0.22231611609458923	0.31201478838920593
GSM7980861_N-2	mapk_score	0.25	0.75	-0.2755839228630066	0.14290816336870193
GSM7980861_N-2	hla_i_apm_score	0.25	0.75	-0.19441358372569084	0.20195044204592705
GSM7980861_N-2	hla_ii_apc_score	0.25	0.75	-0.32310616225004196	0.22520330548286438
GSM7980861_N-2	cytotoxic_t_score	0.25	0.75	-0.1597941368818283	0.07166307978332043
GSM7980861_N-2	ifn_activation_score	0.25	0.75	-0.17754627764225006	0.0779438465833664
