source	target	drug_id	drug_label	spearman_lineage_sensitivity_metric	p_lineage_sensitivity	n_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid	n_thyroid_models	metric_direction	notes	mechanism_axis	evidence_category	fdr_pan_cancer	fdr_thyroid	rank_score
GDSC1_AUC	CHEK2	DPC-000855	AZD7762 DPC-000855	-0.00804502670294	0.8360734401631862	664	-0.7272727272727273	0.011204967253592	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.2111933681361636	1.8152498629123948
GDSC1_AUC	JAK1	DPC-007447	JAK3_7406 DPC-007447	-0.0077599318751951	0.8418046081141016	664	-0.7181818181818183	0.0127995980688584	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.2111933681361636	1.7923747076320318
GDSC1_AUC	JAK2	DPC-007447	JAK3_7406 DPC-007447	-0.0077599318751951	0.8418046081141016	664	-0.7181818181818183	0.0127995980688584	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.2111933681361636	1.7923747076320318
GDSC1_AUC	OSMR	DPC-007447	JAK3_7406 DPC-007447	-0.0077599318751951	0.8418046081141016	664	-0.7181818181818183	0.0127995980688584	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.2111933681361636	1.7923747076320318
GDSC2_AUC	AURKA	DPC-000428	ALISERTIB DPC-000428	-0.0623022373507396	0.1000412697110243	698	-0.6503496503496504	0.0220341909323653	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	A: thyroid line sensitivity + mechanistic relevance	0.1994744886839876	0.30116011058702163	1.7304161551404105
GDSC1_AUC	HDAC1	DPC-007395	BAY-HDAC11_4 DPC-007395	-0.0067221163925908	0.8689423101165867	605	0.6969696969696969	0.0250966758822518	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.30116011058702163	1.6779824580399398
GDSC1_AUC	HDAC2	DPC-007395	BAY-HDAC11_4 DPC-007395	-0.0067221163925908	0.8689423101165867	605	0.6969696969696969	0.0250966758822518	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.30116011058702163	1.6779824580399398
GDSC2_AUC	MYC	DPC-007456	MYCOPHENOLIC ACID DPC-007456	0.0338964068692188	0.4233788077657112	560	-0.6727272727272726	0.0330412225454377	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	A: thyroid line sensitivity + mechanistic relevance	0.6309010341292566	0.311531526856984	1.6470259540244863
CTRP_AUC	BCL2L1	DPC-005903	SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL) DPC-005903	0.0208847809321157	0.5785032830492278	710	0.6272727272727273	0.0388452536203533	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	A: thyroid line sensitivity + mechanistic relevance	0.7167297312114327	0.33031157966780006	1.5795989521627707
CTRP_AUC	JAK1	DPC-004334	MOMELOTINIB DPC-004334	-0.0696553709309882	0.0641593385947863	707	0.6242424242424242	0.0537177672171674	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.14557245623525938	0.3731971196140051	1.5665233291020921
