ModelID	OncotreeLineage	DM1_like_score	DM1_high	HLA1_dm_module	HLA2_dm_module	MYC	NAMPT
ACH-001289	CNS/Brain	1.4268270232158753	0	-0.7517372433597956	-0.5564556371239232	1.223923	6.804144
ACH-001619	Biliary Tract	1.5516951232531389	1	0.35760842058917386	1.4801623604697056	6.7830377	8.041408
ACH-001538	Biliary Tract	1.5516951232531389	1	0.843474838352234	0.1783373700579782	7.816945	7.6213484
ACH-000242	Bladder/Urinary Tract	1.6050912802741992	1	-0.1371205877116083	-0.2405749005643384	5.5218863	7.130303
ACH-000233	Lymphoid	1.562464719239404	1	0.35277362211922636	0.893029798962731	5.301405	12.470313
ACH-000461	Biliary Tract	1.5516951232531389	1	-0.765179298049011	-0.5640596981687318	7.462625	6.808681
ACH-001794	Soft Tissue	1.5942343862182096	1	0.9789376912528476	-0.5662224899228925	3.8940804	5.4991026
ACH-000528	Lung	1.4273774475579395	0	-0.4409780990958141	-0.578909090966045	4.4600873	5.519715
ACH-001655	Uterus	1.5238441904777118	0	-0.049910125719969736	-0.6174852468636373	5.0800905	4.903448
ACH-000167	Lymphoid	1.562464719239404	1	0.39497844709959995	1.7389626821445414	6.9293766	7.1585593
ACH-000792	Kidney	1.429984759980122	0	0.777670672604482	-0.36590630927282125	5.693267	8.304059
ACH-001098	Pancreas	1.6551114651970629	1	-0.36993603873517755	-0.6978700242842092	6.5750704	7.0934334
ACH-000570	CNS/Brain	1.4268270232158753	0	0.09486222264508304	-0.5002939958059777	4.272889	6.924159
ACH-001745	Soft Tissue	1.5942343862182096	1	-1.4789096959926613	-0.48346895098759274	2.657009	5.7672653
ACH-000769	Lung	1.4273774475579395	0	-1.1527407203250812	-0.633440571623492	8.342008	6.6353235
ACH-000421	Bowel	1.6297219961170546	1	0.39906580372586653	0.32075416480931085	6.2183723	7.109162
ACH-000765	Skin	1.6404157471292853	1	0.3902493125064842	0.9438852292755264	5.790295	8.211173
ACH-001375	Pancreas	1.6551114651970629	1	0.2746131303148781	-0.20118215928204677	6.1025677	6.801857
ACH-000800	Lung	1.4273774475579395	0	-1.5719347022655212	-0.46612139673962655	7.3450327	6.573262
ACH-000606	Head and Neck	1.49472222219304	0	0.44108362413673197	-0.4608730570745317	7.3117304	5.9187107
ACH-000317	Kidney	1.429984759980122	0	0.13237296159837653	-0.07615176307037996	6.0442915	6.0321293
ACH-000123	Ovary/Fallopian Tube	1.4778614424663126	0	0.3451861998263923	-0.49896358304977495	6.9556036	5.024945
ACH-002066	Peripheral Nervous System	1.3768230067352456	0	-0.07687773985452095	2.2326769719419723	3.0501308	6.5515084
ACH-001536	Biliary Tract	1.5516951232531389	1	0.49997469693835833	-0.5726980321717713	6.2276793	7.987054
ACH-000313	Kidney	1.429984759980122	0	1.5878755405273461	0.5053420607043257	6.6872706	6.583179
ACH-002019	Cervix	1.5327607820549467	0	-0.07449310454411769	-0.27565549862300925	6.355388	8.240624
ACH-000700	Lung	1.4273774475579395	0	-0.09341455697822741	0.6145878415968103	5.193878	7.2088194
ACH-000823	Esophagus/Stomach	1.575517189252337	1	-0.7790609983607709	-0.5131750276777395	5.3508086	5.566444
ACH-002029	Head and Neck	1.49472222219304	0	-0.04338757473058021	-0.5104576812221612	8.03393	8.420878
ACH-001377	Pancreas	1.6551114651970629	1	-1.150488975395745	-0.3659413898624808	6.632847	5.415776
ACH-000754	Lymphoid	1.562464719239404	1	0.38212628733104415	2.042295277734814	5.291574	6.72615
ACH-000138	Pancreas	1.6551114651970629	1	0.532752523455025	0.8670831453331328	6.5180883	7.4687786
ACH-001864	Biliary Tract	1.5516951232531389	1	1.0086589203379526	0.046330648204968815	5.1277404	8.035806
ACH-000383	Esophagus/Stomach	1.575517189252337	1	0.9233566667687415	-0.1670743741708964	7.111115	8.421248
ACH-001547	Pleura	1.576214441583399	1	0.4477566366650045	-0.42576615364344844	7.6986976	7.659004
ACH-000917	Esophagus/Stomach	1.575517189252337	1	-0.40688559575915695	-0.5524740224585065	5.937881	7.5163774
ACH-000984	Uterus	1.5238441904777118	0	0.41849378781574237	-0.5494745450846289	6.821315	6.526005
ACH-002678	Lymphoid	1.562464719239404	1	0.28052316716652675	2.6210971995430095	8.634684	6.2577705
ACH-001409	Bladder/Urinary Tract	1.6050912802741992	1	1.057705494605814	-0.460751151930851	6.8992963	8.336739
ACH-001707	Lymphoid	1.562464719239404	1	0.5617998107086913	3.0861551743726223	6.1417556	6.0496287
ACH-000633	Esophagus/Stomach	1.575517189252337	1	-0.28115234337850015	-0.45640601415749216	5.371949	5.8211517
ACH-000520	Ovary/Fallopian Tube	1.4778614424663126	0	0.6644829341558042	-0.6458181769212982	6.5424314	5.642456
ACH-000176	Lung	1.4273774475579395	0	0.5388060363388361	-0.3762755736794825	4.929507	7.087314
ACH-000017	Breast	1.6357488697694451	1	-0.47161437657463867	-0.4172911823879784	6.39304	6.3820257
ACH-001385	Head and Neck	1.49472222219304	0	-0.7808530647281607	-0.6155253237020796	4.074206	4.5457892
ACH-000587	Lung	1.4273774475579395	0	0.35309368690129594	0.02399764873826309	7.9984775	8.583865
ACH-000785	Lung	1.4273774475579395	0	0.0465170518319073	-0.3371657226053046	5.216878	8.236105
ACH-000554	Breast	1.6357488697694451	1	-1.1564639700584864	-0.5686619069264174	5.588484	6.6931386
ACH-003180	Soft Tissue	1.5942343862182096	1	0.34591854987644355	-0.578694522562433	5.4823933	8.131131
ACH-001398	Kidney	1.429984759980122	0	0.14434738750337198	-0.21206460796093082	7.244963	7.0943313
ACH-001991	Ovary/Fallopian Tube	1.4778614424663126	0	-0.8566594142421146	-0.6897533816855943	5.56371	5.845954
ACH-001332	Head and Neck	1.49472222219304	0	-0.6307157338522412	-0.31077887334960425	7.300078	6.4711013
ACH-000585	Lung	1.4273774475579395	0	0.4394019793978298	-0.1265612907078373	5.781263	7.675287
ACH-000550	Skin	1.6404157471292853	1	0.6364668778722369	0.2919048798362764	4.078823	6.956254
ACH-000627	Lung	1.4273774475579395	0	0.9360631224361747	-0.1470290407313597	4.4449058	7.300444
ACH-000704	Ovary/Fallopian Tube	1.4778614424663126	0	-0.20625072821123605	-0.25578485924648503	5.7077513	6.347958
ACH-000488	Esophagus/Stomach	1.575517189252337	1	-0.14948918393804086	-0.6698631297029324	5.9196525	7.640361
ACH-000276	Breast	1.6357488697694451	1	0.4833913519722424	0.3915475266781923	5.1186132	6.5087204
