sample	lineage	DM1_portable	HLA1_module	HLA2_module
TCGA-AB-2803-03	acute myeloid leukemia	-2.456128051178877	0.09283817572601671	-2.1189034672942872
TCGA-AB-2805-03	acute myeloid leukemia	1.4627200626411017	-0.30857790646895533	1.0680646288853766
TCGA-AB-2806-03	acute myeloid leukemia	-0.5802701939799686	-0.8392591446511947	-0.08090794776183513
TCGA-AB-2807-03	acute myeloid leukemia	0.2759827488686875	0.1452877480311947	1.0357736132919342
TCGA-AB-2808-03	acute myeloid leukemia	0.4935526216463334	-0.5940458080395492	-0.10739956688719539
TCGA-AB-2810-03	acute myeloid leukemia	-1.8337625329219245	0.15346084924329978	-0.4310356820221686
TCGA-AB-2811-03	acute myeloid leukemia	-1.5319934209198796	0.9102182352769129	0.6795735140085256
TCGA-AB-2812-03	acute myeloid leukemia	-1.626426887774113	-0.8625288474208709	-1.5498012656431348
TCGA-AB-2813-03	acute myeloid leukemia	1.754962545828275	-0.37197630160781453	-0.18481667223150766
TCGA-AB-2814-03	acute myeloid leukemia	0.3657419343198091	-0.3703852052609876	-1.9594025499170566
TCGA-AB-2815-03	acute myeloid leukemia	0.3755080198214749	0.03373411744914258	0.6768722239637563
TCGA-AB-2816-03	acute myeloid leukemia	-0.7257260190195468	0.056463282583605334	1.1774586796608775
TCGA-AB-2817-03	acute myeloid leukemia	0.5563439922303535	0.4766131032415726	1.4763315432293398
TCGA-AB-2818-03	acute myeloid leukemia	0.0006999130336239	-0.16567398808954936	-0.6268945793658723
TCGA-AB-2819-03	acute myeloid leukemia	0.9200751372636102	0.7798933747891151	1.0120790259030008
TCGA-AB-2820-03	acute myeloid leukemia	0.1034502740186259	-0.5832900996378321	0.20241061115578488
TCGA-AB-2821-03	acute myeloid leukemia	0.7598942310813526	0.2723174427306172	0.02378638721603084
TCGA-AB-2822-03	acute myeloid leukemia	-0.2525782199949356	-1.2159090612972756	-0.16707284148253873
TCGA-AB-2823-03	acute myeloid leukemia	-0.6889437231310376	-0.4427673392924857	-1.4972282627263531
TCGA-AB-2824-03	acute myeloid leukemia	0.8424364427297892	0.12424178620626697	-0.23307200030587658
