lineage	n	rho	p	fdr_bh	bonferroni
cholangiocarcinoma	45	0.18221343873517787	0.23092133581719335	0.23092133581719335	1.0
mesothelioma	87	0.27075891229860755	0.01119626690268129	0.011557436802767784	0.3582805408858013
pancreatic adenocarcinoma	183	0.3246066122046165	7.356336343561274e-06	8.407241535498598e-06	0.00023540276299396077
rectum adenocarcinoma	171	0.3573259413924689	1.6047875489487243e-06	1.9019704283836734e-06	5.135320156635918e-05
pheochromocytoma & paraganglioma	187	0.3575822417317835	5.055515422748077e-07	6.222172827997634e-07	1.6177649352793847e-05
kidney papillary cell carcinoma	323	0.3697048104774583	6.726982935689045e-12	1.0250640663907116e-11	2.1526345394204944e-10
uterine corpus endometrioid carcinoma	567	0.40114005588300117	2.4771151281319594e-23	4.40376022779015e-23	7.92676841002227e-22
uterine carcinosarcoma	57	0.41204303863106045	0.0014490121587463255	0.0015456129693294139	0.046368389079882416
acute myeloid leukemia	173	0.41424505518446586	1.464685016650248e-08	1.952913355533664e-08	4.6869920532807935e-07
glioblastoma multiforme	178	0.42257307763917323	4.210977776998407e-09	6.125058584724955e-09	1.3475128886394902e-07
ovarian serous cystadenocarcinoma	311	0.4595607140819713	1.1773898369229181e-17	1.9829723569228096e-17	3.767647478153338e-16
diffuse large B-cell lymphoma	48	0.461029092488059	0.0009745113200410188	0.001075322835907331	0.031184362241312602
lung adenocarcinoma	576	0.4653089443146711	2.748431753142058e-32	7.329151341712154e-32	8.794981610054585e-31
stomach adenocarcinoma	450	0.4772963817105271	5.546792059912622e-27	1.1093584119825244e-26	1.774973459172039e-25
brain lower grade glioma	542	0.48845885696737973	7.601383015406439e-34	2.2113114226636912e-33	2.4324425649300604e-32
liver hepatocellular carcinoma	426	0.49245179737274913	2.0920006536816017e-27	4.462934727854084e-27	6.694402091781125e-26
colon adenocarcinoma	495	0.49454420791432674	6.803559354769846e-32	1.6747223027125776e-31	2.177138993526351e-30
prostate adenocarcinoma	550	0.49790261665778607	8.535815418937983e-36	2.9243136442746026e-35	2.7314609340601544e-34
thymoma	122	0.4979991474484586	5.333030670547211e-09	7.419868759022206e-09	1.7065698145751074e-07
head & neck squamous cell carcinoma	566	0.5390975327558711	5.487655116154842e-44	2.9267493952825826e-43	1.7560496371695495e-42
skin cutaneous melanoma	474	0.5494552046345426	9.707910147984927e-39	3.883164059193971e-38	3.1065312473551767e-37
cervical & endocervical cancer	310	0.566364525292969	1.0765029399794359e-27	2.460578148524425e-27	3.444809407934195e-26
adrenocortical cancer	79	0.5809152872444012	1.9932670747284363e-08	2.5513818556523984e-08	6.378454639130996e-07
breast invasive carcinoma	1218	0.6083620666660383	3.3877299193991638e-124	1.0840735742077324e-122	1.0840735742077324e-122
esophageal carcinoma	196	0.6538979512148476	2.7365348546588235e-25	5.151124432298962e-25	8.756911534908235e-24
sarcoma	265	0.6690981312629775	9.138480138358133e-36	2.9243136442746026e-35	2.9243136442746026e-34
lung squamous cell carcinoma	556	0.6903733606902455	6.360001114178645e-80	5.088000891342916e-79	2.0352003565371664e-78
bladder urothelial carcinoma	427	0.6966852439903708	2.7291745409661033e-63	1.7466717062183062e-62	8.73335853109153e-62
kidney clear cell carcinoma	606	0.7089234818344797	1.1812237690278014e-93	1.2599720202963215e-92	3.7799160608889644e-92
uveal melanoma	80	0.7383263009845289	5.490294381829806e-15	8.784471010927689e-15	1.7568942021855379e-13
thyroid carcinoma	572	0.7667861246317339	7.871212838860189e-112	1.2593940542176303e-110	2.5187881084352606e-110
testicular germ cell tumor	156	0.8240963474577611	7.53413947172725e-40	3.4441780442181715e-39	2.41092463095272e-38
