x_gene	module	n	spearman_rho	spearman_p	n_lo_tertile	n_hi_tertile	mean_module_lo	mean_module_hi	cohens_d_hi_vs_lo	ttest_p
MYC	HLA-I	1083	-0.013586143748066881	0.6551565143760202	361	361	-0.044155133203929546	-0.03856699027106852	0.00803348230982234	0.9140826645927961
MYC	HLA-II	1083	0.12130193103125347	6.278333147509553e-05	361	361	-0.091788408824525	0.1957804252913175	0.3250285614526647	1.4586540293695802e-05
NAMPT	HLA-I	1083	0.3002638478619547	5.3025152834053866e-24	361	361	-0.24244861059010323	0.24076167335991028	0.7683423208450021	2.691377271846156e-23
NAMPT	HLA-II	1083	0.09662202632082965	0.00145501092560427	361	361	-0.0899857045824622	0.10215600157171009	0.2290467595706122	0.002169919190383433
DM1_like_score	HLA-I	1083	0.07210677291848969	0.01762951649548576	371	381	-0.10748972103082383	0.009023301072141722	0.17178977816502825	0.018990835795344472
DM1_like_score	HLA-II	1083	0.2162999798046938	6.230866378582211e-13	371	381	-0.24924922693254656	-0.003881188315572528	0.3758722104013721	3.158843161183156e-07
