lineage	n	DM1hi_HLA1lo	DM1hi_HLA1hi	DM1lo_HLA1lo	DM1lo_HLA1hi	frac_DM1hi_HLA1lo	frac_DM1hi_HLA1hi	frac_DM1lo_HLA1lo	frac_DM1lo_HLA1hi	DM1hi_HLA2lo	frac_DM1hi_HLA2lo	chi2	chi2_p	odds_ratio_DM1hi_HLA1lo_vs_rest
mesothelioma	87	21	22	22	22	0.2413793103448276	0.25287356321839083	0.25287356321839083	0.25287356321839083	14	0.16091954022988506	0.0	1.0	0.9545454545454546
cholangiocarcinoma	45	10	12	12	11	0.2222222222222222	0.26666666666666666	0.26666666666666666	0.24444444444444444	7	0.15555555555555556	0.02324380165289272	0.8788247834305272	0.7638888888888888
pancreatic adenocarcinoma	183	37	54	54	38	0.20218579234972678	0.29508196721311475	0.29508196721311475	0.20765027322404372	23	0.12568306010928962	5.253531379568413	0.021902277618061416	0.4821673525377229
uterine carcinosarcoma	57	11	17	17	12	0.19298245614035087	0.2982456140350877	0.2982456140350877	0.21052631578947367	10	0.17543859649122806	1.4274767799509818	0.23217667109664314	0.45674740484429066
diffuse large B-cell lymphoma	48	9	15	15	9	0.1875	0.3125	0.3125	0.1875	13	0.2708333333333333	2.0833333333333335	0.14891467317876161	0.36
uterine corpus endometrioid carcinoma	567	102	181	181	103	0.17989417989417988	0.31922398589065254	0.31922398589065254	0.18165784832451498	102	0.17989417989417988	42.37336191395569	7.541015903705629e-11	0.32068618174048413
kidney papillary cell carcinoma	323	58	103	103	59	0.17956656346749225	0.3188854489164087	0.3188854489164087	0.1826625386996904	53	0.16408668730650156	23.43555362342773	1.2916906630535509e-06	0.3225563201055707
lung adenocarcinoma	576	103	185	185	103	0.17881944444444445	0.3211805555555556	0.3211805555555556	0.17881944444444445	140	0.24305555555555555	45.5625	1.478451555603562e-11	0.3099780861943024
pheochromocytoma & paraganglioma	187	33	60	60	34	0.17647058823529413	0.32085561497326204	0.32085561497326204	0.18181818181818182	25	0.13368983957219252	13.912803641997666	0.00019148958694100018	0.31166666666666665
liver hepatocellular carcinoma	426	73	140	140	73	0.17136150234741784	0.3286384976525822	0.3286384976525822	0.17136150234741784	43	0.10093896713615023	40.901408450704224	1.601057115340294e-10	0.27188775510204083
acute myeloid leukemia	173	29	57	57	30	0.1676300578034682	0.32947976878612717	0.32947976878612717	0.17341040462427745	28	0.16184971098265896	16.241621453459256	5.5755617328712194e-05	0.2677746999076639
prostate adenocarcinoma	550	91	184	184	91	0.16545454545454547	0.33454545454545453	0.33454545454545453	0.16545454545454547	47	0.08545454545454545	61.556363636363635	4.302488559884648e-15	0.24459475425330812
cervical & endocervical cancer	310	51	104	104	51	0.16451612903225807	0.33548387096774196	0.33548387096774196	0.16451612903225807	40	0.12903225806451613	34.89032258064516	3.4881028417819334e-09	0.24047707100591717
