lineage	Allograft Rejection	Complement	IL-6/JAK/STAT3 Signaling	Inflammatory Response	Interferon Alpha Response	Interferon Gamma Response	TNF-alpha Signaling via NF-kB	rho_DM1_HLA1	rho_DM1_HLA2
acute myeloid leukemia	0.7734400711997813	0.712753382684918	0.6715979622770952	0.7036958063514286	0.7466567160027998	0.7937384984077394	0.4596998113391214	0.4142450551844658	0.4642193287010212
adrenocortical cancer	0.8453505355404091	0.8154819863680624	0.8250730282375852	0.8298685491723466	0.570715676728335	0.7553797468354431	0.6108325219084713	0.5809152872444012	0.6585929892891919
bladder urothelial carcinoma	0.7872769017968698	0.7677375729788567	0.7921544896774548	0.7683376187876454	0.6673759424942485	0.7628505828906331	0.6691471026249421	0.6966852439903708	0.653698813071473
brain lower grade glioma	0.7045305343193584	0.6731423182856663	0.7000438225222894	0.6893738730416045	0.5164249293136197	0.6337972375719964	0.6413979147202185	0.4884588569673797	0.5942405998541711
breast invasive carcinoma	0.7956024656511873	0.7084167066048267	0.7823903796251959	0.7388590398061541	0.5336091674388628	0.7102013214988185	0.6145185142082021	0.6083620666660383	0.6087848918840906
cervical & endocervical cancer	0.8172497515163295	0.7496094249579315	0.7481109702393601	0.7060007673538278	0.6041006099556606	0.7239866548911758	0.4503051792355262	0.566364525292969	0.6566911340422125
cholangiocarcinoma	0.6615283267457179	0.6859025032938076	0.7119894598155467	0.6345191040843213	0.4557312252964426	0.6341238471673254	0.4994729907773385	0.1822134387351778	0.5611330698287219
colon adenocarcinoma	0.7102245519053669	0.5657981803143093	0.6393194383432075	0.6614583209659611	0.6826348241458599	0.7194517989085052	0.5815833996224489	0.4945442079143267	0.6433497176281557
diffuse large B-cell lymphoma	0.7711680416847589	0.7531480677377334	0.861267911419887	0.7936387320885802	0.7647633521493703	0.855188884064264	0.7366478506296135	0.461029092488059	-0.2319800260529743
esophageal carcinoma	0.8396480966459212	0.7402226489971233	0.7923642709719578	0.74218298018153	0.6356286208352924	0.751130377961415	0.4759094422618715	0.6538979512148476	0.7109356198551269
glioblastoma multiforme	0.7653195733702156	0.7294039418038673	0.7379237705136048	0.7311785514801712	0.4191004601430964	0.6013532994653829	0.6015192701545335	0.4225730776391732	0.6542596483762001
head & neck squamous cell carcinoma	0.8598377804481809	0.7565829824499577	0.7699185857915024	0.7489745502628958	0.6000732623641407	0.7472584769998698	0.4269297427494995	0.5390975327558711	0.7874588664419491
kidney clear cell carcinoma	0.8755812738679889	0.8210109344018123	0.8247298146019486	0.8245355342783043	0.7752514206040944	0.8505269307820403	0.5738125437525032	0.7089234818344797	0.7705218836995277
kidney papillary cell carcinoma	0.6307520719958465	0.762561063072572	0.658239090194939	0.6663917537520984	0.4875007211122436	0.5970335756982681	0.5339139978391559	0.3697048104774583	0.537978934263764
liver hepatocellular carcinoma	0.8519401620042588	0.7652446234195333	0.8280908328413423	0.8311460789649883	0.631977342469838	0.7891223583153476	0.7534335817696663	0.4924517973727491	0.7695120027027357
lung adenocarcinoma	0.5340054128048628	0.4237990103734961	0.4234227513626203	0.4059654509833472	0.4580118303066838	0.5285570667872304	0.3172515258835054	0.4653089443146711	0.0801427297616356
lung squamous cell carcinoma	0.8355301106857423	0.7663267718355062	0.7520963462632165	0.7280752683712793	0.7171237764826345	0.7989965129432182	0.5277968260564255	0.6903733606902455	0.8296880722774308
mesothelioma	0.6485747612451702	0.632536268863454	0.6610228184005248	0.6496318436976014	0.1631187577458628	0.3738244514106583	0.4747211489392723	0.2707589122986075	0.6045418094335495
ovarian serous cystadenocarcinoma	0.7166722717370015	0.6581884492465868	0.6942328414036374	0.6441721829734322	0.4526132194287297	0.6072664849905791	0.439391636437186	0.4595607140819713	0.4537681431738422
pancreatic adenocarcinoma	0.8226367360365937	0.7558587171915755	0.8088828491536975	0.8066212120025379	0.419722650834554	0.6950020756150479	0.5617789195836238	0.3246066122046165	0.7115600009399012
pheochromocytoma & paraganglioma	0.7077046454695936	0.7568368084739355	0.7697653591916582	0.7428695693664	0.4674024348617591	0.6221853563288422	0.6490829812925981	0.3575822417317835	0.599486528248287
prostate adenocarcinoma	0.8544101453077682	0.8288284048422099	0.8165325745629813	0.8325825149234152	0.7097642095886718	0.8103920163222177	0.6966964819417885	0.497902616657786	0.8039018611331247
rectum adenocarcinoma	0.6729090167278662	0.6122519019847842	0.6417404660762714	0.6544411644706843	0.605875152998776	0.6702162382700939	0.5461684306525549	0.3573259413924689	0.552717978256174
sarcoma	0.7331078554017978	0.6785591766723843	0.7121803221604612	0.6732379834663847	0.7050942106552832	0.7595571260913864	0.5703942532145115	0.6690981312629775	0.6866667096557862
skin cutaneous melanoma	0.8329213082751036	0.7876870247178416	0.8340208430461441	0.8370899175039053	0.6524021054321786	0.760589768906705	0.7216073287294026	0.5494552046345426	0.7228454603203222
stomach adenocarcinoma	0.635452751207002	0.4195995700390291	0.5341937161829606	0.5153620840925964	0.5618346098828472	0.6290836662567881	0.3428068286756972	0.4772963817105271	0.5098878183760578
testicular germ cell tumor	0.7341688925416067	0.8067266204106145	0.8556495076733416	0.8573564508226516	0.7329550663020973	0.7904095083055428	0.7559355787011426	0.8240963474577611	0.7012786268590665
thymoma	0.6471229689942205	0.7345061975209916	0.7325367373711672	0.6832275354321081	0.5594753834003587	0.6417763473123147	0.5632622983864306	0.4979991474484586	0.5617488541773373
thyroid carcinoma	0.8673613913250448	0.838498029235323	0.8534303283021889	0.8520218652254853	0.8110485804345204	0.8612646557007969	0.7035821936565558	0.7667861246317339	0.8352268759838836
uterine carcinosarcoma	0.5950220378532538	0.5256676173191599	0.5838086595799844	0.5532149338864403	0.4373865698729583	0.4941016333938294	0.4178117708063262	0.4120430386310604	0.4283121597096189
uterine corpus endometrioid carcinoma	0.643223231550012	0.5545551808429428	0.593988416824728	0.552240086244466	0.4906582539340216	0.6079059753100464	0.3703980854107764	0.4011400558830011	0.4041593495010108
uveal melanoma	0.7542662916080638	0.7355836849507736	0.8050164088138773	0.76601031411158	0.6523675574308486	0.728340365682138	0.6853727144866385	0.7383263009845289	0.7131504922644163
