lineage	module	n	rho	p	fdr_bh
acute myeloid leukemia	HLA-I	173	-0.21577102966194012	0.0043566370574402435	0.009958027559863414
acute myeloid leukemia	HLA-II	173	0.026482054039521443	0.7294535224387424	0.7780837572679918
adrenocortical cancer	HLA-I	79	0.03344693281402142	0.7698078361293147	0.7946403469721958
adrenocortical cancer	HLA-II	79	-0.13325219084712758	0.24171019414115627	0.32228025885487505
bladder urothelial carcinoma	HLA-I	427	-0.13281851365585887	0.005983188859089615	0.012269991034101145
bladder urothelial carcinoma	HLA-II	427	-0.19730887238553121	4.031531218615235e-05	0.00014334333221743058
brain lower grade glioma	HLA-I	654	0.0430660448848607	0.2714412358146339	0.33408152100262634
brain lower grade glioma	HLA-II	654	0.05931652125543234	0.1296814832815687	0.1976098792861999
breast invasive carcinoma	HLA-I	1218	0.16154868987156587	1.4320139173656566e-08	1.5274815118567002e-07
breast invasive carcinoma	HLA-II	1218	0.04841636638154467	0.0912232892143749	0.15363922393999985
cervical & endocervical cancer	HLA-I	310	-0.18445312948441275	0.0011041418100521342	0.003212048901969845
cervical & endocervical cancer	HLA-II	310	-0.07406495116427314	0.19340673066081387	0.2690876252672193
cholangiocarcinoma	HLA-I	45	0.14598155467720683	0.3386398825344016	0.3870170086107447
cholangiocarcinoma	HLA-II	45	0.1437417654808959	0.34618278628410054	0.4260711215804314
colon adenocarcinoma	HLA-I	495	-0.12301815332375605	0.006134995517050572	0.012269991034101145
colon adenocarcinoma	HLA-II	495	-0.27058504596704935	9.390618994051352e-10	5.008330130160721e-09
diffuse large B-cell lymphoma	HLA-I	48	-0.2517368649587495	0.08434225061770755	0.12852152475079245
diffuse large B-cell lymphoma	HLA-II	48	-0.3117672600955276	0.030995268211196005	0.058344034279898364
esophageal carcinoma	HLA-I	196	0.004814764640725482	0.9466008606558667	0.9466008606558667
esophageal carcinoma	HLA-II	196	-0.11663651794181165	0.10351893985552396	0.16563030376883833
glioblastoma multiforme	HLA-I	234	-0.24344676411633004	0.00016936074619105533	0.000774220554016253
glioblastoma multiforme	HLA-II	234	-0.18031626205910276	0.005670537477152816	0.014113754787821271
head & neck squamous cell carcinoma	HLA-I	566	-0.04640350123948735	0.27040625473986346	0.33408152100262634
head & neck squamous cell carcinoma	HLA-II	566	0.04324223353586373	0.3044339050534654	0.38967539846843574
kidney clear cell carcinoma	HLA-I	606	0.19779249454075257	9.220575659489864e-07	7.3764605275918915e-06
kidney clear cell carcinoma	HLA-II	606	0.26251798461259934	5.2187578731633943e-11	3.3400050388245724e-10
kidney papillary cell carcinoma	HLA-I	323	-0.1053689210237871	0.05853913399058122	0.09366261438492995
kidney papillary cell carcinoma	HLA-II	323	-0.15206850601923966	0.006174767719671806	0.014113754787821271
liver hepatocellular carcinoma	HLA-I	454	-0.03182477352044849	0.4987859608827842	0.5503845085603136
liver hepatocellular carcinoma	HLA-II	454	-0.01920328573695829	0.6832154285019694	0.7538928866228628
lung adenocarcinoma	HLA-I	576	-0.04343600080375756	0.2980191342573497	0.35320786282352556
lung adenocarcinoma	HLA-II	576	-0.3537357772586844	2.0250178939254275e-18	2.1600190868537892e-17
lung squamous cell carcinoma	HLA-I	584	-0.32878764234970315	3.4535098961531193e-16	1.1051231667689982e-14
lung squamous cell carcinoma	HLA-II	584	-0.42745092132288737	2.4319073100949615e-27	7.782103392303877e-26
mesothelioma	HLA-I	87	-0.31326091711015525	0.0031329202755569587	0.007711803755217129
mesothelioma	HLA-II	87	-0.005048479988335641	0.9629848293078084	0.9629848293078084
ovarian serous cystadenocarcinoma	HLA-I	339	-0.38450987580912005	2.1774053371348113e-13	3.483848539415698e-12
ovarian serous cystadenocarcinoma	HLA-II	339	-0.4531938098656421	1.422799483504493e-18	2.1600190868537892e-17
pancreatic adenocarcinoma	HLA-I	183	0.14636806529180016	0.048027605562033684	0.0808885988413199
pancreatic adenocarcinoma	HLA-II	183	0.06539166464326836	0.3791397839028556	0.449350854995977
pheochromocytoma & paraganglioma	HLA-I	187	-0.21971379179986716	0.0025160649426355995	0.006709506513694932
pheochromocytoma & paraganglioma	HLA-II	187	-0.16000572563211346	0.028706955631661965	0.05741391126332393
prostate adenocarcinoma	HLA-I	550	-0.05794636135536435	0.17477762834292393	0.23303683779056525
prostate adenocarcinoma	HLA-II	550	0.09491643698897276	0.026017472415937333	0.05550394115399964
rectum adenocarcinoma	HLA-I	171	-0.03173734610123119	0.6802811757789898	0.7256332541642558
rectum adenocarcinoma	HLA-II	171	-0.20940552475580199	0.005981538779617932	0.014113754787821271
sarcoma	HLA-I	265	-0.23052786339777406	0.00015302899867746246	0.000774220554016253
sarcoma	HLA-II	265	-0.3571138394872258	2.171917039735524e-09	8.687668158942096e-09
skin cutaneous melanoma	HLA-I	474	-0.07385255495631525	0.1083108076981066	0.15107034454158114
skin cutaneous melanoma	HLA-II	474	0.019750779254985754	0.6679877147919321	0.7538928866228628
stomach adenocarcinoma	HLA-I	450	0.11906448920735412	0.011480857289615492	0.02041041295931643
stomach adenocarcinoma	HLA-II	450	-0.09027172150644366	0.05567964301702094	0.09898603203025945
testicular germ cell tumor	HLA-I	156	-0.31623966746218646	5.776130628861224e-05	0.00036967236024711836
testicular germ cell tumor	HLA-II	156	-0.4617028338417284	1.3068545342135362e-09	5.974192156404737e-09
thymoma	HLA-I	122	-0.32415133120305595	0.00027014170289347997	0.0010805668115739199
thymoma	HLA-II	122	-0.2978610208809039	0.0008619892495470023	0.0025076050895912793
thyroid carcinoma	HLA-I	572	0.13880061860549844	0.0008731783414550086	0.0027941706926560275
thyroid carcinoma	HLA-II	572	0.16042302110649181	0.00011651168094932392	0.00037283737903783654
uterine carcinosarcoma	HLA-I	57	-0.2148042520093337	0.10858181013926144	0.15107034454158114
uterine carcinosarcoma	HLA-II	57	0.016398755509463313	0.9036331660446969	0.9327826230138807
uterine corpus endometrioid carcinoma	HLA-I	567	-0.14526387483387435	0.000520891575193843	0.0018520589340225528
uterine corpus endometrioid carcinoma	HLA-II	567	-0.3228483583084688	3.204377633897649e-15	2.5635021071181193e-14
uveal melanoma	HLA-I	80	0.2848570089076419	0.010436096473400967	0.019644416891107703
uveal melanoma	HLA-II	80	0.16352555086732304	0.14723326773385353	0.21415748034015059
