lineage	n	rho	p	fdr_bh	bonferroni
diffuse large B-cell lymphoma	48	-0.23198002605297438	0.11261054227346179	0.11261054227346179	1.0
lung adenocarcinoma	576	0.08014272976163564	0.054562962251019975	0.05632305780750449	1.0
uterine corpus endometrioid carcinoma	567	0.4041593495010108	1.0832425951677534e-23	1.8244085813351635e-23	3.4663763045368107e-22
uterine carcinosarcoma	57	0.42831215970961894	0.0008880108173342075	0.0009472115384898214	0.02841634615469464
ovarian serous cystadenocarcinoma	311	0.45376814317384223	3.3480898219826044e-17	4.8699488319746974e-17	1.0713887430344334e-15
acute myeloid leukemia	173	0.4642193287010212	1.250529396010468e-10	1.4821089137901842e-10	4.0016940672334975e-09
stomach adenocarcinoma	450	0.5098878183760578	3.764253752938835e-31	8.030408006269515e-31	1.2045612009404272e-29
kidney papillary cell carcinoma	323	0.537978934263764	1.253416446766097e-25	2.3593721350891236e-25	4.01093262965151e-24
rectum adenocarcinoma	171	0.552717978256174	4.578361792532557e-15	6.369894667871383e-15	1.4650757736104182e-13
cholangiocarcinoma	45	0.5611330698287219	6.0776099724036045e-05	6.706328245410875e-05	0.0019448351911691534
thymoma	122	0.5617488541773373	1.6770571801376575e-11	2.1466331905762018e-11	5.366582976440504e-10
brain lower grade glioma	542	0.5942405998541711	4.810462993005827e-53	1.3994074161471496e-52	1.5393481577618645e-51
pheochromocytoma & paraganglioma	187	0.599486528248287	1.2480440886175566e-19	1.90178146836961e-19	3.993741083576181e-18
mesothelioma	87	0.6045418094335495	5.629105940739885e-10	6.433263932274154e-10	1.8013139010367632e-08
breast invasive carcinoma	1218	0.6087848918840906	2.059604791638093e-124	1.6476838333104744e-123	6.590735333241898e-123
colon adenocarcinoma	495	0.6433497176281557	3.5551119950861778e-59	1.2640398204750855e-58	1.1376358384275769e-57
bladder urothelial carcinoma	427	0.653698813071473	2.121869873167187e-53	6.789983594134998e-53	6.789983594134998e-52
glioblastoma multiforme	178	0.6542596483762001	4.043380417936433e-23	6.469408668698293e-23	1.2938817337396586e-21
cervical & endocervical cancer	310	0.6566911340422125	1.2497232044594537e-39	3.3325952118918767e-39	3.9991142542702517e-38
adrenocortical cancer	79	0.6585929892891919	4.194984739658119e-11	5.1630581411176845e-11	1.342395116690598e-09
sarcoma	265	0.6866667096557862	2.70517078273187e-38	6.658881926724603e-38	8.656546504741984e-37
testicular germ cell tumor	156	0.7012786268590665	2.108467487643577e-24	3.748386644699693e-24	6.747095960459447e-23
esophageal carcinoma	196	0.7109356198551269	1.7524561766857474e-31	4.005614118138851e-31	5.607859765394392e-30
pancreatic adenocarcinoma	183	0.7115600009399012	1.4962844378565265e-29	2.992568875713053e-29	4.788110201140885e-28
uveal melanoma	80	0.7131504922644163	1.1554609097095243e-13	1.5406145462793657e-13	3.697474911070478e-12
skin cutaneous melanoma	474	0.7228454603203222	8.737428469541408e-78	3.494971387816563e-77	2.7959771102532504e-76
liver hepatocellular carcinoma	426	0.7695120027027357	1.3411385695755426e-84	6.130919175202481e-84	4.2916434226417364e-83
kidney clear cell carcinoma	606	0.7705218836995277	3.121947000908667e-120	1.6650384004846225e-119	9.990230402907735e-119
head & neck squamous cell carcinoma	566	0.7874588664419491	1.2557497296187226e-120	8.036798269559825e-120	4.0183991347799124e-119
prostate adenocarcinoma	550	0.8039018611331247	9.263714930096834e-126	9.881295925436623e-125	2.964388777630987e-124
lung squamous cell carcinoma	556	0.8296880722774308	2.208254636076734e-142	3.5332074177227745e-141	7.066414835445549e-141
thyroid carcinoma	572	0.8352268759838836	3.6802563421919953e-150	1.1776820295014385e-148	1.1776820295014385e-148
