lineage	module	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance	fdr_bh
acute myeloid leukemia	HLA-I	OS	149	92	HLA1_module+age	0.99281797802183	0.6909897120734315	1.4264865601625714	0.968906177522167	0.669209255021612	0.986008931629245
acute myeloid leukemia	HLA-II	OS	149	92	HLA2_module+age	1.1901774528313966	0.9266447719791714	1.5286573798962428	0.17276577212237304	0.6698449021103483	0.3779619283717989
adrenocortical cancer	HLA-I	OS	77	27	HLA1_module+age+stage_int	0.6287854909253058	0.3412337629300034	1.1586520343219364	0.13681304604259142	0.7840172786177105	0.3534337022766945
adrenocortical cancer	HLA-I	DSS	76	26	HLA1_module+age+stage_int	0.5363920087495256	0.27772328464001234	1.0359822275013493	0.06363815368078277	0.7819148936170213	0.24560068941173654
adrenocortical cancer	HLA-II	OS	77	27	HLA2_module+age+stage_int	0.806781459619067	0.5318869776420035	1.2237493131918151	0.31247108280878005	0.78113750899928	0.46503522207897713
adrenocortical cancer	HLA-II	DSS	76	26	HLA2_module+age+stage_int	0.7677021846774585	0.49683627052568413	1.1862391683581304	0.23377106129045103	0.7781155015197568	0.40909935725828933
bladder urothelial carcinoma	HLA-I	OS	423	188	HLA1_module+age+stage_int	0.8995712429692285	0.7431678282413172	1.0888905445385275	0.27744490161503443	0.6570473940709528	0.5733861300044045
bladder urothelial carcinoma	HLA-I	DSS	407	127	HLA1_module+age+stage_int	0.8477396429710362	0.6682059092610524	1.0755105459324743	0.17369534771029405	0.6788662809595007	0.3600748863171167
bladder urothelial carcinoma	HLA-II	OS	423	188	HLA2_module+age+stage_int	0.9219047286118212	0.7926136742884906	1.0722857253248588	0.2915629449781838	0.657409180872119	0.46503522207897713
bladder urothelial carcinoma	HLA-II	DSS	407	127	HLA2_module+age+stage_int	0.8660570718774975	0.717781948610234	1.0449619876917737	0.13337439394658904	0.6834817655853864	0.2741799577919143
brain lower grade glioma	HLA-I	OS	537	142	HLA1_module+age	1.8835877050482235	1.5196921185305619	2.334619360952804	7.426564278479588e-09	0.7591147856898641	1.328160373739774e-07
brain lower grade glioma	HLA-I	DSS	529	129	HLA1_module+age	1.8401621078884676	1.4683654989805701	2.3060992550284207	1.1847038619482797e-07	0.7580290968981609	1.6585854067275917e-06
brain lower grade glioma	HLA-II	OS	537	142	HLA2_module+age	1.727105755789495	1.42631846212127	2.091324182430437	2.179071175834025e-08	0.7701178006402885	3.3775603225427387e-07
brain lower grade glioma	HLA-II	DSS	529	129	HLA2_module+age	1.7080273636933356	1.3962549643720739	2.089416008943041	1.9295686095209136e-07	0.7681512489706286	2.701396053329279e-06
breast invasive carcinoma	HLA-I	OS	1176	186	HLA1_module+age+stage_int	0.8032641314822542	0.6477792452635484	0.9960696790515843	0.045951175166113814	0.7349608067791227	0.14244864301495283
breast invasive carcinoma	HLA-I	DSS	1149	101	HLA1_module+age+stage_int	0.7903121720670069	0.5837528414612505	1.0699619512836767	0.1278912443306866	0.7539570808918652	0.29841290343826876
breast invasive carcinoma	HLA-II	OS	1176	186	HLA2_module+age+stage_int	0.8979404531922668	0.7663903325725787	1.0520710181358863	0.18288480405087046	0.7346318332898484	0.3779619283717989
breast invasive carcinoma	HLA-II	DSS	1149	101	HLA2_module+age+stage_int	0.818782709509746	0.6602387434694217	1.0153980390021904	0.06863664155928464	0.7583517236131192	0.16134561448833115
cervical & endocervical cancer	HLA-I	OS	296	73	HLA1_module+age	0.9353776339869331	0.6907823293328542	1.2665803408839174	0.6657772832478788	0.5615623383341956	0.820585376878339
cervical & endocervical cancer	HLA-I	DSS	292	56	HLA1_module+age	0.8315161966373432	0.5901906900456293	1.1715182854151378	0.29147494525218626	0.5618013077409829	0.48007638041536566
cervical & endocervical cancer	HLA-II	OS	296	73	HLA2_module+age	0.7452081319687673	0.588110925259258	0.9442694160248261	0.01490433113962829	0.6078634247284015	0.05775428316605962
cervical & endocervical cancer	HLA-II	DSS	292	56	HLA2_module+age	0.7161305274515534	0.5467107983326852	0.9380515876256099	0.015338503460815292	0.6127399282851719	0.12826814669415532
cholangiocarcinoma	HLA-I	OS	45	23	HLA1_module+age+stage_int	0.8373025669665115	0.43275583360019865	1.620025737876934	0.5979788062880353	0.6024518388791593	0.7968998328383624
cholangiocarcinoma	HLA-I	DSS	43	20	HLA1_module+age+stage_int	0.9191852369468851	0.4391524778840918	1.9239365422505972	0.8230671272272765	0.5496688741721855	0.8863799831678362
cholangiocarcinoma	HLA-II	OS	45	23	HLA2_module+age+stage_int	0.8831104132211028	0.56067373175256	1.3909765301502126	0.5917719570093958	0.5884413309982487	0.6704408416645444
cholangiocarcinoma	HLA-II	DSS	43	20	HLA2_module+age+stage_int	0.8931131621510049	0.5327234520846725	1.497308063472652	0.6680791967035227	0.5320088300220751	0.7541097260977012
colon adenocarcinoma	HLA-I	OS	461	103	HLA1_module+age+stage_int	0.9132706535721689	0.6716362832037055	1.2418377439313641	0.562856562319955	0.7376276233692569	0.7968998328383624
colon adenocarcinoma	HLA-I	DSS	446	63	HLA1_module+age+stage_int	1.1942662841550438	0.7940754704874322	1.7961415639674634	0.39387736021774067	0.813189177559034	0.6126981158942633
colon adenocarcinoma	HLA-II	OS	461	103	HLA2_module+age+stage_int	1.0733254298837642	0.862319781135422	1.3359631816845086	0.5263383771030574	0.7420589903573455	0.6275572957767223
colon adenocarcinoma	HLA-II	DSS	446	63	HLA2_module+age+stage_int	1.3209705836069212	0.9784087075528525	1.7834707206554057	0.06914812049499906	0.8121671776666128	0.16134561448833115
diffuse large B-cell lymphoma	HLA-I	OS	47	9	HLA1_module+age	1.1026079083545106	0.3262120239783502	3.726852814127399	0.8750910556219561	0.48760330578512395	0.9688508115814515
diffuse large B-cell lymphoma	HLA-II	OS	47	9	HLA2_module+age	1.9906792877572903	0.6524851272221457	6.073401310428173	0.22638136751540744	0.6074380165289256	0.4386138995611019
esophageal carcinoma	HLA-I	OS	171	68	HLA1_module+age+stage_int	1.0997079380033832	0.7577542576204845	1.59597592061746	0.616954709294216	0.6702390766694146	0.7968998328383624
esophageal carcinoma	HLA-I	DSS	168	40	HLA1_module+age+stage_int	1.0648663766578432	0.650992850308868	1.7418630628560636	0.802342325548163	0.7852244389027432	0.8863799831678362
esophageal carcinoma	HLA-II	OS	171	68	HLA2_module+age+stage_int	0.8697608481206196	0.6538340801232267	1.1569967915727588	0.3378717250976527	0.6598516075845012	0.46503522207897713
esophageal carcinoma	HLA-II	DSS	168	40	HLA2_module+age+stage_int	0.9115419736709638	0.627926354531096	1.3232583148774462	0.6262295289528573	0.7852244389027432	0.7541097260977012
glioblastoma multiforme	HLA-I	OS	172	139	HLA1_module+age	1.0504245861291528	0.82604963712631	1.335745167788124	0.6882328967366714	0.5952091650755077	0.820585376878339
glioblastoma multiforme	HLA-I	DSS	159	124	HLA1_module+age	1.034272396742017	0.7883274224802576	1.3569480905496039	0.8078256291657753	0.595762985267233	0.8863799831678362
glioblastoma multiforme	HLA-II	OS	172	139	HLA2_module+age	1.1185013689141894	0.9079435844549226	1.377888817854219	0.29260643579939266	0.6024127755597987	0.46503522207897713
