lineage	module	outcome	n	events	DM1_alone_HR	DM1_alone_p	DM1_adj_HR	DM1_adj_p	module_adj_HR	module_adj_p	DM1_HR_attenuation
acute myeloid leukemia	HLA-I	OS	149	92	1.0606829768871273	0.5599969308325932	1.0813072656113365	0.4953012963706982	0.9271003593559497	0.7202892670906114	1.0194443478151567
acute myeloid leukemia	HLA-II	OS	149	92	1.0606829768871273	0.5599969308325932	0.9725915049183167	0.8241478199907825	1.2125520499530456	0.20678704229643322	0.9169483494235574
adrenocortical cancer	HLA-I	OS	77	27	1.0511968879125715	0.6206168589396415	1.2499445831349756	0.06504813201579089	0.43204190411094856	0.029417981173007732	1.1890680019202398
adrenocortical cancer	HLA-I	DSS	76	26	1.024466640508977	0.8496396193468962	1.2152654112977745	0.14562193739556292	0.40965129279168117	0.025392760269673822	1.186242053420114
adrenocortical cancer	HLA-II	OS	77	27	1.0511968879125715	0.6206168589396415	1.2123663237097646	0.11380638938878199	0.6241494787613984	0.09138763671720401	1.1533199324031842
adrenocortical cancer	HLA-II	DSS	76	26	1.024466640508977	0.8496396193468962	1.1962419936349338	0.19175465353385432	0.6284351454870634	0.09798761373361314	1.16767295911228
bladder urothelial carcinoma	HLA-I	OS	423	188	1.0719789371403272	0.10872538226461896	1.2559182999115897	0.00034871615480326564	0.6227779538740728	0.0007712942749222202	1.1715885978711016
bladder urothelial carcinoma	HLA-I	DSS	407	127	1.0718687980395545	0.19461977265478497	1.301007406659132	0.0007171044631973283	0.5561255883054782	0.000700767713603788	1.213774865952504
bladder urothelial carcinoma	HLA-II	OS	423	188	1.0719789371403272	0.10872538226461896	1.2157168651374703	0.0010280768421289796	0.7253670205077366	0.0023970271169265764	1.1340865226145083
bladder urothelial carcinoma	HLA-II	DSS	407	127	1.0718687980395545	0.19461977265478497	1.2596068085783745	0.001323830973101557	0.6553119764841188	0.0010401469054902956	1.175150177784998
brain lower grade glioma	HLA-I	OS	537	142	1.3550557040428046	3.07689544990908e-07	1.1684939316020233	0.04527707923295138	1.6001278302939148	0.0004795585570224195	0.8623216950534396
brain lower grade glioma	HLA-I	DSS	529	129	1.3625904201075918	4.6950023003984385e-07	1.1941902822645638	0.026790402588609916	1.5259701506614223	0.002566105547170102	0.8764117702884401
brain lower grade glioma	HLA-II	OS	537	142	1.3550557040428046	3.07689544990908e-07	1.199942384622966	0.01593536655752137	1.51038577576732	0.00018419294153166816	0.8855299313843272
brain lower grade glioma	HLA-II	DSS	529	129	1.3625904201075918	4.6950023003984385e-07	1.2213804396633485	0.00918773211145803	1.4775907812360944	0.0006576925687112837	0.8963665248482422
breast invasive carcinoma	HLA-I	OS	1176	186	1.0557182975382586	0.2296762978619472	1.166930953954856	0.00396621687123813	0.6592107954839979	0.0009239912248565313	1.1053431172652068
breast invasive carcinoma	HLA-I	DSS	1149	101	1.095351595369555	0.13933005874481016	1.2259449474485236	0.004462578522095358	0.6113698963850558	0.004043320125571631	1.1192250530615317
breast invasive carcinoma	HLA-II	OS	1176	186	1.0557182975382586	0.2296762978619472	1.1535300050149144	0.008917038784199612	0.7716557227310372	0.0076124471071458205	1.0926494384957945
breast invasive carcinoma	HLA-II	DSS	1149	101	1.095351595369555	0.13933005874481016	1.2564825806796884	0.0012512706369442546	0.6551345127372256	0.0006671715124206054	1.1471043507776792
cervical & endocervical cancer	HLA-I	OS	296	73	0.9742328231428987	0.8183806859457102	1.0065347585986186	0.9640486354648646	0.9302707180983497	0.7131790272026621	1.033156279164885
cervical & endocervical cancer	HLA-I	DSS	292	56	0.8992257290360599	0.4150354527507464	0.9625795581539404	0.8157254107275166	0.8577513639829981	0.4855544276817362	1.0704537549051156
cervical & endocervical cancer	HLA-II	OS	296	73	0.9742328231428987	0.8183806859457102	1.352317035092186	0.06190593368560487	0.5945323772299057	0.0025410024164281325	1.3880840420974305
cervical & endocervical cancer	HLA-II	DSS	292	56	0.8992257290360599	0.4150354527507464	1.193673930047428	0.32562941421938624	0.6300107810596197	0.015368652071428922	1.3274463702534476
cholangiocarcinoma	HLA-I	OS	45	23	0.9567147790833123	0.7656817931754001	0.9841855940921502	0.9217446901088239	0.8494929918258906	0.656596182798713	1.0287136935787273
cholangiocarcinoma	HLA-I	DSS	43	20	0.9412875450708399	0.7092288715492077	0.9467474604551079	0.7541962370429441	0.9647813867930886	0.9290025702298449	1.0058004755431638
cholangiocarcinoma	HLA-II	OS	45	23	0.9567147790833123	0.7656817931754001	1.0364819957558191	0.8725024808951349	0.8476832885293687	0.6300324684382239	1.0833761727282365
cholangiocarcinoma	HLA-II	DSS	43	20	0.9412875450708399	0.7092288715492077	0.9823071588666203	0.9430655322741518	0.9130279867182639	0.8228362075110833	1.0435781967057616
