lineage	outcome	covariates	n	events	HR	HR_lo	HR_hi	p	fdr_bh	concordance
acute myeloid leukemia	OS	in_q+age	149	92	1.1205443457516548	0.651478255475129	1.9273392783927519	0.6808338107551369	0.8991333776201185	0.6690821256038647
adrenocortical cancer	OS	in_q+age+stage_int	77	27	1.43607634955078	0.5468314387922281	3.7713912102312084	0.4625441347134419	0.8823159865011669	0.7674586033117351
adrenocortical cancer	DSS	in_q+age+stage_int	76	26	1.4778888194121707	0.5564549622381365	3.925125141769845	0.4331649692648941	0.808574609294469	0.7667173252279635
bladder urothelial carcinoma	OS	in_q+age+stage_int	423	188	1.7288491899875371	1.174313305917247	2.545248790641899	0.00553332717285599	0.08576657117926785	0.6688161058971248
bladder urothelial carcinoma	DSS	in_q+age+stage_int	407	127	1.8349516298017903	1.148206278108373	2.932441276370071	0.01115724643034467	0.10413430001655026	0.6883247741012807
brain lower grade glioma	OS	in_q+age	537	142	0.861051515426762	0.5602881706218412	1.323264975228484	0.4950109592380664	0.8823159865011669	0.7442420663289093
brain lower grade glioma	DSS	in_q+age	529	129	0.914480492050157	0.588037340290664	1.422145352073953	0.6915052025832908	0.90502822837587	0.7423140269009059
breast invasive carcinoma	OS	in_q+age+stage_int	1176	186	2.2028091800608127	1.5681496527811956	3.0943273017050767	5.2465435175843586e-06	0.00016264284904511512	0.7458736514922918
breast invasive carcinoma	DSS	in_q+age+stage_int	1149	101	2.624729235200621	1.7043052625979045	4.042235689406659	1.1874338415378957e-05	0.00033248147563061083	0.7707461380412449
cervical & endocervical cancer	OS	in_q+age	296	73	1.7511234061714396	1.0341317852024934	2.965224768757133	0.03708225240213921	0.28738745611657884	0.5814795654423176
cervical & endocervical cancer	DSS	in_q+age	292	56	1.543109865651471	0.8263729819943164	2.8814931143129727	0.17337436263912592	0.6722145163876998	0.5574245939675174
cholangiocarcinoma	OS	in_q+age+stage_int	45	23	0.6637234980141259	0.21486197793069678	2.0502877524389116	0.4762860095991892	0.8823159865011669	0.6252189141856392
cholangiocarcinoma	DSS	in_q+age+stage_int	43	20	0.5298993606088275	0.14818970943014065	1.894823422310679	0.3286377796464163	0.7783176742521125	0.5883002207505519
colon adenocarcinoma	OS	in_q+age+stage_int	461	103	0.7725686325818439	0.4318273351483702	1.382178114880815	0.3846166047796252	0.8823159865011669	0.7405168746454907
colon adenocarcinoma	DSS	in_q+age+stage_int	446	63	0.7574342293428151	0.36074793529639326	1.590325420182329	0.4628956735024835	0.8100674286293462	0.8108224409660588
diffuse large B-cell lymphoma	OS	in_q+age	47	9	0.6751773432360373	0.08310009475067684	5.485727136497167	0.7132646626808482	0.8991333776201185	0.5041322314049587
esophageal carcinoma	OS	in_q+age+stage_int	171	68	1.496291760044228	0.7358196565139911	3.0427143544699295	0.26577943739634974	0.8823159865011669	0.666199505358615
esophageal carcinoma	DSS	in_q+age+stage_int	168	40	2.2296571736318693	0.9685190487651245	5.132961626585068	0.05945996474069229	0.41621975318484605	0.7941084788029925
glioblastoma multiforme	OS	in_q+age	172	139	1.1036787437246471	0.7043558245167637	1.729391206760191	0.666828845852203	0.8991333776201185	0.6032372851935428
glioblastoma multiforme	DSS	in_q+age	159	124	1.25920358959743	0.777951570775872	2.038165021601149	0.34822484574206436	0.7783176742521125	0.614635982363695
head & neck squamous cell carcinoma	OS	in_q+age+stage_int	489	221	0.8241716107788036	0.5493673424786872	1.2364383382328186	0.3500878694731612	0.8823159865011669	0.5956301698698836
head & neck squamous cell carcinoma	DSS	in_q+age+stage_int	463	133	0.7921805313027469	0.46932274445479627	1.3371395305039304	0.3830894742200428	0.7783176742521125	0.5839994956499811
kidney clear cell carcinoma	OS	in_q+age+stage_int	601	201	0.9551898187939089	0.6189208781186579	1.474158688427085	0.835954292372686	0.8991333776201185	0.756189702041469
kidney clear cell carcinoma	DSS	in_q+age+stage_int	587	125	0.9365675117424481	0.5278090531061538	1.6618864320143165	0.8227809956375438	0.921514715114049	0.8412644668800788
kidney papillary cell carcinoma	OS	in_q+age+stage_int	288	46	1.2323021372545735	0.6525193988741439	2.327238945083205	0.5196253687470207	0.8823159865011669	0.8268085106382979
kidney papillary cell carcinoma	DSS	in_q+age+stage_int	286	31	1.2563395927237369	0.5903863382437883	2.6734852587213505	0.5536718281876507	0.852977621903083	0.9093300596282007
liver hepatocellular carcinoma	OS	in_q+age+stage_int	388	143	1.2296005949072817	0.8207056232546017	1.8422167219966878	0.3163256445155638	0.8823159865011669	0.6260219034397655
liver hepatocellular carcinoma	DSS	in_q+age+stage_int	377	77	1.15330448763313	0.6640805746552193	2.002936529027807	0.6125403240227925	0.8575564536319095	0.696345944474687
