module	n_lineages	n_pos	n_neg	fraction_majority	majority_sign	binom_p_two_sided
HLA-I	32	32	0	1.0	+	4.656612873077393e-10
HLA-II	32	31	1	0.96875	+	1.5366822481155396e-08
