stratum	endpoint	model	covariate	n	events	HR	CI_low	CI_high	p	note
S1_BRAF_cPTC	OS	DM1_vs_DM2_adj_age_stage_sex	is_DM1	104	7	0.06745035103365245	0.004847286407771092	0.9385766533764488	0.044733528155149846	
S1_BRAF_cPTC	OS	DM1_vs_DM2_adj_age_stage_sex	age_yr	104	7	1.0773642845728189	1.037493565176689	1.118767229631374	0.00010748416836318914	
S1_BRAF_cPTC	OS	DM1_vs_DM2_adj_age_stage_sex	adv_stage	104	7	8.240888279686661	1.0786595109541621	62.95984872761478	0.04205768917442017	
S1_BRAF_cPTC	OS	DM1_vs_DM2_adj_age_stage_sex	sex_m	104	7	0.41356625603162545	0.11722294531006877	1.4590748225580108	0.16986836035821581	
S1_BRAF_cPTC	PFI	DM1_vs_DM2_adj_age_stage_sex	is_DM1	104	8	0.21066139617558488	0.044058389077352704	1.0072593385276183	0.051068478968364896	
S1_BRAF_cPTC	PFI	DM1_vs_DM2_adj_age_stage_sex	age_yr	104	8	1.0075252369767171	0.9682392419757083	1.048405248555767	0.7117962708901417	
S1_BRAF_cPTC	PFI	DM1_vs_DM2_adj_age_stage_sex	adv_stage	104	8	4.148428555588607	1.214256425047292	14.17283789966581	0.023228234715654064	
S1_BRAF_cPTC	PFI	DM1_vs_DM2_adj_age_stage_sex	sex_m	104	8	0.6190513353624567	0.16961781145761726	2.2593414719880283	0.46782682733525893	
S1_BRAF_cPTC	DFI	DM1_vs_DM2_adj_age_stage_sex	is_DM1	77	3	0.09587164297727306	0.003411016417133503	2.6946138051384154	0.16833216228056241	
S1_BRAF_cPTC	DFI	DM1_vs_DM2_adj_age_stage_sex	age_yr	77	3	0.9767114700085661	0.8991244907808746	1.0609935614341803	0.5768523210322716	
S1_BRAF_cPTC	DFI	DM1_vs_DM2_adj_age_stage_sex	adv_stage	77	3	3.004474251567273	0.36752776652741165	24.561043682824614	0.30478504871430795	
S1_BRAF_cPTC	DFI	DM1_vs_DM2_adj_age_stage_sex	sex_m	77	3	2.1639245811119774	0.42499779478489413	11.017867975316564	0.35260045870516266	
S1_BRAF_cPTC	DSS	DM1_vs_DM2_adj_age_stage_sex	is_DM1	102	4	8.777056287968644	0.02859848681971922	2693.7340275308406	0.4572177139195882	
S1_BRAF_cPTC	DSS	DM1_vs_DM2_adj_age_stage_sex	age_yr	102	4	1.329143745275394	1.0129683106245437	1.744006280428944	0.04007943658444389	
S1_BRAF_cPTC	DSS	DM1_vs_DM2_adj_age_stage_sex	adv_stage	102	4	151789799.0691928	251514.47718555646	91605633835.81258	8.090848979607962e-09	
S1_BRAF_cPTC	DSS	DM1_vs_DM2_adj_age_stage_sex	sex_m	102	4	0.6356672507038884	0.12155598325324667	3.3241708289719063	0.5914090457395362	
S2_BRAF_any	OS	DM1_vs_DM2_adj_age_stage_sex	is_DM1	104	7	0.06745035103365245	0.004847286407771092	0.9385766533764488	0.044733528155149846	
S2_BRAF_any	OS	DM1_vs_DM2_adj_age_stage_sex	age_yr	104	7	1.0773642845728189	1.037493565176689	1.118767229631374	0.00010748416836318914	
S2_BRAF_any	OS	DM1_vs_DM2_adj_age_stage_sex	adv_stage	104	7	8.240888279686661	1.0786595109541621	62.95984872761478	0.04205768917442017	
S2_BRAF_any	OS	DM1_vs_DM2_adj_age_stage_sex	sex_m	104	7	0.41356625603162545	0.11722294531006877	1.4590748225580108	0.16986836035821581	
S2_BRAF_any	PFI	DM1_vs_DM2_adj_age_stage_sex	is_DM1	104	8	0.21066139617558488	0.044058389077352704	1.0072593385276183	0.051068478968364896	
S2_BRAF_any	PFI	DM1_vs_DM2_adj_age_stage_sex	age_yr	104	8	1.0075252369767171	0.9682392419757083	1.048405248555767	0.7117962708901417	
S2_BRAF_any	PFI	DM1_vs_DM2_adj_age_stage_sex	adv_stage	104	8	4.148428555588607	1.214256425047292	14.17283789966581	0.023228234715654064	
S2_BRAF_any	PFI	DM1_vs_DM2_adj_age_stage_sex	sex_m	104	8	0.6190513353624567	0.16961781145761726	2.2593414719880283	0.46782682733525893	
S2_BRAF_any	DFI	DM1_vs_DM2_adj_age_stage_sex	is_DM1	77	3	0.09587164297727306	0.003411016417133503	2.6946138051384154	0.16833216228056241	
S2_BRAF_any	DFI	DM1_vs_DM2_adj_age_stage_sex	age_yr	77	3	0.9767114700085661	0.8991244907808746	1.0609935614341803	0.5768523210322716	
S2_BRAF_any	DFI	DM1_vs_DM2_adj_age_stage_sex	adv_stage	77	3	3.004474251567273	0.36752776652741165	24.561043682824614	0.30478504871430795	
S2_BRAF_any	DFI	DM1_vs_DM2_adj_age_stage_sex	sex_m	77	3	2.1639245811119774	0.42499779478489413	11.017867975316564	0.35260045870516266	
S2_BRAF_any	DSS	DM1_vs_DM2_adj_age_stage_sex	is_DM1	102	4	8.777056287968644	0.02859848681971922	2693.7340275308406	0.4572177139195882	
S2_BRAF_any	DSS	DM1_vs_DM2_adj_age_stage_sex	age_yr	102	4	1.329143745275394	1.0129683106245437	1.744006280428944	0.04007943658444389	
S2_BRAF_any	DSS	DM1_vs_DM2_adj_age_stage_sex	adv_stage	102	4	151789799.0691928	251514.47718555646	91605633835.81258	8.090848979607962e-09	
S2_BRAF_any	DSS	DM1_vs_DM2_adj_age_stage_sex	sex_m	102	4	0.6356672507038884	0.12155598325324667	3.3241708289719063	0.5914090457395362	
