histology	count	median	mean
Normal	261	0.14557548393877073	0.19184831626064233
PDFP	9	0.10738456577453649	0.11514750846744629
PTC	353	0.2605724918085452	0.2717067993705529
UTC/ATC	8	0.06868321643079825	0.06657400366686057
